price  , formation_time     , breakout_time      , retest_time        , type, status  , m5_retest_time     , m5_open, m5_high, m5_low , m5_close
5899.25, 2024-11-04 10:00:00, 2024-11-05 14:00:00, 2025-01-10 17:00:00, LHPB, retested, 2025-01-10 17:00:00, 5902.75, 5905.0 , 5897.75,  5898.5
5898.5 , 2024-11-04 11:00:00, 2024-11-05 14:00:00, 2025-01-10 17:00:00, LHPB, retested, 2025-01-10 17:00:00, 5902.75, 5905.0 , 5897.75,  5898.5
5896.75, 2024-11-04 12:00:00, 2024-11-05 14:00:00, 2025-01-10 17:00:00, LHPB, retested, 2025-01-10 17:05:00, 5898.5 , 5901.75, 5896.75,  5898.75
5935.75, 2024-11-05 17:00:00, 2024-11-05 20:00:00, 2024-12-20 09:00:00, LHPB, retested, 2024-12-20 09:05:00, 5945.0 , 5945.75, 5935.75,  5941.25
5938.25, 2024-11-05 20:00:00, 2024-11-05 21:00:00, 2024-12-20 09:00:00, LHPB, retested, 2024-12-20 09:05:00, 5945.0 , 5945.75, 5935.75,  5941.25
5958.5 , 2024-10-31 02:00:00, 2024-11-06 00:00:00, 2024-12-18 21:00:00, LHPB, retested, 2024-12-18 21:05:00, 5974.0 , 5974.0 , 5958.0 ,  5962.5
5979.25, 2024-11-06 01:00:00, 2024-11-06 02:00:00, 2024-12-18 21:00:00, LHPB, retested, 2024-12-18 21:00:00, 5990.75, 5995.5 , 5963.0 ,  5973.75
6082.0 , 2024-11-22 10:00:00, 2024-11-22 11:00:00, 2024-12-18 20:00:00, LHPB, retested, 2024-12-18 20:00:00, 6094.75, 6099.5 , 6080.25,  6081.0
6085.25, 2024-11-22 11:00:00, 2024-11-22 12:00:00, 2024-12-18 20:00:00, LHPB, retested, 2024-12-18 20:00:00, 6094.75, 6099.5 , 6080.25,  6081.0
6142.0 , 2024-11-27 21:00:00, 2024-11-27 23:00:00, 2024-12-18 19:00:00, LHPB, retested, 2024-12-18 19:05:00, 6169.5 , 6169.75, 6141.25,  6143.5
6154.5 , 2024-11-29 13:00:00, 2024-11-29 14:00:00, 2024-12-18 19:00:00, LHPB, retested, 2024-12-18 19:05:00, 6169.5 , 6169.75, 6141.25,  6143.5
6160.25, 2024-11-29 05:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB, retested, 2024-12-18 19:05:00, 6169.5 , 6169.75, 6141.25,  6143.5
6160.0 , 2024-11-29 10:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB, retested, 2024-12-18 19:05:00, 6169.5 , 6169.75, 6141.25,  6143.5
6158.75, 2024-11-29 11:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB, retested, 2024-12-18 19:05:00, 6169.5 , 6169.75, 6141.25,  6143.5
6158.5 , 2024-11-29 12:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB, retested, 2024-12-18 19:05:00, 6169.5 , 6169.75, 6141.25,  6143.5
6157.75, 2024-11-29 14:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB, retested, 2024-12-18 19:05:00, 6169.5 , 6169.75, 6141.25,  6143.5
6203.0 , 2024-12-13 10:00:00, 2024-12-13 14:00:00, 2024-12-16 15:00:00, LLPB, retested, 2024-12-16 15:00:00, 6200.0 , 6203.75, 6199.25,  6203.75
6203.5 , 2024-12-13 11:00:00, 2024-12-13 14:00:00, 2024-12-16 15:00:00, LLPB, retested, 2024-12-16 15:00:00, 6200.0 , 6203.75, 6199.25,  6203.75
6203.75, 2024-12-13 12:00:00, 2024-12-13 14:00:00, 2024-12-16 15:00:00, LLPB, retested, 2024-12-16 15:00:00, 6200.0 , 6203.75, 6199.25,  6203.75
6186.0 , 2024-12-13 03:00:00, 2024-12-13 15:00:00, 2024-12-16 02:00:00, LLPB, retested, 2024-12-16 02:05:00, 6185.75, 6186.0 , 6184.75,  6185.25
6189.0 , 2024-12-13 05:00:00, 2024-12-13 15:00:00, 2024-12-16 10:00:00, LLPB, retested, 2024-12-16 10:00:00, 6188.25, 6189.5 , 6188.25,  6189.5
6190.25, 2024-12-13 06:00:00, 2024-12-13 15:00:00, 2024-12-16 10:00:00, LLPB, retested, 2024-12-16 10:05:00, 6189.5 , 6190.75, 6189.5 ,  6190.0
6186.0 , 2024-12-16 04:00:00, 2024-12-16 09:00:00, 2024-12-17 08:00:00, LHPB, retested, 2024-12-17 08:00:00, 6187.25, 6188.0 , 6185.75,  6186.0
6185.75, 2024-12-16 08:00:00, 2024-12-16 09:00:00, 2024-12-17 08:00:00, LHPB, retested, 2024-12-17 08:00:00, 6187.25, 6188.0 , 6185.75,  6186.0
6179.25, 2024-12-18 00:00:00, 2024-12-18 01:00:00, 2024-12-18 14:00:00, LHPB, retested, 2024-12-18 14:05:00, 6179.75, 6181.0 , 6178.0 ,  6179.75
