price,formation_time,breakout_time,retest_time,type,status
15515.0,2021-04-04 22:00:00,2021-04-04 23:00:00,,LHPB,one_touch
15496.25,2021-04-05 00:00:00,2021-04-05 02:00:00,,LLPB,one_touch
15502.0,2021-04-05 01:00:00,2021-04-05 02:00:00,2021-04-05 08:00:00,LLPB,retested
15521.0,2021-04-04 23:00:00,2021-04-05 08:00:00,,LHPB,one_touch
15517.0,2021-04-05 00:00:00,2021-04-05 08:00:00,,LHPB,one_touch
15512.0,2021-04-05 02:00:00,2021-04-05 08:00:00,2021-05-10 20:00:00,LHPB,retested
15500.0,2021-04-05 04:00:00,2021-04-05 08:00:00,2021-05-10 20:00:00,LHPB,retested
15499.75,2021-04-05 05:00:00,2021-04-05 08:00:00,2021-05-10 20:00:00,LHPB,retested
15497.5,2021-04-05 06:00:00,2021-04-05 08:00:00,2021-05-10 20:00:00,LHPB,retested
15491.5,2021-04-05 07:00:00,2021-04-05 08:00:00,2021-05-10 20:00:00,LHPB,retested
15531.25,2021-04-05 08:00:00,2021-04-05 09:00:00,,LHPB,one_touch
15550.25,2021-04-05 10:00:00,2021-04-05 12:00:00,2021-05-04 15:00:00,LHPB,retested
15549.75,2021-04-05 11:00:00,2021-04-05 12:00:00,2021-05-04 15:00:00,LHPB,retested
15598.25,2021-04-05 12:00:00,2021-04-05 13:00:00,2021-05-04 15:00:00,LHPB,retested
15650.5,2021-04-05 13:00:00,2021-04-05 14:00:00,2021-05-04 14:00:00,LHPB,retested
15703.25,2021-04-05 14:00:00,2021-04-05 15:00:00,2021-04-06 07:00:00,LHPB,retested
15722.75,2021-04-05 15:00:00,2021-04-05 16:00:00,2021-04-06 07:00:00,LHPB,retested
15745.0,2021-04-05 16:00:00,2021-04-05 17:00:00,,LHPB,one_touch
15757.25,2021-04-05 18:00:00,2021-04-05 19:00:00,,LLPB,one_touch
15769.5,2021-04-05 19:00:00,2021-04-05 22:00:00,,LHPB,one_touch
15776.0,2021-04-05 23:00:00,2021-04-06 00:00:00,2021-04-06 14:00:00,LLPB,retested
15759.5,2021-04-05 22:00:00,2021-04-06 01:00:00,2021-04-06 06:00:00,LLPB,retested
15763.25,2021-04-06 00:00:00,2021-04-06 01:00:00,2021-04-06 12:00:00,LLPB,retested
15736.0,2021-04-06 05:00:00,2021-04-06 06:00:00,2021-04-06 11:00:00,LLPB,retested
15705.5,2021-04-05 16:00:00,2021-04-06 07:00:00,,LLPB,one_touch
15725.75,2021-04-06 06:00:00,2021-04-06 07:00:00,,LLPB,one_touch
15735.0,2021-04-06 07:00:00,2021-04-06 11:00:00,,LHPB,one_touch
15733.25,2021-04-06 08:00:00,2021-04-06 11:00:00,,LHPB,one_touch
15726.0,2021-04-06 10:00:00,2021-04-06 11:00:00,,LHPB,one_touch
15742.0,2021-04-06 11:00:00,2021-04-06 12:00:00,,LHPB,one_touch
15770.75,2021-04-06 12:00:00,2021-04-06 14:00:00,,LHPB,one_touch
15762.75,2021-04-06 13:00:00,2021-04-06 14:00:00,,LHPB,one_touch
15787.25,2021-04-05 23:00:00,2021-04-06 15:00:00,,LHPB,one_touch
15786.75,2021-04-06 00:00:00,2021-04-06 15:00:00,,LHPB,one_touch
15783.75,2021-04-06 14:00:00,2021-04-06 15:00:00,,LHPB,one_touch
15758.25,2021-04-06 15:00:00,2021-04-06 17:00:00,,LLPB,one_touch
15776.0,2021-04-06 16:00:00,2021-04-06 17:00:00,,LLPB,one_touch
