price,formation_time,breakout_time,retest_time,type,status,m5_retest_time,m5_open,m5_high,m5_low,m5_close
19705.0,2024-09-06 13:00:00,2024-09-11 17:00:00,2025-03-10 17:00:00,LHPB,retested,2025-03-10 17:00:00,19748.75,19756.75,19690.5,19704.0
19912.75,2024-09-11 18:00:00,2024-09-11 19:00:00,2025-03-10 14:00:00,LHPB,retested,2025-03-10 14:00:00,19996.0,19996.0,19897.0,19913.5
21264.0,2024-11-27 16:00:00,2024-11-27 18:00:00,2024-12-20 12:00:00,LHPB,retested,2024-12-20 12:05:00,21275.25,21287.25,21256.25,21259.0
21521.0,2024-11-27 02:00:00,2024-12-02 13:00:00,2024-12-18 21:00:00,LHPB,retested,2024-12-18 21:00:00,21701.75,21721.5,21517.0,21575.0
21519.5,2024-11-29 17:00:00,2024-12-02 13:00:00,2024-12-18 21:00:00,LHPB,retested,2024-12-18 21:00:00,21701.75,21721.5,21517.0,21575.0
21622.75,2024-11-14 18:00:00,2024-12-02 14:00:00,2024-12-18 21:00:00,LHPB,retested,2024-12-18 21:00:00,21701.75,21721.5,21517.0,21575.0
21592.25,2024-11-14 19:00:00,2024-12-02 14:00:00,2024-12-18 21:00:00,LHPB,retested,2024-12-18 21:00:00,21701.75,21721.5,21517.0,21575.0
21583.0,2024-11-25 14:00:00,2024-12-02 14:00:00,2024-12-18 21:00:00,LHPB,retested,2024-12-18 21:00:00,21701.75,21721.5,21517.0,21575.0
21538.75,2024-12-02 13:00:00,2024-12-02 14:00:00,2024-12-18 21:00:00,LHPB,retested,2024-12-18 21:00:00,21701.75,21721.5,21517.0,21575.0
21723.0,2024-12-03 02:00:00,2024-12-03 03:00:00,2024-12-03 07:00:00,LHPB,retested,2024-12-03 07:00:00,21728.75,21729.25,21721.75,21721.75
21987.0,2024-12-06 12:00:00,2024-12-06 13:00:00,2024-12-09 16:00:00,LHPB,retested,2024-12-09 16:00:00,22009.75,22030.0,21986.25,21992.25
21989.75,2024-12-09 21:00:00,2024-12-10 10:00:00,2024-12-10 16:00:00,LHPB,retested,2024-12-10 16:00:00,22007.0,22017.0,21989.75,22011.75
21987.0,2024-12-10 01:00:00,2024-12-10 10:00:00,2024-12-10 16:00:00,LHPB,retested,2024-12-10 16:05:00,22012.25,22018.0,21975.0,21977.5
21979.0,2024-12-10 05:00:00,2024-12-10 10:00:00,2024-12-10 16:00:00,LHPB,retested,2024-12-10 16:05:00,22012.25,22018.0,21975.0,21977.5
21943.25,2024-12-09 20:00:00,2024-12-10 19:00:00,2024-12-10 23:00:00,LLPB,retested,2024-12-10 23:00:00,21938.0,21944.0,21927.0,21932.75
21952.75,2024-12-10 18:00:00,2024-12-10 19:00:00,2024-12-11 09:00:00,LLPB,retested,2024-12-11 09:05:00,21944.25,21954.25,21944.0,21950.5
22018.0,2024-12-10 16:00:00,2024-12-11 13:00:00,2024-12-18 20:00:00,LHPB,retested,2024-12-18 20:00:00,22121.0,22141.75,22016.75,22022.0
22038.0,2024-12-11 13:00:00,2024-12-11 14:00:00,2024-12-18 20:00:00,LHPB,retested,2024-12-18 20:00:00,22121.0,22141.75,22016.75,22022.0
22272.0,2024-12-11 16:00:00,2024-12-11 17:00:00,2024-12-11 21:00:00,LHPB,retested,2024-12-11 21:00:00,22293.75,22294.5,22268.5,22271.25
22289.5,2024-12-11 20:00:00,2024-12-11 21:00:00,2024-12-13 10:00:00,LLPB,retested,2024-12-13 10:00:00,22288.25,22297.75,22285.0,22296.0
22234.0,2024-12-13 01:00:00,2024-12-13 02:00:00,2024-12-13 06:00:00,LLPB,retested,2024-12-13 06:00:00,22224.5,22234.25,22224.25,22233.25
22276.5,2024-12-13 20:00:00,2024-12-13 21:00:00,2024-12-15 23:00:00,LLPB,retested,2024-12-15 23:00:00,22282.25,22294.0,22264.0,22269.5
22326.0,2024-12-13 20:00:00,2024-12-16 09:00:00,2024-12-18 19:00:00,LHPB,retested,2024-12-18 19:05:00,22433.25,22433.25,22294.25,22312.25
22323.75,2024-12-16 02:00:00,2024-12-16 09:00:00,2024-12-18 19:00:00,LHPB,retested,2024-12-18 19:05:00,22433.25,22433.25,22294.25,22312.25
22321.75,2024-12-16 03:00:00,2024-12-16 09:00:00,2024-12-18 19:00:00,LHPB,retested,2024-12-18 19:05:00,22433.25,22433.25,22294.25,22312.25
22321.0,2024-12-16 08:00:00,2024-12-16 09:00:00,2024-12-18 19:00:00,LHPB,retested,2024-12-18 19:05:00,22433.25,22433.25,22294.25,22312.25
22368.5,2024-12-16 10:00:00,2024-12-16 12:00:00,2024-12-18 19:00:00,LHPB,retested,2024-12-18 19:05:00,22433.25,22433.25,22294.25,22312.25
22366.5,2024-12-16 11:00:00,2024-12-16 12:00:00,2024-12-18 19:00:00,LHPB,retested,2024-12-18 19:05:00,22433.25,22433.25,22294.25,22312.25
22415.5,2024-12-16 13:00:00,2024-12-16 14:00:00,2024-12-17 23:00:00,LHPB,retested,2024-12-17 23:00:00,22515.25,22515.25,22414.0,22414.5
