price,formation_time,breakout_time,retest_time,type,status
4540.25,2021-04-05 01:00:00,2021-04-05 02:00:00,,LLPB,one_touch
4537.75,2021-04-05 03:00:00,2021-04-05 05:00:00,,LLPB,one_touch
4538.25,2021-04-05 04:00:00,2021-04-05 05:00:00,,LLPB,one_touch
4536.75,2021-04-05 06:00:00,2021-04-05 07:00:00,,LHPB,one_touch
4539.25,2021-04-05 05:00:00,2021-04-05 08:00:00,,LHPB,one_touch
4538.0,2021-04-05 07:00:00,2021-04-05 08:00:00,2022-05-09 19:00:00,LHPB,retested
4542.5,2021-04-05 02:00:00,2021-04-05 09:00:00,,LHPB,one_touch
4541.75,2021-04-05 08:00:00,2021-04-05 09:00:00,,LHPB,one_touch
4545.75,2021-04-05 11:00:00,2021-04-05 12:00:00,2021-05-13 08:00:00,LHPB,retested
4549.75,2021-04-05 12:00:00,2021-04-05 13:00:00,2021-05-13 08:00:00,LHPB,retested
4561.75,2021-04-05 13:00:00,2021-04-05 14:00:00,2021-05-13 07:00:00,LHPB,retested
4576.0,2021-04-05 14:00:00,2021-04-05 15:00:00,2021-04-05 19:00:00,LHPB,retested
4584.0,2021-04-05 19:00:00,2021-04-05 22:00:00,,LHPB,one_touch
4582.75,2021-04-05 20:00:00,2021-04-05 22:00:00,,LHPB,one_touch
4580.25,2021-04-05 22:00:00,2021-04-06 00:00:00,2021-04-06 13:00:00,LLPB,retested
4582.5,2021-04-05 23:00:00,2021-04-06 00:00:00,2021-04-06 13:00:00,LLPB,retested
4576.75,2021-04-05 20:00:00,2021-04-06 01:00:00,2021-04-06 12:00:00,LLPB,retested
4577.5,2021-04-06 00:00:00,2021-04-06 01:00:00,2021-04-06 12:00:00,LLPB,retested
4572.25,2021-04-06 02:00:00,2021-04-06 03:00:00,,LLPB,one_touch
4573.25,2021-04-06 10:00:00,2021-04-06 11:00:00,,LHPB,one_touch
4579.75,2021-04-06 01:00:00,2021-04-06 13:00:00,2021-04-06 17:00:00,LHPB,retested
4578.25,2021-04-06 12:00:00,2021-04-06 13:00:00,2021-04-06 17:00:00,LHPB,retested
4578.5,2021-04-06 18:00:00,2021-04-06 19:00:00,,LLPB,one_touch
4582.0,2021-04-06 22:00:00,2021-04-06 23:00:00,,LHPB,one_touch
4576.75,2021-04-06 22:00:00,2021-04-07 01:00:00,,LLPB,one_touch
4578.25,2021-04-07 00:00:00,2021-04-07 01:00:00,2021-04-07 06:00:00,LLPB,retested
4580.0,2021-04-07 06:00:00,2021-04-07 07:00:00,,LHPB,one_touch
4576.5,2021-04-07 06:00:00,2021-04-07 09:00:00,,LLPB,one_touch
4577.25,2021-04-07 07:00:00,2021-04-07 09:00:00,,LLPB,one_touch
4577.75,2021-04-07 08:00:00,2021-04-07 09:00:00,,LLPB,one_touch
4575.75,2021-04-07 10:00:00,2021-04-07 11:00:00,,LLPB,one_touch
4569.25,2021-04-06 12:00:00,2021-04-07 12:00:00,,LLPB,one_touch
4570.0,2021-04-06 19:00:00,2021-04-07 12:00:00,,LLPB,one_touch
4573.25,2021-04-07 09:00:00,2021-04-07 12:00:00,,LLPB,one_touch
4574.75,2021-04-07 11:00:00,2021-04-07 12:00:00,,LLPB,one_touch
4577.0,2021-04-07 12:00:00,2021-04-07 13:00:00,,LHPB,one_touch
4581.75,2021-04-07 07:00:00,2021-04-07 14:00:00,,LHPB,one_touch
4581.5,2021-04-07 13:00:00,2021-04-07 14:00:00,,LHPB,one_touch
4578.75,2021-04-07 16:00:00,2021-04-07 17:00:00,,LHPB,one_touch
4585.25,2021-04-07 14:00:00,2021-04-07 20:00:00,,LHPB,one_touch
4585.0,2021-04-07 15:00:00,2021-04-07 20:00:00,,LHPB,one_touch
4584.75,2021-04-07 18:00:00,2021-04-07 20:00:00,,LHPB,one_touch
4583.25,2021-04-07 19:00:00,2021-04-07 20:00:00,2021-05-12 16:00:00,LHPB,retested
4587.75,2021-04-06 16:00:00,2021-04-07 23:00:00,2021-04-08 13:00:00,LHPB,retested
4587.5,2021-04-07 22:00:00,2021-04-07 23:00:00,2021-04-08 13:00:00,LHPB,retested
4592.0,2021-04-08 00:00:00,2021-04-08 01:00:00,2021-04-08 08:00:00,LHPB,retested
4597.5,2021-04-08 01:00:00,2021-04-08 02:00:00,,LHPB,one_touch
4598.5,2021-04-08 02:00:00,2021-04-08 03:00:00,,LHPB,one_touch
4600.75,2021-04-08 03:00:00,2021-04-08 05:00:00,,LHPB,one_touch
4600.25,2021-04-08 04:00:00,2021-04-08 05:00:00,,LHPB,one_touch
4598.75,2021-04-08 04:00:00,2021-04-08 06:00:00,,LLPB,one_touch
4599.0,2021-04-08 05:00:00,2021-04-08 06:00:00,,LLPB,one_touch
4597.25,2021-04-08 03:00:00,2021-04-08 07:00:00,,LLPB,one_touch
4598.5,2021-04-08 06:00:00,2021-04-08 07:00:00,2021-04-08 16:00:00,LLPB,retested
4593.5,2021-04-08 11:00:00,2021-04-08 12:00:00,,LLPB,one_touch
4599.75,2021-04-08 07:00:00,2021-04-08 18:00:00,,LHPB,one_touch
4599.25,2021-04-08 16:00:00,2021-04-08 18:00:00,,LHPB,one_touch
4598.25,2021-04-08 17:00:00,2021-04-08 18:00:00,,LHPB,one_touch
4600.5,2021-04-08 18:00:00,2021-04-08 19:00:00,,LHPB,one_touch
4604.5,2021-04-08 05:00:00,2021-04-08 20:00:00,2021-04-09 02:00:00,LHPB,retested
4604.25,2021-04-08 06:00:00,2021-04-08 20:00:00,2021-04-09 02:00:00,LHPB,retested
4601.75,2021-04-08 19:00:00,2021-04-08 20:00:00,2021-04-09 05:00:00,LHPB,retested
4610.25,2021-04-08 20:00:00,2021-04-08 23:00:00,,LHPB,one_touch
4609.75,2021-04-08 22:00:00,2021-04-08 23:00:00,,LHPB,one_touch
4611.5,2021-04-08 23:00:00,2021-04-09 00:00:00,,LHPB,one_touch
4607.5,2021-04-08 23:00:00,2021-04-09 01:00:00,,LLPB,one_touch
4610.0,2021-04-09 00:00:00,2021-04-09 01:00:00,2021-04-09 11:00:00,LLPB,retested
4606.75,2021-04-09 02:00:00,2021-04-09 03:00:00,,LHPB,one_touch
4603.25,2021-04-09 03:00:00,2021-04-09 05:00:00,,LLPB,one_touch
4606.0,2021-04-09 04:00:00,2021-04-09 05:00:00,,LLPB,one_touch
4604.5,2021-04-09 06:00:00,2021-04-09 07:00:00,,LHPB,one_touch
4606.0,2021-04-09 10:00:00,2021-04-09 11:00:00,,LHPB,one_touch
4596.5,2021-04-08 19:00:00,2021-04-09 12:00:00,,LLPB,one_touch
4598.75,2021-04-09 05:00:00,2021-04-09 12:00:00,,LLPB,one_touch
4599.5,2021-04-09 07:00:00,2021-04-09 12:00:00,,LLPB,one_touch
4601.25,2021-04-09 08:00:00,2021-04-09 12:00:00,,LLPB,one_touch
4601.5,2021-04-09 10:00:00,2021-04-09 12:00:00,,LLPB,one_touch
4603.0,2021-04-09 11:00:00,2021-04-09 12:00:00,,LLPB,one_touch
4608.25,2021-04-09 14:00:00,2021-04-09 15:00:00,,LHPB,one_touch
4611.25,2021-04-09 16:00:00,2021-04-09 17:00:00,,LHPB,one_touch
4615.75,2021-04-09 17:00:00,2021-04-09 19:00:00,2021-04-13 11:00:00,LHPB,retested
4615.5,2021-04-09 18:00:00,2021-04-09 19:00:00,2021-04-13 11:00:00,LHPB,retested
4623.5,2021-04-11 22:00:00,2021-04-11 23:00:00,,LLPB,one_touch
4620.75,2021-04-12 01:00:00,2021-04-12 02:00:00,,LLPB,one_touch
4618.25,2021-04-12 03:00:00,2021-04-12 04:00:00,,LLPB,one_touch
4621.75,2021-04-12 02:00:00,2021-04-12 06:00:00,,LHPB,one_touch
4621.0,2021-04-12 04:00:00,2021-04-12 06:00:00,,LHPB,one_touch
4620.5,2021-04-12 05:00:00,2021-04-12 06:00:00,,LHPB,one_touch
4624.75,2021-04-12 07:00:00,2021-04-12 09:00:00,,LHPB,one_touch
4623.5,2021-04-12 08:00:00,2021-04-12 09:00:00,,LHPB,one_touch
4632.25,2021-04-09 20:00:00,2021-04-12 16:00:00,,LHPB,one_touch
4631.0,2021-04-12 13:00:00,2021-04-12 16:00:00,,LHPB,one_touch
4628.0,2021-04-12 14:00:00,2021-04-12 16:00:00,,LHPB,one_touch
4627.75,2021-04-12 15:00:00,2021-04-12 16:00:00,,LHPB,one_touch
4624.0,2021-04-12 16:00:00,2021-04-12 17:00:00,,LLPB,one_touch
4627.25,2021-04-12 18:00:00,2021-04-12 19:00:00,2021-04-13 05:00:00,LHPB,retested
4631.0,2021-04-13 01:00:00,2021-04-13 04:00:00,,LLPB,one_touch
4631.5,2021-04-13 03:00:00,2021-04-13 04:00:00,,LLPB,one_touch
4629.25,2021-04-13 05:00:00,2021-04-13 06:00:00,2021-04-13 10:00:00,LHPB,retested
4632.0,2021-04-13 04:00:00,2021-04-13 07:00:00,,LHPB,one_touch
4630.75,2021-04-13 06:00:00,2021-04-13 07:00:00,,LHPB,one_touch
4636.25,2021-04-12 20:00:00,2021-04-13 09:00:00,,LHPB,one_touch
4635.5,2021-04-12 23:00:00,2021-04-13 09:00:00,,LHPB,one_touch
4635.25,2021-04-13 08:00:00,2021-04-13 09:00:00,,LHPB,one_touch
4629.75,2021-04-13 07:00:00,2021-04-13 10:00:00,,LLPB,one_touch
4632.25,2021-04-13 09:00:00,2021-04-13 10:00:00,,LLPB,one_touch
4621.25,2021-04-12 19:00:00,2021-04-13 11:00:00,,LLPB,one_touch
4625.5,2021-04-13 05:00:00,2021-04-13 11:00:00,,LLPB,one_touch
4626.75,2021-04-13 06:00:00,2021-04-13 11:00:00,,LLPB,one_touch
4627.25,2021-04-13 10:00:00,2021-04-13 11:00:00,,LLPB,one_touch
4629.0,2021-04-13 11:00:00,2021-04-13 12:00:00,,LHPB,one_touch
4633.25,2021-04-13 14:00:00,2021-04-13 16:00:00,,LLPB,one_touch
4633.5,2021-04-13 15:00:00,2021-04-13 16:00:00,,LLPB,one_touch
4638.75,2021-04-13 17:00:00,2021-04-13 18:00:00,2021-04-14 17:00:00,LHPB,retested
4643.25,2021-04-13 22:00:00,2021-04-13 23:00:00,,LLPB,one_touch
4645.5,2021-04-14 00:00:00,2021-04-14 01:00:00,,LHPB,one_touch
4647.0,2021-04-14 01:00:00,2021-04-14 04:00:00,,LHPB,one_touch
4646.5,2021-04-14 02:00:00,2021-04-14 04:00:00,,LHPB,one_touch
4644.25,2021-04-14 03:00:00,2021-04-14 04:00:00,2021-04-14 12:00:00,LHPB,retested
4648.0,2021-04-14 04:00:00,2021-04-14 05:00:00,,LHPB,one_touch
4649.75,2021-04-14 07:00:00,2021-04-14 08:00:00,,LHPB,one_touch
4648.75,2021-04-14 09:00:00,2021-04-14 10:00:00,,LLPB,one_touch
4649.0,2021-04-14 10:00:00,2021-04-14 11:00:00,,LHPB,one_touch
4643.75,2021-04-14 04:00:00,2021-04-14 12:00:00,,LLPB,one_touch
4644.5,2021-04-14 06:00:00,2021-04-14 12:00:00,,LLPB,one_touch
4645.0,2021-04-14 08:00:00,2021-04-14 12:00:00,,LLPB,one_touch
4645.25,2021-04-14 10:00:00,2021-04-14 12:00:00,,LLPB,one_touch
4645.75,2021-04-14 11:00:00,2021-04-14 12:00:00,,LLPB,one_touch
4651.5,2021-04-13 19:00:00,2021-04-14 13:00:00,,LHPB,one_touch
4651.0,2021-04-14 09:00:00,2021-04-14 13:00:00,,LHPB,one_touch
4650.25,2021-04-14 11:00:00,2021-04-14 13:00:00,,LHPB,one_touch
4650.0,2021-04-14 12:00:00,2021-04-14 13:00:00,,LHPB,one_touch
4637.5,2021-04-13 18:00:00,2021-04-14 17:00:00,,LLPB,one_touch
4641.25,2021-04-14 13:00:00,2021-04-14 17:00:00,,LLPB,one_touch
4643.25,2021-04-14 15:00:00,2021-04-14 17:00:00,2021-04-15 06:00:00,LLPB,retested
4644.75,2021-04-14 16:00:00,2021-04-14 17:00:00,2021-04-15 07:00:00,LLPB,retested
4631.5,2021-04-13 17:00:00,2021-04-14 18:00:00,,LLPB,one_touch
4634.25,2021-04-14 17:00:00,2021-04-14 18:00:00,,LLPB,one_touch
4636.0,2021-04-14 20:00:00,2021-04-14 22:00:00,,LHPB,one_touch
4636.75,2021-04-14 23:00:00,2021-04-15 00:00:00,,LHPB,one_touch
4635.25,2021-04-15 02:00:00,2021-04-15 04:00:00,,LHPB,one_touch
4635.0,2021-04-15 03:00:00,2021-04-15 04:00:00,2021-04-20 14:00:00,LHPB,retested
4637.0,2021-04-15 04:00:00,2021-04-15 05:00:00,2021-04-20 14:00:00,LHPB,retested
4642.0,2021-04-14 18:00:00,2021-04-15 06:00:00,,LHPB,one_touch
4639.25,2021-04-15 05:00:00,2021-04-15 06:00:00,2021-04-20 14:00:00,LHPB,retested
4643.25,2021-04-15 06:00:00,2021-04-15 07:00:00,2021-04-20 10:00:00,LHPB,retested
4650.75,2021-04-14 17:00:00,2021-04-15 10:00:00,,LHPB,one_touch
4650.5,2021-04-15 09:00:00,2021-04-15 10:00:00,,LHPB,one_touch
4652.0,2021-04-14 15:00:00,2021-04-15 11:00:00,,LHPB,one_touch
4651.75,2021-04-14 16:00:00,2021-04-15 11:00:00,,LHPB,one_touch
4651.25,2021-04-15 10:00:00,2021-04-15 11:00:00,,LHPB,one_touch
