price,formation_time,breakout_time,retest_time,type,status,m5_retest_time,m5_open,m5_high,m5_low,m5_close
4855.75,2023-11-14 13:00:00,2023-11-14 14:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,5007.0,5007.0,4832.0,4887.25
4887.0,2023-11-20 06:00:00,2023-11-20 07:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,5007.0,5007.0,4832.0,4887.25
4897.75,2023-11-20 11:00:00,2023-11-20 14:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,5007.0,5007.0,4832.0,4887.25
4896.75,2023-11-20 12:00:00,2023-11-20 14:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,5007.0,5007.0,4832.0,4887.25
4896.5,2023-11-20 13:00:00,2023-11-20 14:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,5007.0,5007.0,4832.0,4887.25
4925.75,2023-12-07 12:00:00,2023-12-07 13:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,5007.0,5007.0,4832.0,4887.25
4963.0,2023-12-08 17:00:00,2023-12-08 18:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,5007.0,5007.0,4832.0,4887.25
5002.0,2023-12-12 18:00:00,2023-12-12 19:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,5007.0,5007.0,4832.0,4887.25
5009.25,2023-12-12 13:00:00,2023-12-12 20:00:00,2025-04-07 10:00:00,LHPB,retested,2025-04-07 10:35:00,4996.25,5034.75,4990.5,5032.25
5005.5,2023-12-12 19:00:00,2023-12-12 20:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,5007.0,5007.0,4832.0,4887.25
5058.5,2024-01-05 19:00:00,2024-01-08 14:00:00,2025-04-07 14:00:00,LHPB,retested,2025-04-07 14:10:00,4995.5,5227.5,4993.75,5191.5
5056.25,2024-01-08 01:00:00,2024-01-08 14:00:00,2025-04-07 14:00:00,LHPB,retested,2025-04-07 14:10:00,4995.5,5227.5,4993.75,5191.5
5052.5,2024-01-08 13:00:00,2024-01-08 14:00:00,2025-04-07 14:00:00,LHPB,retested,2025-04-07 14:10:00,4995.5,5227.5,4993.75,5191.5
5080.0,2024-01-18 04:00:00,2024-01-18 05:00:00,2025-04-04 20:00:00,LHPB,retested,2025-04-04 20:20:00,5095.25,5098.0,5076.5,5080.5
5114.25,2024-01-16 18:00:00,2024-01-18 19:00:00,2025-04-04 18:00:00,LHPB,retested,2025-04-04 18:40:00,5124.0,5126.0,5107.5,5111.0
5113.75,2024-01-16 23:00:00,2024-01-18 19:00:00,2025-04-04 18:00:00,LHPB,retested,2025-04-04 18:40:00,5124.0,5126.0,5107.5,5111.0
5113.25,2024-01-17 00:00:00,2024-01-18 19:00:00,2025-04-04 18:00:00,LHPB,retested,2025-04-04 18:40:00,5124.0,5126.0,5107.5,5111.0
5110.5,2024-01-18 13:00:00,2024-01-18 19:00:00,2025-04-04 18:00:00,LHPB,retested,2025-04-04 18:40:00,5124.0,5126.0,5107.5,5111.0
5109.25,2024-01-18 16:00:00,2024-01-18 19:00:00,2025-04-04 18:00:00,LHPB,retested,2025-04-04 18:40:00,5124.0,5126.0,5107.5,5111.0
5104.5,2024-01-18 17:00:00,2024-01-18 19:00:00,2025-04-04 19:00:00,LHPB,retested,2025-04-04 19:55:00,5119.0,5119.5,5103.0,5108.5
5100.25,2024-01-18 18:00:00,2024-01-18 19:00:00,2025-04-04 20:00:00,LHPB,retested,2025-04-04 20:00:00,5108.5,5116.5,5088.5,5096.0
5118.75,2024-01-18 19:00:00,2024-01-18 20:00:00,2025-04-04 18:00:00,LHPB,retested,2025-04-04 18:40:00,5124.0,5126.0,5107.5,5111.0
5154.5,2023-12-28 03:00:00,2024-01-19 17:00:00,2025-04-04 14:00:00,LHPB,retested,2025-04-04 14:50:00,5167.5,5204.25,5153.5,5196.5
5154.25,2024-01-19 13:00:00,2024-01-19 17:00:00,2025-04-04 14:00:00,LHPB,retested,2025-04-04 14:50:00,5167.5,5204.25,5153.5,5196.5
5152.25,2024-01-19 16:00:00,2024-01-19 17:00:00,2025-04-04 17:00:00,LHPB,retested,2025-04-04 17:10:00,5169.0,5170.0,5147.25,5150.5
5170.75,2022-03-30 07:00:00,2024-01-19 18:00:00,2025-04-04 14:00:00,LHPB,retested,2025-04-04 14:45:00,5200.0,5201.25,5167.0,5167.5
5169.75,2022-03-30 14:00:00,2024-01-19 18:00:00,2025-04-04 14:00:00,LHPB,retested,2025-04-04 14:45:00,5200.0,5201.25,5167.0,5167.5
5208.0,2024-02-01 16:00:00,2024-02-01 17:00:00,2025-04-04 14:00:00,LHPB,retested,2025-04-04 14:35:00,5210.5,5216.75,5200.0,5214.25
5239.25,2024-04-19 02:00:00,2024-04-19 03:00:00,2025-04-04 11:00:00,LHPB,retested,2025-04-04 11:25:00,5264.0,5265.0,5224.0,5228.0
