es_price,es_formation_time,es_breakout_time,es_retest_time,es_type,es_status,es_m5_retest_time,es_m5_open,es_m5_high,es_m5_low,es_m5_close,nq_price,nq_formation_time,nq_breakout_time,nq_retest_time,nq_type,nq_status,nq_m5_retest_time,nq_m5_open,nq_m5_high,nq_m5_low,nq_m5_close,time_diff_minutes
4855.75,2023-11-14 13:00:00,2023-11-14 14:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,5007.0,5007.0,4832.0,4887.25,16656.25,2023-11-07 11:00:00,2023-11-07 12:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,17100.0,17100.0,16550.0,16689.75,0.0
4855.75,2023-11-14 13:00:00,2023-11-14 14:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,5007.0,5007.0,4832.0,4887.25,16704.25,2023-11-10 09:00:00,2023-11-10 12:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,17100.0,17100.0,16550.0,16689.75,0.0
4855.75,2023-11-14 13:00:00,2023-11-14 14:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,5007.0,5007.0,4832.0,4887.25,16692.75,2023-11-10 10:00:00,2023-11-10 12:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,17100.0,17100.0,16550.0,16689.75,0.0
4855.75,2023-11-14 13:00:00,2023-11-14 14:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,5007.0,5007.0,4832.0,4887.25,16684.25,2023-11-10 11:00:00,2023-11-10 12:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,17100.0,17100.0,16550.0,16689.75,0.0
4855.75,2023-11-14 13:00:00,2023-11-14 14:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,5007.0,5007.0,4832.0,4887.25,16733.75,2023-11-10 12:00:00,2023-11-10 13:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,17100.0,17100.0,16550.0,16689.75,0.0
4855.75,2023-11-14 13:00:00,2023-11-14 14:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,5007.0,5007.0,4832.0,4887.25,16771.5,2023-11-10 13:00:00,2023-11-10 14:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,17100.0,17100.0,16550.0,16689.75,0.0
4855.75,2023-11-14 13:00:00,2023-11-14 14:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,5007.0,5007.0,4832.0,4887.25,16895.0,2023-11-09 17:00:00,2023-11-10 16:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,17100.0,17100.0,16550.0,16689.75,0.0
4855.75,2023-11-14 13:00:00,2023-11-14 14:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,5007.0,5007.0,4832.0,4887.25,16869.0,2023-11-09 18:00:00,2023-11-10 16:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,17100.0,17100.0,16550.0,16689.75,0.0
4855.75,2023-11-14 13:00:00,2023-11-14 14:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,5007.0,5007.0,4832.0,4887.25,16841.5,2023-11-10 14:00:00,2023-11-10 16:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,17100.0,17100.0,16550.0,16689.75,0.0
4855.75,2023-11-14 13:00:00,2023-11-14 14:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,5007.0,5007.0,4832.0,4887.25,16830.5,2023-11-10 15:00:00,2023-11-10 16:00:00,2025-04-06 22:00:00,LHPB,retested,2025-04-06 22:00:00,17100.0,17100.0,16550.0,16689.75,0.0
