price,formation_time,breakout_time,type
2072.5,2013-09-10 22:00:00,2013-09-12 22:00:00,LHPB
2092.5,2013-09-15 22:00:00,2013-09-17 22:00:00,LHPB
2082.0,2013-09-17 22:00:00,2013-09-22 22:00:00,LLPB
2090.0,2013-09-19 22:00:00,2013-09-22 22:00:00,LLPB
2076.5,2013-09-16 22:00:00,2013-09-23 22:00:00,LLPB
2071.5,2013-09-15 22:00:00,2013-09-26 22:00:00,LLPB
2073.25,2013-09-24 22:00:00,2013-09-26 22:00:00,LLPB
2059.75,2013-09-10 22:00:00,2013-09-29 22:00:00,LLPB
2062.5,2013-09-12 22:00:00,2013-09-29 22:00:00,LLPB
2068.75,2013-09-26 22:00:00,2013-09-29 22:00:00,LLPB
2055.5,2013-09-29 22:00:00,2013-10-02 22:00:00,LLPB
2056.25,2013-10-03 22:00:00,2013-10-06 22:00:00,LLPB
2051.0,2013-09-09 22:00:00,2013-10-07 22:00:00,LLPB
2052.0,2013-10-02 22:00:00,2013-10-07 22:00:00,LLPB
2074.75,2013-10-03 22:00:00,2013-10-09 22:00:00,LHPB
2070.75,2013-10-06 22:00:00,2013-10-09 22:00:00,LHPB
2060.25,2013-10-07 22:00:00,2013-10-09 22:00:00,LHPB
2086.25,2013-09-25 22:00:00,2013-10-10 22:00:00,LHPB
2084.25,2013-09-26 22:00:00,2013-10-10 22:00:00,LHPB
2081.0,2013-09-30 22:00:00,2013-10-10 22:00:00,LHPB
2080.5,2013-10-01 22:00:00,2013-10-10 22:00:00,LHPB
2089.75,2013-09-23 22:00:00,2013-10-13 22:00:00,LHPB
2089.0,2013-10-10 22:00:00,2013-10-13 22:00:00,LHPB
2096.25,2013-09-22 22:00:00,2013-10-14 22:00:00,LHPB
2115.5,2013-09-18 22:00:00,2013-10-16 22:00:00,LHPB
2108.25,2013-09-19 22:00:00,2013-10-16 22:00:00,LHPB
2129.0,2013-10-17 22:00:00,2013-10-20 22:00:00,LHPB
2123.5,2013-10-20 22:00:00,2013-10-22 22:00:00,LLPB
2143.25,2013-10-21 22:00:00,2013-10-24 22:00:00,LHPB
2144.5,2013-10-24 22:00:00,2013-10-27 22:00:00,LHPB
2140.25,2013-10-27 22:00:00,2013-10-30 22:00:00,LLPB
2152.75,2013-10-30 22:00:00,2013-11-03 23:00:00,LHPB
2150.0,2013-10-31 22:00:00,2013-11-03 23:00:00,LHPB
2131.5,2013-10-24 22:00:00,2013-11-06 23:00:00,LLPB
2162.0,2013-10-29 22:00:00,2013-11-06 23:00:00,LHPB
2135.75,2013-10-31 22:00:00,2013-11-06 23:00:00,LLPB
2139.25,2013-11-04 23:00:00,2013-11-06 23:00:00,LLPB
2128.75,2013-10-23 22:00:00,2013-11-07 23:00:00,LLPB
2156.75,2013-11-07 23:00:00,2013-11-10 23:00:00,LHPB
