price,formation_time,breakout_time,type,is_spike,is_swing
4590.5,2021-04-08 09:00:00,2021-04-08 13:00:00,LLPB,False,True
4597.75,2021-04-08 08:00:00,2021-04-08 16:00:00,LHPB,False,False
4597.5,2021-04-08 10:00:00,2021-04-08 16:00:00,LHPB,False,True
4597.25,2021-04-08 12:00:00,2021-04-08 16:00:00,LHPB,False,True
4600.0,2021-04-08 20:00:00,2021-04-09 05:00:00,LLPB,False,False
4608.75,2021-04-09 04:00:00,2021-04-09 11:00:00,LHPB,False,True
4608.25,2021-04-09 07:00:00,2021-04-09 11:00:00,LHPB,False,True
4595.25,2021-04-08 18:00:00,2021-04-09 12:00:00,LLPB,False,False
4596.5,2021-04-08 19:00:00,2021-04-09 12:00:00,LLPB,False,False
4598.75,2021-04-09 05:00:00,2021-04-09 12:00:00,LLPB,False,True
4599.5,2021-04-09 07:00:00,2021-04-09 12:00:00,LLPB,False,True
4601.25,2021-04-09 08:00:00,2021-04-09 12:00:00,LLPB,False,False
4593.5,2021-04-08 16:00:00,2021-04-09 13:00:00,LLPB,True,False
4594.0,2021-04-08 17:00:00,2021-04-09 13:00:00,LLPB,False,False
4610.25,2021-04-09 11:00:00,2021-04-09 15:00:00,LHPB,False,True
4614.25,2021-04-09 01:00:00,2021-04-09 17:00:00,LHPB,False,True
4622.25,2021-04-09 20:00:00,2021-04-11 23:00:00,LLPB,False,False
4617.75,2021-04-12 00:00:00,2021-04-12 04:00:00,LLPB,False,True
4621.75,2021-04-12 02:00:00,2021-04-12 06:00:00,LHPB,False,False
4627.75,2021-04-11 23:00:00,2021-04-12 11:00:00,LHPB,False,False
4626.5,2021-04-12 01:00:00,2021-04-12 11:00:00,LHPB,False,True
4629.75,2021-04-11 22:00:00,2021-04-12 13:00:00,LHPB,False,False
4619.25,2021-04-12 08:00:00,2021-04-12 14:00:00,LLPB,False,True
4633.25,2021-04-09 19:00:00,2021-04-12 16:00:00,LHPB,False,True
4632.25,2021-04-09 20:00:00,2021-04-12 16:00:00,LHPB,False,False
4621.75,2021-04-12 15:00:00,2021-04-12 19:00:00,LLPB,False,False
4635.0,2021-04-13 03:00:00,2021-04-13 08:00:00,LHPB,False,True
4636.25,2021-04-12 20:00:00,2021-04-13 09:00:00,LHPB,False,True
4635.5,2021-04-12 23:00:00,2021-04-13 09:00:00,LHPB,False,True
4616.25,2021-04-12 05:00:00,2021-04-13 11:00:00,LLPB,False,True
4617.25,2021-04-12 06:00:00,2021-04-13 11:00:00,LLPB,False,False
4617.75,2021-04-12 14:00:00,2021-04-13 11:00:00,LLPB,False,True
