D1_Level,H1_Level,Distance_to_D1,H1_Is_Spike,H1_Is_Swing,Entry_Type,Type,Direction,Entry_Time,Exit_Time,Entry_Price,Exit_Price,Stop_Price,Target_Price,PnL,Outcome,MAE,MFE,Max_Drawdown,Formation_Time,Breakout_Time,Associated_D1_Levels
4163.5,4172.0,8.5,True,False,Spike,LHPB,LONG,2022-10-11 17:10:00,2022-10-11 17:15:00,4172.0,4167.0,4167.0,4182.0,-5.0,STOP,5.0,0.0,3.0,2022-10-11 17:00:00,2022-10-13 15:00:00,8
4132.5,4125.25,7.25,False,True,Swing,LLPB,SHORT,2022-10-10 17:10:00,2022-10-10 17:15:00,4125.25,4130.25,4130.25,4115.25,-5.0,STOP,5.0,0.0,0.0,2022-10-10 17:00:00,2022-10-11 06:00:00,7
4125.5,4116.5,9.0,False,True,Swing,LLPB,SHORT,2022-10-14 19:55:00,2022-10-14 20:00:00,4116.5,4121.5,4121.5,4106.5,-5.0,STOP,5.0,0.0,0.0,2022-10-14 19:00:00,2022-10-16 22:00:00,7
4118.75,4109.5,9.25,False,True,Swing,LLPB,SHORT,2022-10-11 10:05:00,2022-10-11 10:10:00,4109.5,4114.5,4114.5,4099.5,-5.0,STOP,5.0,0.0,1.75,2022-10-11 10:00:00,2022-10-11 14:00:00,4
4150.5,4147.25,3.25,True,True,Spike,LLPB,SHORT,2022-09-29 18:20:00,2022-09-29 18:25:00,4147.25,4152.25,4152.25,4137.25,-5.0,STOP,5.0,0.0,2.5,2022-09-29 18:00:00,2022-09-30 18:00:00,7
4138.25,4147.25,9.0,True,True,Spike,LLPB,SHORT,2022-09-29 18:20:00,2022-09-29 18:25:00,4147.25,4152.25,4152.25,4137.25,-5.0,STOP,5.0,0.0,2.5,2022-09-29 18:00:00,2022-09-30 18:00:00,7
4108.25,4104.25,4.0,False,True,Swing,LLPB,SHORT,2022-10-11 19:15:00,2022-10-11 19:20:00,4104.25,4109.25,4109.25,4094.25,-5.0,STOP,5.0,0.0,0.0,2022-10-11 19:00:00,2022-10-13 12:00:00,4
4087.75,4097.0,9.25,False,True,Swing,LLPB,SHORT,2022-10-03 00:55:00,2022-10-03 01:00:00,4097.0,4102.0,4102.0,4087.0,-5.0,STOP,5.0,0.0,0.5,2022-10-03 00:00:00,2022-10-13 12:00:00,4
4173.0,4172.0,1.0,True,False,Spike,LHPB,LONG,2022-10-11 17:10:00,2022-10-11 17:15:00,4172.0,4167.0,4167.0,4182.0,-5.0,STOP,5.0,0.0,3.0,2022-10-11 17:00:00,2022-10-13 15:00:00,8
4121.5,4112.5,9.0,False,True,Swing,LLPB,SHORT,2022-10-12 20:00:00,2022-10-12 20:10:00,4112.5,4117.5,4117.5,4102.5,-5.0,STOP,5.0,0.0,3.75,2022-10-12 20:00:00,2022-10-13 06:00:00,6
4137.75,4147.25,9.5,True,True,Spike,LLPB,SHORT,2022-09-29 18:20:00,2022-09-29 18:25:00,4147.25,4152.25,4152.25,4137.25,-5.0,STOP,5.0,0.0,2.5,2022-09-29 18:00:00,2022-09-30 18:00:00,7
4150.75,4147.25,3.5,True,True,Spike,LLPB,SHORT,2022-09-29 18:20:00,2022-09-29 18:25:00,4147.25,4152.25,4152.25,4137.25,-5.0,STOP,5.0,0.0,2.5,2022-09-29 18:00:00,2022-09-30 18:00:00,7
4195.5,4189.75,5.75,True,False,Spike,LLPB,SHORT,2022-06-17 15:00:00,2022-06-17 15:05:00,4189.75,4194.75,4194.75,4179.75,-5.0,STOP,5.0,0.0,0.0,2022-06-17 15:00:00,2022-09-23 18:00:00,10
4161.0,4151.75,9.25,False,True,Swing,LLPB,SHORT,2022-09-30 13:35:00,2022-09-30 13:40:00,4151.75,4156.75,4156.75,4141.75,-5.0,STOP,5.0,0.0,5.0,2022-09-30 13:00:00,2022-09-30 18:00:00,7
4210.25,4212.5,2.25,True,False,Spike,LLPB,SHORT,2022-10-19 18:00:00,2022-10-19 18:05:00,4212.5,4217.5,4217.5,4202.5,-5.0,STOP,5.0,0.0,0.0,2022-10-19 18:00:00,2022-10-20 00:00:00,7
4176.75,4172.0,4.75,True,False,Spike,LHPB,LONG,2022-10-11 17:10:00,2022-10-11 17:15:00,4172.0,4167.0,4167.0,4182.0,-5.0,STOP,5.0,0.0,3.0,2022-10-11 17:00:00,2022-10-13 15:00:00,8
4170.25,4172.0,1.75,True,False,Spike,LHPB,LONG,2022-10-11 17:10:00,2022-10-11 17:15:00,4172.0,4167.0,4167.0,4182.0,-5.0,STOP,5.0,0.0,3.0,2022-10-11 17:00:00,2022-10-13 15:00:00,8
