entry_price , target_price, stop_price, entry_time         , exit_time          , exit_price, pnl   , outcome, level_price, formation_time     , breakout_time      , retest_time        , fta    , risk , reward, rr_ratio          , R                 , validity
4855.75     , 4865.75     ,    4847.75, 2025-04-06 22:00:00, 2025-04-06 22:05:00,    4847.75, -8.0  , LOSS   ,     4855.75, 2023-11-14 13:00:00, 2023-11-14 14:00:00, 2025-04-06 22:00:00, 4865.75,  8.0 ,  10.0 , 1.25              , 1.25              , invalid
4887.0      , 4888.75     ,    4886.0 , 2025-04-06 22:00:00, 2025-04-06 22:05:00,    4886.0 , -1.0  , LOSS   ,     4887.0 , 2023-11-20 06:00:00, 2023-11-20 07:00:00, 2025-04-06 22:00:00, 4888.75,  1.0 ,   1.75, 1.75              , 1.75              , invalid
5002.0      , 5009.75     ,    4999.25, 2025-04-06 22:00:00, 2025-04-06 22:05:00,    4999.25, -2.75 , LOSS   ,     5002.0 , 2023-12-12 18:00:00, 2023-12-12 19:00:00, 2025-04-06 22:00:00, 5009.75,  2.75,   7.75, 2.8181818181818183, 2.8181818181818183, invalid
5005.5      , 5009.75     ,    5004.25, 2025-04-06 22:00:00, 2025-04-06 22:05:00,    5004.25, -1.25 , LOSS   ,     5005.5 , 2023-12-12 19:00:00, 2023-12-12 20:00:00, 2025-04-06 22:00:00, 5009.75,  1.25,   4.25, 3.4               , 3.4               , invalid
5110.5      , 5122.25     ,    5098.5 , 2025-04-04 18:40:00, 2025-04-04 18:45:00,    5122.25, 11.75 , WIN    ,     5110.5 , 2024-01-18 13:00:00, 2024-01-18 19:00:00, 2025-04-04 18:00:00, 5122.25, 12.0 ,  11.75, 0.9791666666666666, 0.9791666666666666, valid
5109.25     , 5122.25     ,    5098.5 , 2025-04-04 18:40:00, 2025-04-04 18:45:00,    5122.25, 13.0  , WIN    ,     5109.25, 2024-01-18 16:00:00, 2024-01-18 19:00:00, 2025-04-04 18:00:00, 5122.25, 10.75,  13.0 , 1.2093023255813953, 1.2093023255813953, invalid
5100.25     , 5107.5      ,    5098.5 , 2025-04-04 20:00:00, 2025-04-04 20:05:00,    5098.5 , -1.75 , LOSS   ,     5100.25, 2024-01-18 18:00:00, 2024-01-18 19:00:00, 2025-04-04 20:00:00, 5107.5 ,  1.75,   7.25, 4.142857142857143 , 4.142857142857143 , invalid
5118.75     , 5122.25     ,    5115.0 , 2025-04-04 18:40:00, 2025-04-04 18:45:00,    5115.0 , -3.75 , LOSS   ,     5118.75, 2024-01-18 19:00:00, 2024-01-18 20:00:00, 2025-04-04 18:00:00, 5122.25,  3.75,   3.5 , 0.9333333333333333, 0.9333333333333333, invalid
5154.5      , 5179.0      ,    5141.75, 2025-04-04 14:50:00, 2025-04-04 14:55:00,    5179.0 , 24.5  , WIN    ,     5154.5 , 2023-12-28 03:00:00, 2024-01-19 17:00:00, 2025-04-04 14:00:00, 5179.0 , 12.75,  24.5 , 1.9215686274509804, 1.9215686274509804, valid
5154.25     , 5179.0      ,    5141.75, 2025-04-04 14:50:00, 2025-04-04 14:55:00,    5179.0 , 24.75 , WIN    ,     5154.25, 2024-01-19 13:00:00, 2024-01-19 17:00:00, 2025-04-04 14:00:00, 5179.0 , 12.5 ,  24.75, 1.98              , 1.98              , invalid
