time,open,high,low,close
1760306400,6802,6845.25,6802,6829.25
1760306700,6829,6831.25,6811.75,6826.25
1760307000,6826.25,6828,6817.75,6826.5
1760307300,6826.75,6835,6826.75,6831
1760307600,6831,6838,6829.5,6833
1760307900,6833.25,6833.75,6823.5,6825.5
1760308200,6825.75,6831,6825.5,6826.5
1760308500,6826.75,6829,6822.75,6825.75
1760308800,6825.75,6827.25,6820.75,6827.25
1760309100,6827.25,6831,6823.25,6823.25
1760309400,6823.25,6828.75,6823,6825
1760309700,6824.75,6827.75,6823.5,6824.75
1760310000,6825,6826.5,6816.25,6818.75
1760310300,6819,6830.5,6819,6830
1760310600,6829.75,6830.5,6826,6827.5
1760310900,6827.5,6829.25,6819.5,6821
1760311200,6821,6832.25,6820.75,6831.25
1760311500,6831.5,6834.5,6830.25,6833.75
1760311800,6834,6838,6831.5,6831.5
1760312100,6831.5,6833.5,6828,6831.75
1760312400,6832,6834.5,6828.25,6832.5
1760312700,6832.25,6836.25,6831.75,6836
1760313000,6836,6839.75,6834,6839
1760313300,6839.25,6841,6837.75,6838.25
1760313600,6838.25,6840.25,6831.75,6834
1760313900,6833.75,6836.5,6831.75,6835.25
1760314200,6835.25,6838.25,6835,6838
1760314500,6838,6841.75,6836.5,6841.5
1760314800,6841.5,6843,6835.75,6836
1760315100,6836,6839,6836,6838.75
1760315400,6839,6839.75,6836,6839.75
1760315700,6839.75,6843.75,6839.25,6840.5
1760316000,6840.25,6845,6840,6844.75
1760316300,6844.5,6846.75,6843.25,6844.75
1760316600,6844.75,6847,6844.25,6845
1760316900,6845,6849,6845,6847.75
1760317200,6847.75,6850,6846.5,6847.75
1760317500,6847.75,6850.75,6845.25,6846
1760317800,6846.25,6848.25,6843.5,6845
1760318100,6844.75,6848.75,6844.5,6848.25
1760318400,6848.25,6851.5,6846.75,6849.25
1760318700,6849.25,6851.25,6848.75,6849.25
1760319000,6849.5,6853,6849.5,6851
1760319300,6851.25,6851.75,6846.5,6847.75
1760319600,6847.75,6852,6847.75,6851.75
1760319900,6851.75,6853,6851,6852
1760320200,6852.25,6853,6851.75,6852.5
1760320500,6852.25,6853.75,6852,6853
1760320800,6852.75,6854,6851,6851.25
1760321100,6851.5,6854,6851.5,6853.5
1760321400,6853.75,6854,6850.75,6852
1760321700,6852.25,6854,6851.75,6852.5
1760322000,6852.5,6853.75,6850.5,6852.75
1760322300,6853,6853.75,6852.25,6853.25
1760322600,6853.25,6854,6852.25,6854
1760322900,6854,6855,6852,6852.75
1760323200,6852.75,6853,6851,6851.25
1760323500,6851,6853.5,6851,6852.75
1760323800,6852.5,6852.5,6850,6850
1760324100,6849.75,6850.5,6846,6846.5
1760324400,6846.25,6848.5,6843.5,6847.25
1760324700,6847.5,6853,6847.5,6852.75
1760325000,6852.75,6853.75,6851.25,6852.25
1760325300,6852.25,6852.5,6851,6851
1760325600,6851,6852,6849.75,6850
1760325900,6849.75,6851.25,6849,6849.75
1760326200,6849.75,6849.75,6846.75,6847.75
1760326500,6847.75,6849,6846.25,6846.5
1760326800,6846.5,6847.5,6844.25,6845.25
1760327100,6845.25,6846,6842.25,6843
1760327400,6843,6843.75,6840,6841.25
1760327700,6841.25,6841.75,6838.25,6840.75
1760328000,6841,6844,6840.75,6842
1760328300,6842,6844.5,6839.75,6843.25
1760328600,6843,6844.5,6841.75,6844.25
1760328900,6844,6845.75,6844,6844.75
1760329200,6845,6845.25,6841.25,6844.25
1760329500,6844.25,6847.25,6844,6845.5
1760329800,6845.5,6846.75,6844.75,6846.5
1760330100,6846.25,6847,6845.25,6845.75
1760330400,6845.75,6848,6845.25,6845.5
1760330700,6845.5,6847,6845.5,6847
1760331000,6847,6849.75,6846.75,6849.25
1760331300,6849.25,6850,6848.75,6849
1760331600,6849,6849.25,6845.75,6847.5
1760331900,6847.5,6849.5,6846.5,6849
1760332200,6849,6849.75,6847,6849.75
1760332500,6849.75,6852,6849.25,6850.5
1760332800,6850.5,6852.5,6849.75,6850.75
1760333100,6851,6851.5,6850,6851.25
1760333400,6851.25,6853,6851,6851.75
