time,open,high,low,close,VWAP
1726437600,6087.75,6094.75,6087.75,6093.5,6092
1726437900,6093.75,6095,6092.75,6093.5,6092.367361610352
1726438200,6093.5,6093.75,6091,6092.5,6092.393551286373
1726438500,6092.5,6092.5,6088.75,6090,6091.968774808151
1726438800,6090.25,6090.25,6087.75,6088,6091.464573991031
1726439100,6088,6089.25,6087.5,6088.5,6090.770548340548
1726439400,6088.75,6089.75,6088.5,6089.75,6090.728042905954
1726439700,6089.75,6091,6089,6089,6090.7031369653205
1726440000,6089.25,6091,6089.25,6090.75,6090.696697301945
1726440300,6090.75,6091.5,6089.75,6090.75,6090.695408950617
1726440600,6090.75,6091.5,6090.5,6091,6090.715843651023
1726440900,6090.75,6092.25,6090.75,6091.5,6090.737576987682
1726441200,6091.5,6092.5,6091.25,6091.5,6090.76902210769
1726441500,6091.5,6094.25,6091.5,6094.25,6090.874409329345
1726441800,6094.25,6095.75,6094,6095.5,6091.050633437176
1726442100,6095.5,6096.75,6095.5,6096.75,6091.175325465385
1726442400,6096.5,6098,6095.5,6096,6091.39697994403
1726442700,6096.25,6097.5,6096.25,6097.25,6091.46283705923
1726443000,6097,6097.5,6096.25,6096.75,6091.589727722772
1726443300,6096.25,6097.25,6095.25,6095.75,6091.669190244622
1726443600,6095.75,6097.5,6095.5,6097.25,6091.7645139717315
1726443900,6097.25,6099.25,6096.75,6098.5,6091.988951095298
1726444200,6098.5,6099,6098,6098.5,6092.135476336607
1726444500,6098.5,6098.5,6097.5,6098,6092.2101006530675
1726444800,6098,6098.5,6097.25,6097.5,6092.433457711443
1726445100,6097.75,6098.5,6097,6098.25,6092.636122518823
1726445400,6098.25,6098.25,6095.25,6096.75,6092.759047144755
1726445700,6097,6097,6095,6095.75,6092.809962880476
1726446000,6096,6097.25,6095,6095.5,6092.858726470245
1726446300,6095.5,6096,6095.25,6095.5,6092.880530909302
1726446600,6095.5,6095.75,6094.25,6095.25,6092.937644749479
1726446900,6095.25,6095.75,6094,6095.5,6092.97533227892
1726447200,6095.75,6097.75,6094.25,6097.75,6093.021584901526
1726447500,6097.75,6097.75,6094.5,6096,6093.074983178577
1726447800,6096,6096.5,6094,6094.25,6093.103674853616
1726448100,6094.25,6095.5,6094.25,6095.25,6093.123954811146
1726448400,6095,6095.75,6094.25,6094.5,6093.144276094277
1726448700,6094.5,6095,6094.25,6095,6093.166787967007
1726449000,6094.5,6094.75,6092.5,6093.5,6093.176664173524
1726449300,6093.5,6093.5,6090.75,6091.75,6093.131391585762
1726449600,6091.75,6093.25,6091.75,6092.75,6093.12596719833
1726449900,6093,6093.75,6092.75,6093.25,6093.126870243397
1726450200,6093.5,6094.75,6092.5,6094.5,6093.135265869409
1726450500,6094.25,6094.75,6092.5,6094.25,6093.141746922563
1726450800,6094,6095,6093.25,6093.75,6093.147945613794
1726451100,6093.75,6095.5,6093.75,6095.25,6093.162199336152
1726451400,6095,6096.25,6095,6096,6093.192894370311
1726451700,6096,6097.25,6095.25,6096.75,6093.243787034581
1726452000,6096.75,6097.5,6096,6096.25,6093.298047852094
1726452300,6096.25,6096.75,6095.75,6095.75,6093.325045772753
1726452600,6095.75,6096.5,6095.5,6096.25,6093.34521671264
1726452900,6096.25,6097.25,6096.25,6097,6093.369657303014
1726453200,6097.25,6097.75,6096.25,6097.5,6093.430346621538
1726453500,6097.25,6097.25,6096,6096.5,6093.456608445219
1726453800,6096.25,6096.5,6094.75,6095,6093.478653227625
1726454100,6094.75,6095.75,6094.75,6095.5,6093.491557318687
1726454400,6095.5,6096.25,6095,6095,6093.515803905027
1726454700,6095,6096,6095,6096,6093.525995121855
1726455000,6095.75,6096.25,6095.75,6096,6093.532949561405
1726455300,6096,6096.5,6095.25,6096.25,6093.544258895439
1726455600,6096.25,6096.75,6095.25,6095.25,6093.561457656488
1726455900,6095.25,6095.75,6094.75,6095.75,6093.575919196657
1726456200,6095.5,6098.25,6095.25,6097.5,6093.635665610905
1726456500,6097.5,6098,6096.25,6097.5,6093.670706206636
1726456800,6097.5,6097.75,6096.5,6096.75,6093.694084225232
1726457100,6096.75,6097.75,6096.75,6097.25,6093.710918860022
1726457400,6097.5,6098.25,6097.25,6098,6093.745020773947
1726457700,6098.25,6098.25,6096.75,6097.25,6093.764007821768
1726458000,6097,6097.5,6097,6097.25,6093.771358154849
1726458300,6097.25,6098.25,6097.25,6097.75,6093.794404295619
1726458600,6097.75,6097.75,6096.25,6097.25,6093.812986834889
1726458900,6097.25,6098.25,6097.25,6098,6093.827270656829
