time,open,high,low,close
1771196400,6965.25,6972.75,6959.75,6960.75
1771196700,6961,6961.5,6957,6960.25
1771197000,6960.25,6967,6960,6966.25
1771197300,6966.25,6970.25,6965.5,6969.75
1771197600,6969.75,6970.25,6966.5,6969
1771197900,6969.25,6971.75,6969,6969.5
1771198200,6969.5,6972,6966.5,6967
1771198500,6967,6969.75,6964.75,6966
1771198800,6966.25,6970,6966.25,6969.5
1771199100,6969.25,6969.75,6967,6967.75
1771199400,6967.75,6969.25,6963.75,6966.5
1771199700,6966.75,6974.25,6964.75,6973.25
1771200000,6973.25,6974.5,6968.5,6970
1771200300,6970,6976,6969,6975.25
1771200600,6975,6976.5,6974,6975
1771200900,6975,6976.25,6974.25,6974.5
1771201200,6974.5,6975.25,6973.75,6974.25
1771201500,6974.25,6977,6973.75,6975.75
1771201800,6975.75,6976.75,6974.75,6976
1771202100,6976,6977.25,6974.5,6975.75
1771202400,6975.75,6976.5,6974.5,6974.5
1771202700,6974.5,6977.25,6974.5,6975.5
1771203000,6975.5,6977.75,6975.25,6977
1771203300,6977,6977.5,6974.25,6975.5
1771203600,6975.5,6976.5,6974,6976
1771203900,6976,6978.25,6976,6976.75
1771204200,6976.75,6977.5,6975.25,6975.25
1771204500,6975.25,6976,6974.75,6975.75
1771204800,6975.75,6976,6975,6976
1771205100,6976.25,6976.75,6975,6975.5
1771205400,6975.5,6976.25,6975,6975.75
1771205700,6975.75,6975.75,6974.5,6975.25
1771206000,6975,6977.25,6974.25,6976.5
1771206300,6976.5,6979.25,6975.75,6978.5
1771206600,6978.5,6980.75,6977.25,6980.5
1771206900,6980.5,6983.5,6980.25,6981.75
1771207200,6981.75,6983.75,6980.75,6983.5
1771207500,6983.5,6984.25,6978.25,6978.5
1771207800,6978.25,6978.25,6976.25,6977.75
1771208100,6977.75,6979.25,6977.25,6978.25
1771208400,6978,6979.75,6977.75,6979.25
1771208700,6979.25,6979.5,6977,6977.5
1771209000,6977.5,6978.5,6976.75,6977
1771209300,6977,6978.5,6976.75,6977.5
1771209600,6977.5,6978.25,6976.5,6977.5
1771209900,6977.25,6978,6976.5,6976.75
1771210200,6976.75,6976.75,6975.25,6975.25
1771210500,6975.25,6976.25,6974.75,6975.75
1771210800,6975.75,6976.5,6974.75,6975
1771211100,6975,6976,6974.75,6975.75
1771211400,6975.5,6976.25,6975,6975
1771211700,6975,6976.25,6975,6975.25
1771212000,6975.25,6977,6975,6976
1771212300,6976,6976,6972,6972.5
1771212600,6972.5,6973.25,6971.75,6972.75
1771212900,6972.75,6973.5,6972.25,6973
1771213200,6972.75,6972.75,6971,6972.5
1771213500,6972.5,6972.5,6971.5,6972.5
1771213800,6972.25,6974.75,6972,6974
1771214100,6974,6975,6974,6974.75
1771214400,6974.75,6978,6974.5,6977.75
1771214700,6977.5,6977.75,6974.5,6974.5
1771215000,6974.25,6976,6974.25,6975.5
1771215300,6975.5,6975.5,6974.25,6975.25
1771215600,6975,6975,6973.5,6974.75
1771215900,6974.5,6977,6974.25,6976.5
1771216200,6976.25,6977.25,6976,6976.25
1771216500,6976,6976.5,6975,6975.5
1771216800,6975.25,6976,6974.25,6974.75
1771217100,6974.5,6974.5,6973.5,6974.5
1771217400,6974.25,6976.25,6974,6975.75
1771217700,6975.5,6976,6974.5,6974.5
1771218000,6974.5,6975,6972.75,6973.5
1771218300,6973.25,6974.25,6972.25,6974
1771218600,6973.75,6975.25,6973,6975
1771218900,6975,6975.75,6973.5,6974.75
1771219200,6974.5,6975.5,6974.5,6975.25
1771219500,6975.25,6976,6974.75,6975.75
1771219800,6975.75,6975.75,6974,6974
1771220100,6973.75,6974.5,6972.25,6972.25
1771220400,6972.25,6972.75,6969,6969.75
1771220700,6969.75,6970.75,6969.5,6970
1771221000,6970,6971,6970,6971
1771221300,6971,6972.25,6970.5,6971.75
1771221600,6971.5,6972.25,6970.75,6971.75
1771221900,6971.5,6972.75,6971,6971.25
1771222200,6971.25,6972,6971,6971.5
1771222500,6971.75,6971.75,6970.5,6970.75
1771222800,6970.75,6971.5,6969,6971.25
1771223100,6971.25,6974,6970.5,6973.25
1771223400,6973,6974,6970.75,6971
1771223700,6971,6973.25,6970.75,6973
1771224000,6973,6975.25,6972.75,6975
1771224300,6974.75,6976.25,6974.5,6976
1771224600,6975.75,6976,6975,6975.75
1771224900,6975.75,6976.25,6975.5,6975.5
1771225200,6975.5,6980,6975,6980
1771225500,6980,6981.25,6979.25,6981
1771225800,6981,6982.25,6980.25,6981.5
1771226100,6981.75,6982,6979.75,6980
1771226400,6980.25,6981.25,6979,6980.5
1771226700,6980.75,6982.75,6980,6981
1771227000,6981,6983,6980.25,6982.75
1771227300,6983,6985.75,6983,6984
1771227600,6984,6985,6983.75,6984.75
1771227900,6985,6985.5,6983.5,6984.5
1771228200,6984.5,6984.75,6983.75,6984
1771228500,6984,6984,6982,6983.5
1771228800,6983.75,6984.5,6979.5,6983.25
1771229100,6983.25,6988.5,6982.25,6988.5
1771229400,6988.25,6988.75,6984.5,6986
1771229700,6985.75,6989.25,6985.25,6988.75
1771230000,6988.75,6991,6986,6986.75
1771230300,6986.75,6987.5,6983.5,6985
1771230600,6984.75,6986.75,6983.25,6984.25
1771230900,6984,6984,6980.75,6982.75
1771231200,6983.25,6987,6982,6986.75
1771231500,6986.75,6992.75,6986.25,6989
1771231800,6989,6991,6987,6990.25
1771232100,6990,6991.25,6989.5,6990.75
1771232400,6990.75,6993,6989.5,6992.5
1771232700,6992.5,6994,6991.75,6993
1771233000,6993,6993.5,6991.75,6992.75
1771233300,6993,6993.5,6991.5,6993.5
1771233600,6993.25,6993.5,6991.5,6992.25
1771233900,6992.25,6997.75,6992.25,6996
1771234200,6996.25,6997.25,6995.75,6997.25
1771234500,6997,6998.25,6996.5,6997
1771234800,6996.75,6997.25,6995.75,6996.25
1771235100,6996.25,6997.5,6995.75,6997.25
1771235400,6997.25,6997.75,6997,6997
1771235700,6997,6997.5,6995.75,6996.25
1771236000,6996,6996.5,6993,6993
1771236300,6993,6994,6992.25,6992.5
1771236600,6992.5,6993.25,6990.75,6992.25
1771236900,6992.25,6992.25,6990.25,6991.75
1771237200,6991.75,6993.25,6991.5,6992.75
1771237500,6992.75,6992.75,6991.5,6991.75
1771237800,6991.75,6991.75,6988.75,6991.25
1771238100,6991.5,6992.75,6989.5,6990.25
1771238400,6990.25,6994.75,6989.75,6994.25
1771238700,6994.5,6995.5,6992,6992.75
1771239000,6992.75,6993.5,6991,6991.5
