time,open,high,low,close
1771196400,25296.75,25341.75,25273,25282.25
1771196700,25283,25287,25261.5,25277.5
1771197000,25277.75,25307,25276.5,25307
1771197300,25305.5,25332.75,25302,25328
1771197600,25329.25,25332,25311,25326.5
1771197900,25327,25337,25322,25325
1771198200,25325.75,25337.75,25310.5,25313
1771198500,25315,25327,25303.5,25308.5
1771198800,25310.5,25329,25310.5,25324
1771199100,25326.5,25327,25311.5,25315.75
1771199400,25319.75,25327,25300.25,25315.75
1771199700,25315.75,25345.75,25305.5,25343.25
1771200000,25338.75,25350,25317.75,25323.75
1771200300,25321.5,25353.75,25317.5,25346.5
1771200600,25346.25,25354.75,25340.5,25347.25
1771200900,25349,25354,25342.75,25343.5
1771201200,25343.25,25346.75,25335.75,25336.75
1771201500,25336,25351,25332.75,25347.25
1771201800,25345.75,25352.25,25343.5,25348.25
1771202100,25346.75,25356.25,25341.5,25350.25
1771202400,25349,25353,25339,25340
1771202700,25339.25,25350.25,25337.5,25343.75
1771203000,25345,25355,25341.25,25350
1771203300,25352,25354.25,25334.25,25341.25
1771203600,25342,25344.25,25329.25,25339
1771203900,25339.25,25354,25339,25345.25
1771204200,25344.5,25350.5,25338.75,25340.25
1771204500,25339.5,25346.25,25338.75,25344.25
1771204800,25343.75,25345,25339.25,25343.75
1771205100,25343.5,25350,25340,25342.25
1771205400,25342.25,25346.5,25340,25345
1771205700,25344,25344,25338.75,25339.25
1771206000,25339,25350,25334.75,25344.75
1771206300,25343.5,25360.5,25338.75,25354.75
1771206600,25356,25366.5,25349,25364.75
1771206900,25365.25,25375.75,25363,25368
1771207200,25367.5,25379.25,25362.25,25379.25
1771207500,25378,25379.5,25355.5,25356.5
1771207800,25355.5,25355.5,25345.25,25354.25
1771208100,25353.25,25360.75,25351.25,25354.25
1771208400,25353.25,25360.5,25348.75,25358.25
1771208700,25360,25360.5,25348.25,25351.25
1771209000,25352,25357.5,25347,25348.75
1771209300,25350,25354.25,25345.5,25349.25
1771209600,25348.75,25353.75,25345,25350.25
1771209900,25349,25351.5,25345.5,25347
1771210200,25346.25,25346.25,25335,25337.25
1771210500,25336.75,25341.25,25334.5,25339
1771210800,25339.75,25342.5,25330.5,25335.5
1771211100,25334.25,25342.25,25332.75,25337.5
1771211400,25338.75,25341,25335.75,25337
1771211700,25337.25,25339.5,25333,25334.75
1771212000,25334,25343.5,25332.25,25339
1771212300,25339.75,25340.25,25322,25324.5
1771212600,25324,25327.5,25316,25322
1771212900,25322.25,25325.5,25318,25323.25
1771213200,25320.25,25321.75,25315.25,25321.75
1771213500,25322.25,25323.25,25319,25321.5
1771213800,25320.75,25330.75,25319.5,25326.5
1771214100,25326.25,25332.25,25326.25,25330.5
1771214400,25331.25,25345.75,25329.5,25343
1771214700,25343.25,25345.25,25331,25331.75
1771215000,25332.25,25337.5,25330.5,25335.5
1771215300,25336,25336.5,25330.25,25335
1771215600,25334.75,25335,25327,25332.75
1771215900,25332.5,25346.75,25331.5,25343.75
1771216200,25344,25347,25340.5,25341
1771216500,25340.5,25342,25335.75,25336.5
1771216800,25336,25339.5,25329.75,25333.25
1771217100,25331.75,25333,25328.25,25330.25
1771217400,25329.75,25341,25329.75,25338.5
1771217700,25338.75,25339.25,25332.5,25332.5
1771218000,25332.25,25333.5,25326,25327.5
1771218300,25326,25330.5,25320.75,25329.75
1771218600,25328.5,25333.25,25325,25332.25
1771218900,25333.75,25335,25324,25330
1771219200,25328.5,25333,25328.25,25330.75
1771219500,25331.5,25334.25,25330.25,25333.75
1771219800,25333,25334.5,25325.25,25325.25
1771220100,25326,25328.75,25316.25,25317
1771220400,25318,25319.75,25301.25,25305.25
1771220700,25304.25,25309.25,25301.25,25304.25
1771221000,25304.5,25314,25304.5,25311.5
1771221300,25312.25,25320,25310.25,25318
1771221600,25318,25321.25,25312.75,25320.25
1771221900,25320.25,25326,25315.5,25316.75
1771222200,25316.5,25320,25313.5,25318.25
1771222500,25319,25319.25,25311.75,25312.25
1771222800,25312.75,25313.5,25300.75,25310.5
1771223100,25310,25321,25306.75,25318.5
1771223400,25316.75,25322.25,25308,25309
1771223700,25306.5,25316.5,25306.5,25315.5
1771224000,25315.5,25328.25,25313.75,25326.5
1771224300,25327,25334.25,25323.75,25332
1771224600,25332,25332.5,25327,25330.75
1771224900,25330,25334,25328.5,25330.75
1771225200,25329.25,25351.25,25328.5,25351.25
1771225500,25351,25359.25,25347.5,25357.25
1771225800,25358.25,25366,25356.25,25364.75
1771226100,25366,25369.5,25356,25356
1771226400,25357.25,25362,25350,25358.75
1771226700,25359.25,25371,25359.25,25360.25
1771227000,25360.5,25367.75,25354.25,25365
1771227300,25366.5,25381,25366.5,25371.25
1771227600,25372.5,25375,25368.5,25374.75
1771227900,25375,25376.75,25367,25372.5
1771228200,25371,25372.25,25368.5,25369.25
1771228500,25370.5,25370.5,25362.75,25368.5
1771228800,25369.25,25374,25348,25364.25
1771229100,25363,25390.25,25359.75,25390.25
1771229400,25390,25391.25,25368,25374.5
1771229700,25374,25392.25,25371.5,25390.75
1771230000,25389.75,25404.5,25382,25388.75
1771230300,25388.75,25391,25375.25,25381
1771230600,25380.75,25387,25369,25374.25
1771230900,25373.5,25376.75,25359.75,25370.25
1771231200,25372.5,25389.75,25369,25388.75
1771231500,25387.75,25411,25385.75,25396.25
1771231800,25396.5,25404.25,25387.75,25401.5
1771232100,25400.5,25406,25397.75,25401.75
1771232400,25402.75,25410.75,25395,25408.5
1771232700,25408,25410.25,25403.5,25405.5
1771233000,25405.75,25408.25,25400,25406.25
1771233300,25407,25409.25,25399.75,25409.25
1771233600,25409,25409,25401.5,25406
1771233900,25407.25,25429.25,25406.25,25417.75
1771234200,25416,25422.5,25414.75,25421.75
1771234500,25421.75,25426,25418,25420.5
1771234800,25420,25421.5,25415,25416.25
1771235100,25416.75,25424,25413.5,25422
1771235400,25421.25,25423.5,25419,25420
1771235700,25419.5,25422.25,25415,25418.25
1771236000,25416.75,25418.5,25401.75,25402.5
1771236300,25402.5,25407.5,25397,25397
1771236600,25398.25,25401.75,25388.5,25397.75
1771236900,25397,25397.75,25386,25394.25
1771237200,25394,25401,25392,25396.5
1771237500,25395,25396,25391.5,25392.5
1771237800,25393.75,25393.75,25378,25391.75
1771238100,25390.5,25395.75,25384.75,25387.25
1771238400,25387.25,25405,25385,25402
1771238700,25403,25406.75,25390,25394.75
1771239000,25395.5,25398.75,25385.75,25389.25
1771239300,25389.75,25392.5,25375.25,25385.25
1771239600,25385.5,25386.25,25368,25371.25
1771239900,25369.75,25374.5,25358,25358.25
1771240200,25357.5,25367,25349.5,25366.5
1771240500,25365.5,25372.5,25361,25370
1771240800,25369.25,25372,25359.25,25370.25
1771241100,25369,25380,25369,25376
1771241400,25376,25378,25362.25,25362.25
1771241700,25361,25377.5,25358,25377.5
1771242000,25378.5,25379.75,25372,25374.5
1771242300,25374.25,25374.5,25367,25371.25
1771242600,25371.5,25381.75,25370.5,25379
1771242900,25378.75,25378.75,25368,25370.25
1771243200,25370.25,25371,25356,25359.75
1771243500,25359,25368.75,25356.5,25367
1771243800,25367.25,25367.5,25359,25365.5
1771244100,25365.25,25365.5,25354.75,25365.5
1771244400,25365.25,25370.75,25360.5,25370.5
1771244700,25371.5,25387.5,25368.5,25384.75
1771245000,25384.5,25384.5,25365,25374
1771245300,25372.75,25381.25,25363,25379.75
1771245600,25378.75,25378.75,25360,25362
1771245900,25362,25372.75,25359.25,25371
1771246200,25372,25377.5,25369,25369.25
1771246500,25368,25377.75,25368,25376.5
1771246800,25376.75,25378.5,25364.5,25370
1771247100,25369.25,25371.25,25360.75,25364.5
1771247400,25363.5,25375,25363.5,25366.25
1771247700,25366,25371.5,25363,25369.5
1771248000,25369.5,25373.75,25363.75,25365
1771248300,25363.25,25373,25363.25,25371.5
1771248600,25370,25382.75,25369.75,25380.25
1771248900,25380.25,25380.5,25368.5,25371.5
1771249200,25370.75,25373,25359.75,25366.75
1771249500,25367.75,25371.5,25354.75,25359.25
1771249800,25359,25361,25353.25,25355.5
1771250100,25355.25,25361.25,25351.25,25351.25
1771250400,25351.25,25351.25,25333,25334
1771250700,25333.75,25339.5,25323.75,25325
1771251000,25324.75,25324.75,25290.25,25291
1771251300,25291,25299,25274.75,25287.5
1771251600,25286.75,25291.75,25269.25,25281.5
1771251900,25283.5,25288.25,25261.75,25271
1771252200,25269.75,25283.5,25253,25264.5
1771252500,25263.75,25276.5,25237,25238
1771252800,25239.5,25252.5,25218.5,25230.25
1771253100,25230.5,25238,25199.75,25234.25
1771253400,25236,25266,25235.75,25261
1771253700,25261.25,25289.75,25260.25,25275
1771254000,25275,25298.5,25274,25294
1771254300,25294.75,25304.5,25281.75,25290.25
1771254600,25291.25,25291.75,25262.75,25264.75
1771254900,25264.75,25279,25246.75,25251.75
1771255200,25252.25,25259.25,25227.5,25236.5
1771255500,25236.25,25236.75,25216.75,25216.75
1771255800,25216,25230,25191,25202
1771256100,25201.5,25209.25,25189.75,25205.75
1771256400,25206.5,25218.75,25189.75,25193
1771256700,25193.25,25225,25185.5,25222
1771257000,25223.25,25238.5,25218.75,25221.5
1771257300,25222,25223,25195,25199.25
1771257600,25199.25,25211.5,25190.75,25207
1771257900,25207.75,25243.5,25205,25240.5
1771258200,25239.75,25259.25,25239.25,25258.5
1771258500,25259,25260.5,25210.75,25215.25
1771258800,25214.25,25224.25,25207,25210
1771259100,25210.5,25237.5,25204,25234.5
1771259400,25234.5,25248.75,25220.75,25223.75
1771259700,25222.25,25223.25,25177.75,25180.25
1771260000,25180,25211.25,25178.25,25208.5
1771260300,25210.5,25235.5,25204.5,25231.5
1771260600,25233,25240.75,25226.5,25229.5
1771260900,25229.25,25236.25,25222,25235.75
1771261200,25235,25247.25,25230.25,25242.75
1771261500,25243,25248.5,25220.5,25227
1771261800,25227,25237.75,25225,25232.5
1771262100,25232,25234,25224.25,25230.5
1771262400,25229,25239,25226.25,25231
1771262700,25231.5,25253,25227,25250.25
1771263000,25251,25272.5,25250.75,25261.5
