time,open,high,low,close,VWAP
1708297200,5608.75,5614,5608.5,5612.75,5611.75
1708297500,5613,5617,5613,5616,5613.156882689141
1708297800,5616,5617.75,5615.75,5616.5,5613.928080120937
1708298100,5616.75,5616.75,5614.75,5614.75,5614.120582428431
1708298400,5614.75,5616,5614.5,5615.5,5614.1995970222715
1708298700,5615.75,5616,5613.75,5613.75,5614.224605188945
1708299000,5614,5614.25,5613,5614,5614.178362349828
1708299300,5614,5615.25,5613.75,5614.75,5614.212925455138
1708299600,5615,5615.5,5614.5,5615,5614.244378883376
1708299900,5615,5616,5615,5615.75,5614.299142550912
1708300200,5616,5616.75,5615.75,5616,5614.382225226333
1708300500,5616.25,5616.75,5615.75,5616.75,5614.460130796203
1708300800,5616.75,5616.75,5615.5,5616.5,5614.603008881639
1708301100,5616.25,5616.5,5615,5615.5,5614.65358055383
1708301400,5615.5,5616.75,5615,5616.5,5614.721032372681
1708301700,5616.5,5617.25,5616.5,5617,5614.834082256756
1708302000,5617.25,5618.25,5617,5617.5,5615.009945671224
1708302300,5617.5,5618.75,5617,5617.75,5615.174876237624
1708302600,5618,5619.25,5617.75,5618.75,5615.363246031127
1708302900,5619,5619.75,5618.75,5619.25,5615.475632679837
1708303200,5619.25,5619.75,5619,5619.25,5615.612784104735
1708303500,5619.25,5619.75,5619,5619.25,5615.685224290145
1708303800,5619.25,5620,5619.25,5619.5,5615.743224502267
1708304100,5619.25,5620,5619.25,5619.5,5615.843697065421
1708304400,5619.75,5621.75,5619.75,5621,5616.187314832576
1708304700,5621,5621.5,5620.25,5620.75,5616.307415597358
1708305000,5621,5621.25,5620.5,5620.75,5616.4206597433085
1708305300,5620.75,5620.75,5618.5,5619,5616.5631121780025
1708305600,5619.25,5619.25,5617.25,5617.25,5616.61506192754
1708305900,5617.25,5618,5616,5617,5616.633704723089
1708306200,5616.75,5617.25,5614,5614.75,5616.573072782627
1708306500,5614.5,5614.75,5613,5613.5,5616.397649471524
1708306800,5613.5,5613.5,5611.25,5612.25,5616.15918979522
1708307100,5612.25,5615.5,5612,5615.25,5616.0768290776805
1708307400,5615.25,5615.75,5614.75,5615,5616.05947452784
1708307700,5615.25,5615.25,5614.5,5614.5,5616.041171902915
1708308000,5614.5,5615,5613.75,5614.25,5616.005392295375
1708308300,5614.25,5614.5,5613.5,5613.5,5615.9817169741
1708308600,5613.5,5614.5,5613.5,5613.75,5615.954540977146
1708308900,5614,5614.25,5613,5614,5615.902467877201
1708309200,5614,5615,5614,5614.5,5615.885518014593
1708309500,5614.5,5615.75,5614.25,5614.5,5615.857417203027
1708309800,5614.75,5615.25,5613.75,5614.25,5615.84202163995
1708310100,5614.5,5614.75,5614.25,5614.75,5615.834649106849
1708310400,5614.75,5615.25,5614.75,5615,5615.831382496827
1708310700,5615,5615.25,5615,5615.25,5615.828456663177
1708311000,5615,5616,5615,5615.25,5615.824411141277
1708311300,5615.25,5615.5,5614,5614.75,5615.816486406618
1708311600,5614.5,5615.75,5614.5,5615.25,5615.812706386978
1708311900,5615.5,5616.25,5615.5,5616.25,5615.814303773869
1708312200,5616.25,5616.25,5615.5,5615.75,5615.814459467266
1708312500,5615.75,5616,5615,5615.25,5615.811652323578
1708312800,5615.25,5615.5,5615,5615.5,5615.811011035097
1708313100,5615.25,5615.5,5614.25,5614.5,5615.803693967428
1708313400,5614.5,5615.25,5614.25,5615.25,5615.7986054537205
1708313700,5615.25,5615.25,5614.75,5615,5615.797279361096
1708314000,5615.25,5615.5,5614,5614,5615.790109414842
1708314300,5614,5615.5,5613.25,5615,5615.767286603844
1708314600,5615.25,5615.5,5614.5,5614.75,5615.761754207314
1708314900,5614.75,5614.75,5614.25,5614.5,5615.757417288636
1708315200,5614.5,5614.75,5614,5614.5,5615.750518356887
1708315500,5614.75,5615.25,5614.75,5614.75,5615.745900400511
1708315800,5614.5,5615.25,5614,5615.25,5615.734633059312
1708316100,5615,5615.25,5614.75,5614.75,5615.729950492423
1708316400,5614.75,5615,5614.25,5615,5615.727029626573
1708316700,5615,5615,5614.5,5614.75,5615.72317236224
1708317000,5614.75,5615,5614.5,5615,5615.72073398637
1708317300,5615,5615.75,5615,5615.5,5615.719114529484
1708317600,5615.5,5616.25,5615.25,5616,5615.71963459639
1708317900,5616.25,5616.75,5616.25,5616.25,5615.725091280398
1708318200,5616.25,5616.5,5615.75,5616.5,5615.726613599899
1708318500,5616.5,5616.5,5616,5616.25,5615.72762894534
1708318800,5616.25,5617.75,5616.25,5617.5,5615.774236239395
1708319100,5617.25,5617.25,5616,5616,5615.777682284717
1708319400,5616,5616.25,5615.5,5615.75,5615.778002042938
1708319700,5616,5616.25,5615.5,5615.75,5615.778374502455
1708320000,5615.5,5616.25,5615,5616,5615.778132435723
1708320300,5616,5617,5616,5616,5615.7825911746895
1708320600,5616.25,5616.75,5616,5616.5,5615.784229565614
1708320900,5616.5,5617,5616.25,5616.75,5615.787485697937
1708321200,5617,5617.5,5616.75,5617.25,5615.794198855708
1708321500,5617.5,5617.75,5616.75,5617.25,5615.80174293481
1708321800,5617.25,5617.5,5617,5617.25,5615.805098033673
1708322100,5617,5617.25,5616.75,5616.75,5615.8091655876415
1708322400,5616.75,5617.75,5616.25,5617.75,5615.822625321841
1708322700,5617.5,5617.5,5616.5,5617.25,5615.831734584644
1708323000,5617.25,5618,5617.25,5617.75,5615.842742157399
1708323300,5617.75,5618.5,5617.25,5617.75,5615.858339931377
1708323600,5617.75,5617.75,5616.75,5617.25,5615.866386174444
1708323900,5617.25,5618.25,5617,5618,5615.87468358421
