time,open,high,low,close
1742767200,6019.25,6033.75,6018.25,6027.75
1742767500,6027.75,6029.5,6026.25,6027
1742767800,6027,6028.5,6026.25,6027.25
1742768100,6027.5,6028.75,6025.25,6025.75
1742768400,6026,6026.5,6023.25,6024
1742768700,6024,6027.25,6024,6027
1742769000,6026.75,6027,6024.25,6026.25
1742769300,6026.25,6026.5,6023.75,6024
1742769600,6024.25,6026.25,6023.25,6024.5
1742769900,6024.25,6025.25,6023.5,6024
1742770200,6024,6024.25,6021,6021.5
1742770500,6021.5,6023,6021.25,6022.25
1742770800,6022,6023.5,6020.25,6020.75
1742771100,6021,6023,6020.5,6021.25
1742771400,6021.25,6022.75,6021.25,6022.25
1742771700,6022.25,6023,6021.75,6022.75
1742772000,6022.75,6023.25,6021.5,6022.25
1742772300,6022,6024,6021.75,6023.75
1742772600,6023.5,6025.75,6022.25,6025.25
1742772900,6025.25,6026.75,6024.75,6026.75
1742773200,6026.75,6026.75,6025.75,6026.75
1742773500,6026.75,6028.5,6026,6027.5
1742773800,6027.5,6028.5,6026.25,6028
1742774100,6028,6032.75,6027.75,6031.75
1742774400,6031.75,6035.75,6030,6035.25
1742774700,6035,6036.5,6034.5,6036
1742775000,6035.75,6036.25,6033,6033.25
1742775300,6033.25,6034,6032,6032.5
1742775600,6032.5,6032.75,6030.75,6032
1742775900,6032,6036.25,6032,6035.75
1742776200,6035.5,6036.25,6032,6032.75
1742776500,6032.75,6032.75,6030.75,6031.5
1742776800,6031.25,6032.5,6030.5,6032
1742777100,6032,6034.25,6031.75,6033.75
1742777400,6033.75,6034.5,6033.5,6034.25
1742777700,6034.25,6035.5,6033.75,6034.75
1742778000,6034.75,6035.25,6032.75,6033.75
1742778300,6033.75,6034,6031.5,6032.75
1742778600,6033,6034.25,6032.5,6034
1742778900,6034,6034.5,6033.5,6033.75
1742779200,6033.75,6036,6033.5,6035.5
1742779500,6035.5,6035.75,6032.25,6033.25
1742779800,6033.25,6033.5,6032,6033
1742780100,6033,6035.5,6032.25,6034
1742780400,6034,6035.25,6030.75,6032
1742780700,6031.75,6033.75,6031.75,6033.25
1742781000,6033.5,6034,6032.5,6033.75
1742781300,6033.75,6034,6032.75,6034
1742781600,6033.75,6034,6032.25,6033.25
1742781900,6033,6034.75,6033,6034
1742782200,6034.25,6034.25,6032,6032.25
1742782500,6032.25,6032.75,6032,6032.5
1742782800,6032.25,6032.75,6031.5,6032
1742783100,6032.25,6033,6032.25,6032.75
1742783400,6032.75,6033.25,6031.75,6031.75
1742783700,6031.5,6032.25,6031,6032
1742784000,6032,6033.75,6032,6033.5
1742784300,6033.75,6034.25,6033.5,6034.25
1742784600,6034.25,6034.75,6034,6034.25
1742784900,6034.25,6035.5,6034,6034.75
1742785200,6034.75,6035.75,6034.5,6035.25
1742785500,6035.25,6036.25,6035.25,6035.75
