time,open,high,low,close,VWAP
1717365600,5829,5833.75,5822,5822,5825.916666666667
1717365900,5822.25,5822.5,5819.75,5821.5,5824.960353800731
1717366200,5821.75,5824.25,5821.25,5824,5824.755674513455
1717366500,5824.25,5829.25,5824,5828.75,5825.31422544015
1717366800,5829,5829.25,5827.75,5829,5825.502138853378
1717367100,5829.25,5831.25,5828,5828,5825.9044605446925
1717367400,5828,5828.75,5826,5827.5,5825.9914232825995
1717367700,5827.25,5827.5,5825.5,5826.25,5826.010024126085
1717368000,5826,5826.25,5824.75,5825,5825.977682473095
1717368300,5825.25,5826.25,5824.75,5826,5825.966432009628
1717368600,5826,5827,5825,5825.5,5825.960923080473
1717368900,5825.5,5826.75,5825.25,5826.25,5825.962841213608
1717369200,5826,5828.25,5825.25,5827.5,5826.023263398777
1717369500,5827.5,5829.5,5826.25,5827,5826.093063046499
1717369800,5827,5827.25,5825.75,5827.25,5826.10793798171
1717370100,5827.25,5827.25,5826.25,5827,5826.1219575476325
1717370400,5827,5830.25,5827,5830,5826.224890375747
1717370700,5830,5831.5,5829.75,5830.5,5826.537567766724
1717371000,5830.75,5831.25,5829.5,5830.25,5826.6118063439635
1717371300,5830,5830.5,5829.5,5830.5,5826.689854304413
1717371600,5830.5,5830.75,5829,5829.75,5826.75206137964
1717371900,5829.5,5830.5,5828.75,5829.25,5826.851891140246
1717372200,5829.25,5832.5,5828.5,5830.75,5827.193830929799
1717372500,5830.75,5833.5,5830.75,5831.75,5827.48314000814
1717372800,5831.5,5834.5,5831.25,5834.25,5827.863595139338
1717373100,5834.25,5835.5,5833.5,5835,5828.350541718188
1717373400,5835,5838.5,5833.75,5838,5829.321577357704
1717373700,5838,5838.25,5836.25,5837.75,5829.627263662146
1717374000,5837.75,5839.5,5837.5,5838.75,5829.864750099999
1717374300,5838.75,5840.5,5838.25,5840.25,5830.243157751577
1717374600,5840,5840.25,5838.75,5839.5,5830.402383322732
1717374900,5839.75,5839.75,5837.75,5838.25,5830.574688450328
1717375200,5838.25,5838.5,5836.5,5836.75,5830.729324782934
1717375500,5836.75,5837.25,5836.5,5836.75,5830.843218542931
1717375800,5836.75,5838.25,5836.75,5837.75,5830.928361561653
1717376100,5837.75,5838.25,5836.75,5836.75,5831.000738789398
1717376400,5836.75,5839,5836.75,5838,5831.1392770855055
1717376700,5838,5838.25,5836.5,5837,5831.200097482653
1717377000,5837.25,5837.25,5835,5835.75,5831.309602715272
1717377300,5835.75,5836.75,5835.25,5836,5831.371185369514
1717377600,5835.75,5836,5833.25,5833.5,5831.449502401537
1717377900,5833.75,5834.5,5833,5834,5831.489117620386
1717378200,5834.25,5834.5,5832.5,5832.75,5831.535944430958
1717378500,5832.75,5835.5,5832,5834,5831.5918419711625
1717378800,5834,5836,5833.75,5835.5,5831.665291274075
1717379100,5835.5,5835.75,5834.5,5834.75,5831.696625322782
1717379400,5835,5835,5834,5834.25,5831.7185411488545
1717379700,5834.25,5835,5834,5834.25,5831.742853575266
1717380000,5834.25,5835.75,5834.25,5835.5,5831.792101625195
1717380300,5835.25,5837,5835,5836.25,5831.864730216186
1717380600,5836.25,5837.5,5836.25,5837.5,5831.924139795518
1717380900,5837.5,5837.75,5836.75,5837,5831.97851036782
1717381200,5837.25,5837.75,5836.75,5837.25,5832.022452162728
1717381500,5837.25,5837.75,5837.25,5837.25,5832.05236596692
1717381800,5837.5,5837.5,5835.75,5836.75,5832.109814102444
1717382100,5836.75,5837.5,5836.5,5837.25,5832.137928435493
1717382400,5837,5838,5837,5837.5,5832.171064212282
1717382700,5837.75,5838,5837.25,5837.5,5832.192566307309
1717383000,5837.5,5838.25,5837.5,5838,5832.22029698376
1717383300,5838,5838,5837.5,5837.75,5832.2392203107665
1717383600,5837.75,5838.5,5837.25,5838,5832.288980466221
1717383900,5837.75,5839,5837.75,5838.75,5832.360575935527
1717384200,5838.75,5839.25,5838.75,5839,5832.406940294927
1717384500,5839,5839.25,5836.75,5837.5,5832.4813034757
1717384800,5837.25,5837.5,5836.75,5837.25,5832.503323027091
1717385100,5837.5,5837.75,5836.25,5836.75,5832.530215229365
1717385400,5836.75,5837.25,5835.5,5836,5832.576785910397
1717385700,5836.25,5837.75,5836,5837,5832.617046619366
1717386000,5837.25,5837.25,5836,5836.75,5832.640288097476
1717386300,5836.75,5838,5836.5,5836.75,5832.664666428847
1717386600,5837,5837.5,5836.5,5836.5,5832.69119334965
1717386900,5836.5,5837.5,5836.5,5837.25,5832.719477938588
1717387200,5837,5837.75,5837,5837.75,5832.733546526211
1717387500,5837.5,5837.75,5837.25,5837.75,5832.744550196583
1717387800,5837.75,5838.25,5837.25,5837.5,5832.776044170383
1717388100,5837.5,5837.5,5837,5837.25,5832.794066742611
1717388400,5837,5838.75,5837,5838.25,5832.8227858319515
1717388700,5838.5,5839,5838.25,5838.5,5832.854951373356
1717389000,5838.75,5839.5,5838.5,5839.25,5832.882387841352
1717389300,5839.25,5839.75,5839,5839.5,5832.903245189062
1717389600,5839.5,5839.5,5839,5839.25,5832.920372524939
1717389900,5839.25,5840.5,5839.25,5840,5832.97689192366
1717390200,5840.25,5840.25,5839,5839.5,5832.998423653715
1717390500,5839.25,5839.75,5838.75,5839,5833.012385628208
1717390800,5839,5839.75,5838.25,5838.5,5833.073987330126
1717391100,5838.25,5839,5838,5838.5,5833.113069234583
1717391400,5838.5,5839,5838,5838.75,5833.153960619153
1717391700,5838.75,5840,5838.75,5839.5,5833.193516588166
1717392000,5839.75,5839.75,5839,5839,5833.219128351017
1717392300,5839.25,5839.25,5837.25,5837.5,5833.253578771132
1717392600,5837.5,5838.75,5837.5,5838.25,5833.29138893097
1717392900,5838.25,5838.5,5837.5,5837.5,5833.321056077299
1717393200,5837.75,5838,5836.75,5837,5833.34976020797
1717393500,5837,5837,5835.75,5837,5833.372593669492
1717393800,5837,5838,5836.75,5837.5,5833.415919419619
1717394100,5837.75,5838.25,5836.75,5837.5,5833.448326150682
1717394400,5837.5,5838.5,5836.75,5838.25,5833.55891438763
1717394700,5838.5,5839,5837,5837.5,5833.609389974243
1717395000,5837.25,5837.75,5835.25,5836.25,5833.661856658548
1717395300,5836.25,5836.75,5835.5,5835.75,5833.694850363859
1717395600,5835.75,5837.5,5835.5,5837.25,5833.7294813493245
1717395900,5837.5,5837.5,5836,5836.5,5833.75440585763
1717396200,5836.5,5838.5,5836.25,5837.5,5833.8002460476955
1717396500,5837.75,5842.75,5837.5,5842,5833.989725866967
1717396800,5841.75,5842,5838,5838.25,5834.080400999988
1717397100,5838.25,5841.25,5838.25,5840.75,5834.147587430541
1717397400,5840.75,5841,5838.75,5838.75,5834.199276432067
1717397700,5839,5839.5,5838.25,5839,5834.25456529404
1717398000,5839,5840.75,5837.75,5839,5834.4482338125445
1717398300,5839.25,5840.25,5838.25,5839,5834.566374611923
1717398600,5839.25,5840.5,5836.25,5836.25,5834.6429101563235
1717398900,5836.25,5836.25,5832.75,5833.5,5834.627947187266
1717399200,5833.5,5833.75,5831,5831.25,5834.564853501582
1717399500,5831.25,5832.5,5830.75,5831.5,5834.503541304654
1717399800,5831.75,5833.25,5828.5,5828.5,5834.389400010018
1717400100,5828.75,5831.5,5827.75,5830.75,5834.273899622562
