time,open,high,low,close
1780264800,7657.25,7659.25,7647.5,7649
1780265100,7649.5,7651.5,7648,7651
1780265400,7651.25,7657,7650,7657
1780265700,7656.5,7657.75,7654.25,7656.5
1780266000,7656.5,7659.75,7654.5,7658.75
1780266300,7658.75,7659.75,7657.5,7658
1780266600,7657.75,7661,7657.75,7660
1780266900,7659.75,7659.75,7657.5,7658.5
1780267200,7658.5,7662.25,7658.5,7662
1780267500,7662.25,7664.75,7662,7664.25
1780267800,7664.25,7665.5,7664,7664
1780268100,7664,7665,7663.25,7663.75
1780268400,7663.75,7666.25,7662.5,7665.25
1780268700,7665,7666,7664.25,7665.5
1780269000,7665.25,7666.25,7664.75,7665.25
1780269300,7665,7666,7664.75,7665.25
1780269600,7665.25,7666,7663,7663.75
1780269900,7663.75,7667,7663.75,7666
1780270200,7666.25,7667.5,7665.25,7666
1780270500,7665.75,7666.75,7665,7666.5
1780270800,7666.25,7666.75,7665.5,7666
1780271100,7666,7667,7665,7666
1780271400,7666,7668.75,7664.75,7667.75
1780271700,7667.5,7668.25,7667,7667.5
1780272000,7667.5,7671.75,7666.75,7671.5
1780272300,7671.5,7674.25,7670.5,7671.25
1780272600,7671.25,7673,7669.5,7671.5
1780272900,7671.5,7672.75,7669.25,7670
1780273200,7670.25,7673.75,7670.25,7673
1780273500,7673,7674.25,7671.75,7674
1780273800,7673.75,7675.75,7671.75,7672.75
1780274100,7672.75,7673.5,7671.75,7672.5
1780274400,7672.75,7674.5,7672,7673.75
1780274700,7673.75,7675,7673.5,7674
1780275000,7674.25,7675.5,7673,7674.5
1780275300,7674.5,7676.25,7673,7674
1780275600,7673.75,7675,7671.25,7671.5
1780275900,7671.75,7672.25,7670.5,7671.25
1780276200,7671.25,7673,7670.75,7672.5
1780276500,7672.5,7673.75,7672.25,7673
1780276800,7673,7675.5,7673,7674
1780277100,7674,7675,7673,7673
1780277400,7673,7674.75,7672.5,7674.5
1780277700,7674.75,7675.25,7674,7674
1780278000,7674,7675,7673.5,7675
1780278300,7675,7675.75,7674.5,7675.5
1780278600,7675.5,7676.75,7675.25,7676.5
1780278900,7676.5,7676.5,7675.25,7676
1780279200,7676,7678.25,7676,7677.25
1780279500,7677.25,7679.25,7677,7678.75
1780279800,7679,7679.75,7678,7679.25
1780280100,7679.25,7679.5,7678.5,7678.75
1780280400,7679,7680,7678.75,7679.5
1780280700,7679.75,7680,7678.5,7679
1780281000,7679,7679.25,7677,7678.25
1780281300,7678.25,7679.25,7678.25,7679
1780281600,7678.75,7678.75,7677,7677.25
1780281900,7677.25,7677.75,7676.25,7677.25
1780282200,7677.25,7677.5,7676.75,7677
1780282500,7677,7678,7677,7677.75
1780282800,7677.75,7679.5,7677.75,7679.25
1780283100,7679.25,7679.25,7678.25,7678.25
1780283400,7678.5,7678.5,7677.25,7677.5
1780283700,7677.5,7678.25,7673.25,7677.25
