time,open,high,low,close
1780264800,7725,7727,7715.25,7716.75
1780265100,7717.25,7719.25,7715.75,7718.75
1780265400,7719,7724.75,7717.75,7724.75
1780265700,7724.25,7725.5,7722,7724.25
1780266000,7724.25,7727.5,7722.25,7726.5
1780266300,7726.5,7727.5,7725.25,7725.75
1780266600,7725.5,7728.75,7725.5,7727.75
1780266900,7727.5,7727.5,7725.25,7726.25
1780267200,7726.25,7730,7726.25,7729.75
1780267500,7730,7732.5,7729.75,7732
1780267800,7732,7733.25,7731.75,7731.75
1780268100,7731.75,7732.75,7731,7731.5
1780268400,7731.5,7734,7730.25,7733
1780268700,7732.75,7733.75,7732,7733.25
1780269000,7733,7734,7732.5,7733
1780269300,7732.75,7733.75,7732.5,7733
1780269600,7733,7733.75,7730.75,7731.5
1780269900,7731.5,7734.75,7731.5,7733.75
1780270200,7734,7735.25,7733,7733.75
1780270500,7733.5,7734.5,7732.75,7734.25
1780270800,7734,7734.5,7733.25,7733.75
1780271100,7733.75,7734.75,7732.75,7733.75
1780271400,7733.75,7736.5,7732.5,7735.5
1780271700,7735.25,7736,7734.75,7735.25
1780272000,7735.25,7739.5,7734.5,7739.25
1780272300,7739.25,7742,7738.25,7739
1780272600,7739,7740.75,7737.25,7739.25
1780272900,7739.25,7740.5,7737,7737.75
1780273200,7738,7741.5,7738,7740.75
1780273500,7740.75,7742,7739.5,7741.75
1780273800,7741.5,7743.5,7739.5,7740.5
1780274100,7740.5,7741.25,7739.5,7740.25
1780274400,7740.5,7742.25,7739.75,7741.5
1780274700,7741.5,7742.75,7741.25,7741.75
1780275000,7742,7743.25,7740.75,7742.25
1780275300,7742.25,7744,7740.75,7741.75
1780275600,7741.5,7742.75,7739,7739.25
1780275900,7739.5,7740,7738.25,7739
1780276200,7739,7740.75,7738.5,7740.25
1780276500,7740.25,7741.5,7740,7740.75
1780276800,7740.75,7743.25,7740.75,7741.75
1780277100,7741.75,7742.75,7740.75,7740.75
1780277400,7740.75,7742.5,7740.25,7742.25
1780277700,7742.5,7743,7741.75,7741.75
1780278000,7741.75,7742.75,7741.25,7742.75
1780278300,7742.75,7743.5,7742.25,7743.25
1780278600,7743.25,7744.5,7743,7744.25
1780278900,7744.25,7744.25,7743,7743.75
1780279200,7743.75,7746,7743.75,7745
1780279500,7745,7747,7744.75,7746.5
1780279800,7746.75,7747.5,7745.75,7747
1780280100,7747,7747.25,7746.25,7746.5
1780280400,7746.75,7747.75,7746.5,7747.25
1780280700,7747.5,7747.75,7746.25,7746.75
1780281000,7746.75,7747,7744.75,7746
1780281300,7746,7747,7746,7746.75
1780281600,7746.5,7746.5,7744.75,7745
1780281900,7745,7745.5,7744,7745
1780282200,7745,7745.25,7744.5,7744.75
1780282500,7744.75,7745.75,7744.75,7745.5
1780282800,7745.5,7747.25,7745.5,7747
1780283100,7747,7747,7746,7746
1780283400,7746.25,7746.25,7745,7745.25
1780283700,7745.25,7746,7741,7745
1780284000,7745,7747.5,7744.5,7747.25
1780284300,7747.5,7748,7747,7747.5
1780284600,7747.25,7749.75,7747.25,7748.5
1780284900,7748.5,7748.5,7745.5,7746
1780285200,7745.75,7746,7742.5,7742.5
1780285500,7742.75,7744.5,7742.5,7743.75
1780285800,7744,7744.25,7741.5,7742
1780286100,7742,7742.75,7741.5,7742.25
1780286400,7742.25,7744,7742.25,7743.75
1780286700,7743.75,7745,7742.75,7744.5
1780287000,7744.5,7745.25,7743.75,7744.25
1780287300,7744.25,7744.25,7743.25,7743.75
1780287600,7743.75,7745,7743.25,7745
