time,open,high,low,close
1751580000,6548.25,6550.25,6540.75,6542.5
1751580300,6542.75,6547.75,6542,6546.5
1751580600,6546.5,6547.5,6545,6545.25
1751580900,6545.25,6548,6544.75,6547.5
1751581200,6547.25,6548.5,6545.25,6546.75
1751581500,6546.75,6547.5,6545.75,6546.5
1751581800,6546.5,6548,6546.5,6547.75
1751582100,6547.5,6549,6546.5,6547
1751582400,6547,6548,6545.5,6546
1751582700,6546.25,6547.25,6545.75,6546.25
1751583000,6546.25,6547,6545.75,6546
1751583300,6545.75,6546.5,6545,6545.25
1751583600,6545,6546.25,6543.75,6546.25
1751583900,6546.25,6546.25,6544,6544.5
1751584200,6544.5,6545,6543.25,6543.5
1751584500,6543.5,6544.75,6543.25,6543.5
1751584800,6543.5,6544,6543.25,6543.75
1751585100,6543.75,6544.75,6543.75,6544.25
1751585400,6544.25,6545,6542.25,6542.5
1751585700,6542.5,6543.75,6542.25,6542.25
1751586000,6542.25,6542.75,6541.75,6542.75
1751586300,6542.75,6543.25,6542.5,6543
1751586600,6542.75,6543,6542,6543
1751586900,6543,6543,6542,6542.75
1751587200,6542.75,6542.75,6541,6541.5
1751587500,6541.5,6541.75,6540.5,6541
1751587800,6541,6542.25,6539,6542
1751588100,6542,6542.25,6540.25,6541.75
1751588400,6541.5,6541.75,6539.5,6540.25
1751588700,6540.25,6541.5,6540,6540.25
1751589000,6540.25,6541,6539.75,6540
1751589300,6540,6540.25,6539.5,6539.5
1751589600,6539.5,6540.5,6539.25,6540
1751589900,6539.75,6540,6539.25,6540
1751590200,6540,6540.25,6539.25,6540
1751590500,6540,6540.5,6539.25,6539.75
1751590800,6539.5,6541,6539.25,6540.25
1751591100,6540,6541.75,6539.5,6541
1751591400,6541,6542,6540.75,6541.75
1751591700,6541.75,6543.5,6541.5,6543.25
1751592000,6543.25,6545.5,6542.5,6545
1751592300,6545,6546,6544,6544.25
1751592600,6544.25,6545.5,6543.75,6544.75
1751592900,6544.5,6545.5,6544.5,6545.25
1751593200,6545.25,6545.75,6544.25,6544.5
1751593500,6544.5,6544.75,6543.75,6544
1751593800,6544,6544.25,6542.75,6543.5
1751594100,6543.5,6543.5,6542,6542.5
1751594400,6542.25,6542.75,6541.75,6542.25
1751594700,6542.25,6542.25,6540.25,6541
1751595000,6540.75,6540.75,6537.75,6539.25
1751595300,6539.5,6539.5,6535,6535.75
1751595600,6535.75,6538.75,6535.75,6538.75
1751595900,6538.75,6539,6538.25,6538.75
1751596200,6538.75,6538.75,6536.75,6537.25
1751596500,6537.25,6538.5,6537,6538.25
1751596800,6538.25,6538.75,6537.5,6538
1751597100,6538.25,6538.75,6538,6538.5
1751597400,6538.5,6539.5,6538.5,6538.75
1751597700,6538.75,6539.25,6538,6538.5
1751598000,6538.5,6538.5,6537,6537
1751598300,6537,6537.25,6535.75,6536.5
1751598600,6536.75,6538,6536.75,6538
1751598900,6538.25,6539,6538,6538.75
1751599200,6539,6539,6537.25,6537.75
1751599500,6537.5,6538,6537,6538
1751599800,6538,6538.25,6536.75,6536.75
1751600100,6537,6537.75,6536,6536.5
1751600400,6536.25,6536.5,6535.5,6536.25
1751600700,6536.25,6537,6535.5,6535.75
1751601000,6535.75,6536.5,6535.25,6536.25
1751601300,6536.25,6536.5,6535.75,6535.75
1751601600,6535.75,6536.5,6535.25,6535.25
1751601900,6535.5,6536.25,6535.5,6536
1751602200,6536,6536.5,6535.75,6536
1751602500,6536.25,6537,6536,6536.25
1751602800,6536.25,6536.5,6534.75,6534.75
1751603100,6534.5,6535,6532.75,6533.5
1751603400,6533.75,6534.5,6532.75,6533.25
1751603700,6533.5,6533.75,6531.75,6532.75
1751604000,6532.75,6533.75,6532.5,6533.75
1751604300,6533.75,6534.75,6533,6534
1751604600,6534.25,6534.75,6533.75,6533.75
1751604900,6533.75,6534.5,6533.75,6534
1751605200,6534.25,6535,6533.75,6534.25
1751605500,6534.25,6534.5,6533,6533.25
1751605800,6533.5,6533.5,6532.75,6533
1751606100,6533.25,6534.25,6532.5,6533
1751606400,6532.75,6534.5,6532.75,6533.25
1751606700,6533.5,6534.75,6533.5,6534
1751607000,6534.25,6534.25,6531,6531.75
1751607300,6531.75,6533.5,6531.75,6532.75
1751607600,6532.75,6535.25,6532.75,6534.75
1751607900,6534.5,6536.25,6534.25,6534.75
1751608200,6535,6535.5,6534.5,6535.25
1751608500,6535.25,6536.25,6535,6535.75
1751608800,6535.75,6536.25,6533,6534
1751609100,6533.75,6533.75,6531,6531.75
1751609400,6531.75,6534,6530.5,6531.5
1751609700,6531.75,6534.25,6531.25,6533.5
1751610000,6533.75,6534.5,6533.25,6534.25
1751610300,6534.25,6534.25,6532,6533.25
1751610600,6533,6534.25,6532.75,6534.25
1751610900,6534,6534.5,6533.25,6533.25
1751611200,6533,6533.5,6531.5,6532.5
1751611500,6532.25,6532.75,6531,6532.5
1751611800,6532.5,6532.5,6531.5,6532
1751612100,6532,6532,6529.75,6530
1751612400,6530,6533,6529.75,6530.75
1751612700,6530.75,6531,6528,6529.5
1751613000,6529.25,6529.25,6525.5,6526
1751613300,6526,6527.5,6521.25,6521.25
1751613600,6521.25,6525.5,6520,6524.25
1751613900,6524.25,6525.75,6523.25,6523.25
1751614200,6523.5,6525.5,6521.75,6525
1751614500,6525,6525.75,6523,6524.25
1751614800,6524.25,6524.75,6523,6523.5
1751615100,6523.5,6524,6520.25,6521.25
1751615400,6521,6522.75,6520.5,6521.75
1751615700,6521.75,6522,6517.5,6518.25
1751616000,6518.25,6520,6517.75,6517.75
1751616300,6518,6519,6517.5,6517.5
1751616600,6517.75,6518.25,6515,6515.5
1751616900,6515.25,6516.75,6513,6516.75
1751617200,6516.75,6520,6516,6520
1751617500,6520,6523,6519.75,6522.25
1751617800,6522,6522.25,6516.5,6517.5
1751618100,6517.5,6520.5,6516.5,6519.5
1751618400,6519.5,6520,6518.75,6519.25
1751618700,6519,6519.25,6516.5,6517.5
1751619000,6517.5,6517.5,6513,6514.25
1751619300,6514.5,6514.75,6513,6514
1751619600,6513.75,6515.5,6511.75,6515
1751619900,6514.75,6517.5,6514.5,6516.75
1751620200,6516.75,6516.75,6513.75,6515
1751620500,6515,6516,6511.5,6513.75
1751620800,6513.5,6516,6513.25,6515.25
1751621100,6515,6516,6513.5,6513.75
1751621400,6513.5,6515,6512.25,6512.25
1751621700,6512.25,6514.75,6511.25,6514.25
1751622000,6514.25,6516.25,6513.25,6516.25
1751622300,6516.25,6516.75,6514.75,6516.5
1751622600,6516,6518,6514.5,6517
1751622900,6517.25,6517.25,6515.5,6516.75
1751623200,6516.75,6518.5,6516,6516.5
1751623500,6516.5,6516.5,6514.75,6516.5
1751623800,6516.5,6518,6516.5,6517
1751624100,6516.75,6517,6515,6515.5
1751624400,6515.5,6517.75,6514.5,6514.5
1751624700,6514.75,6515.5,6513.5,6514.25
1751625000,6514.5,6515.75,6512.5,6514.75
1751625300,6514.5,6517.5,6514.5,6516.25
1751625600,6516.5,6516.5,6512.75,6512.75
1751625900,6512.75,6513.75,6510,6510
1751626200,6510,6511,6507.5,6508.25
1751626500,6508,6509.75,6504,6509
1751626800,6508.75,6513,6508,6512
1751627100,6511.75,6511.75,6507.5,6509.75
1751627400,6509.75,6513,6509.75,6513
1751627700,6513,6515.5,6511.75,6512
1751628000,6512,6513.75,6511.75,6512.5
1751628300,6512.75,6514,6511.75,6512.5
1751628600,6512.5,6513.5,6511.25,6513
1751628900,6512.75,6513.5,6509.5,6510.5
1751629200,6510.25,6512.5,6510.25,6512.25
1751629500,6512.25,6512.5,6510.75,6512
1751629800,6512.25,6512.75,6511.75,6512.5
1751630100,6512.75,6514,6512.25,6512.75
1751630400,6512.75,6515,6512.5,6515
1751630700,6515,6515,6512,6513.75
1751631000,6513.75,6514,6512.5,6513.5
1751631300,6513.5,6513.75,6511.5,6511.75
1751631600,6511.75,6512.5,6510,6510.75
1751631900,6510.5,6512.75,6509.75,6512.25
1751632200,6512.25,6513.25,6510.5,6512
1751632500,6512.25,6513.5,6512,6512.5
1751632800,6512.5,6514,6512,6512.75
1751633100,6512.5,6513.25,6511.25,6512.25
1751633400,6512.25,6512.75,6511.5,6512.75
1751633700,6512.75,6513.75,6511.5,6512.25
1751634000,6512.5,6513.25,6510.5,6511.75
1751634300,6511.5,6512.25,6510.5,6511.5
1751634600,6511.25,6512,6510.25,6510.5
1751634900,6510.25,6511.25,6510.25,6510.5
1751635200,6510.5,6513,6510.25,6512
1751635500,6511.75,6512.5,6510.5,6512.25
1751635800,6512,6512.75,6510.25,6511.25
1751636100,6511.25,6511.5,6506.75,6508.5
1751636400,6508.25,6514.25,6508,6513.5
1751636700,6513.5,6514.5,6512.25,6512.5
1751637000,6512.75,6514.75,6512,6514.5
1751637300,6514.5,6516,6509.5,6515
1751637600,6514.75,6515.5,6512.5,6514
1751637900,6513.75,6514.75,6512.25,6512.75
1751638200,6513,6514.5,6512,6513.75
1751638500,6514,6515,6512.5,6514.5
1751638800,6514.5,6514.5,6513,6513.75
1751639100,6513.5,6516.75,6513.25,6516.75
1751639400,6516.75,6520.25,6516.5,6519.25
1751639700,6519.5,6519.75,6518.5,6519.25
1751640000,6519,6519.75,6518.25,6519.5
1751640300,6519.5,6520,6518,6518.5
1751640600,6518.25,6518.75,6517.5,6517.5
1751640900,6517.5,6517.75,6517,6517.75
1751641200,6517.75,6519.5,6517.5,6518.5
1751641500,6518.5,6519,6517,6517.75
1751641800,6517.75,6518,6516,6516.25
1751642100,6516.25,6516.5,6512.5,6513.5
1751642400,6513.5,6514.75,6513,6513.75
1751642700,6513.75,6515.25,6513.25,6514.75
1751643000,6514.75,6517.25,6514.75,6517
1751643300,6517.25,6517.75,6516.75,6517.25
1751643600,6517,6517.25,6516.25,6516.25
1751643900,6516.25,6516.5,6515.75,6516
1751644200,6516,6517.5,6516,6517
1751644500,6517,6517.75,6516,6517
1751644800,6517,6517.25,6515.5,6517
1751645100,6516.75,6517.25,6516.25,6516.75
1751645400,6516.5,6517.25,6516.5,6517
1751645700,6517,6517.25,6512.75,6515.25
1751646000,6515.25,6517.25,6515,6517
1751646300,6517,6517.5,6516.5,6516.75
1751646600,6516.75,6517.25,6514.75,6516
1751646900,6516,6516.25,6512.5,6513.75
1751647200,6513.75,6514,6510.75,6511.5
1751647500,6511.5,6513.75,6511,6511.5
1751647800,6511.75,6512.5,6510,6510.75
1751648100,6510.75,6513.75,6510,6511
1751839200,6535.25,6540.5,6523,6530
1751839500,6530.25,6537.5,6529,6532.25
1751839800,6532.25,6533.75,6529.5,6531
1751840100,6531,6534.5,6531,6533.75
1751840400,6533.5,6533.75,6531,6531.25
1751840700,6531.5,6531.5,6529,6529.75
1751841000,6530,6531,6527.75,6529.5
1751841300,6529.75,6531.25,6529.25,6531
1751841600,6530.75,6531,6529.75,6530.5
1751841900,6530.5,6531.5,6529.5,6530.25
1751842200,6530.25,6530.75,6528.5,6529.75
1751842500,6529.5,6530.75,6527.5,6528.25
1751842800,6528.25,6528.75,6526.5,6527.75
1751843100,6527.5,6528.75,6526,6528.25
1751843400,6528.5,6530.75,6528.5,6530.25
1751843700,6530.25,6531.25,6529.5,6530.5
1751844000,6530.5,6533.5,6530.25,6533
1751844300,6533,6533.25,6530,6530.75
1751844600,6530.75,6531.25,6528.25,6530.75
1751844900,6530.5,6532.5,6529.25,6532.25
1751845200,6532,6532.25,6529.75,6530.5
1751845500,6530.5,6531.5,6530,6530
1751845800,6530,6530.5,6528,6529.25
1751846100,6529,6529.25,6526.75,6528.75
1751846400,6528.75,6531.75,6526.75,6531.75
1751846700,6532,6533.5,6530.5,6530.75
1751847000,6531,6531,6529.75,6530.5
1751847300,6530.5,6531.75,6530.25,6530.5
1751847600,6530.75,6531.5,6529.75,6530.25
1751847900,6530,6530.5,6529,6530.25
1751848200,6529.75,6531.5,6529.75,6531.25
1751848500,6531.5,6531.5,6529,6531
1751848800,6531,6531.25,6527.5,6527.75
1751849100,6527.75,6529.5,6527.25,6529
1751849400,6529,6529.25,6527.75,6529
1751849700,6529,6529.5,6528.25,6529
1751850000,6529,6529.25,6523.75,6523.75
1751850300,6523.75,6524.25,6519.5,6521.25
1751850600,6521.25,6522.25,6518.5,6519.5
1751850900,6519.25,6526.25,6519.25,6525.75
1751851200,6525.75,6527,6525,6525.25
1751851500,6525.25,6527.75,6525,6527.75
