time,open,high,low,close,VWAP
1699225200,5024,5028.5,5023,5025,5025.5
1699225500,5024.75,5026.25,5024.25,5025.75,5025.477928483354
1699225800,5025.75,5026.25,5024.75,5024.75,5025.437133022879
1699226100,5024.5,5025.25,5023.75,5024.25,5025.355754300975
1699226400,5024.5,5025,5023,5023.5,5025.246972318339
1699226700,5023.25,5023.75,5022.25,5022.75,5024.900635832474
1699227000,5022.5,5023,5022.25,5022.5,5024.747615444581
1699227300,5022.5,5023.25,5021.5,5021.75,5024.488274965969
1699227600,5021.75,5022,5020.5,5020.75,5024.260256706309
1699227900,5020.75,5022.5,5020,5021.5,5023.874949869661
1699228200,5021.5,5022.75,5021.5,5022,5023.7411479110615
1699228500,5022,5022.25,5021.25,5021.75,5023.629879419579
1699228800,5021.75,5022.25,5019.75,5020,5023.305590223609
1699229100,5020.25,5021.25,5019.75,5020,5023.092317717761
1699229400,5020.25,5021.25,5019.5,5019.75,5022.985373793745
1699229700,5019.75,5020,5019,5019.75,5022.853955692665
1699230000,5019.75,5020.75,5019.25,5019.25,5022.746638610121
1699230300,5019.5,5020,5019,5019.5,5022.653136724727
1699230600,5019.5,5020,5018.75,5019,5022.558073553382
1699230900,5019,5020,5019,5019.5,5022.448843765963
1699231200,5019.75,5020,5019.25,5019.75,5022.406532969584
1699231500,5019.75,5020,5018.75,5019.5,5022.265481260255
1699231800,5019.75,5020,5019.25,5019.5,5022.193728244878
1699232100,5019.75,5021.25,5019.75,5020,5022.095283612018
1699232400,5020,5020.75,5019.75,5020.5,5022.039950786754
1699232700,5020.25,5021.25,5020.25,5020.75,5022.007779650137
1699233000,5020.5,5021.25,5019.5,5021,5021.97298810083
1699233300,5021,5022,5020.5,5022,5021.960465346686
1699233600,5021.75,5021.75,5019.25,5019.75,5021.857899186153
1699233900,5019.75,5020.75,5019.75,5020.25,5021.7918865072825
1699234200,5020.25,5021.25,5020,5021,5021.752743946788
1699234500,5021.25,5021.25,5019.25,5020.5,5021.71067033658
1699234800,5020.75,5021,5020.25,5020.5,5021.69945625937
1699235100,5020.5,5022,5020.25,5021.75,5021.692274159599
1699235400,5021.75,5022,5021,5021.25,5021.688475758805
1699235700,5021.5,5021.5,5020.5,5021,5021.680947868451
1699236000,5021.25,5022.25,5021.25,5022.25,5021.687415074499
1699236300,5022,5022.25,5021,5021.75,5021.686606483848
1699236600,5021.75,5022.25,5021.75,5022,5021.69024691358
1699236900,5022,5022.75,5021.75,5022.5,5021.701500766373
1699237200,5022.25,5023,5022.25,5022.5,5021.7197276487295
1699237500,5022.5,5022.5,5021.25,5021.5,5021.720072809574
1699237800,5021.5,5022.25,5021.25,5021.25,5021.718437180259
1699238100,5021.5,5022.25,5021.5,5022,5021.720128844686
1699238400,5021.75,5022.75,5021.5,5022.5,5021.729887181383
1699238700,5022.5,5022.5,5022,5022.5,5021.734113149848
1699239000,5022.25,5023,5022,5023,5021.7490696997975
1699239300,5023,5023.25,5022,5022,5021.756322300932
1699239600,5022.25,5023.75,5022.25,5023.5,5021.775779323707
1699239900,5023.5,5024,5022.5,5023,5021.798470148896
1699240200,5022.75,5023.25,5021.75,5022.25,5021.805563484137
1699240500,5022.25,5022.5,5021.75,5022,5021.806724082392
1699240800,5022,5022.25,5021.25,5022.25,5021.807990559678
1699241100,5022.25,5022.25,5021.75,5022,5021.808983425107
1699241400,5022,5022.5,5021.5,5022,5021.810980500624
1699241700,5022.25,5022.75,5022,5022.5,5021.813898064044
1699242000,5022.25,5023,5022.25,5022.5,5021.819031279052
