time,open,high,low,close
1733698800,6500.25,6501.75,6499.25,6500.5
1733699100,6500.75,6503.25,6500.5,6502.5
1733699400,6502.5,6502.75,6501,6502
1733699700,6501.75,6503,6501.75,6502.5
1733700000,6502.5,6503.75,6502,6503.75
1733700300,6503.75,6504.5,6503.5,6504
1733700600,6503.75,6505,6503.75,6504.5
1733700900,6504.5,6506,6504.5,6505.75
1733701200,6505.75,6506.5,6505,6506
1733701500,6506,6507,6505,6506.5
1733701800,6506.25,6507,6506,6506
1733702100,6506,6506.25,6505.25,6505.5
1733702400,6505.25,6505.5,6503.75,6504.5
1733702700,6504.5,6505.5,6503.5,6505.25
1733703000,6505.25,6505.75,6504.5,6505.5
1733703300,6505.5,6505.5,6504.5,6504.5
1733703600,6504.75,6505,6504.25,6504.25
1733703900,6504.25,6504.25,6501.25,6501.75
1733704200,6501.5,6502.5,6501,6501.25
1733704500,6501.5,6502,6501.25,6501.5
1733704800,6501.5,6502,6501.25,6502
1733705100,6502.25,6503.25,6502,6502.75
1733705400,6502.75,6503,6501.5,6502
1733705700,6502,6503,6501.75,6501.75
1733706000,6501.75,6502.25,6498,6498.5
1733706300,6498.75,6500.5,6498.25,6499.5
1733706600,6499.25,6500.5,6499.25,6500.25
1733706900,6500,6500.5,6499.5,6500.25
1733707200,6500.25,6500.75,6499.75,6500.5
1733707500,6500.5,6500.5,6499.75,6500.5
1733707800,6500.5,6501.75,6500.25,6501.25
1733708100,6501.25,6502,6500.5,6501.75
1733708400,6501.5,6502,6501,6501.75
1733708700,6501.75,6502.5,6501.5,6501.5
1733709000,6501.75,6502,6501,6501.75
1733709300,6501.75,6502,6501.25,6502
1733709600,6502,6503,6502,6502.25
1733709900,6502.5,6502.5,6501.75,6502.25
1733710200,6502.25,6502.75,6501.5,6501.5
1733710500,6501.5,6501.75,6501,6501.5
1733710800,6501.5,6502.5,6501.5,6502
1733711100,6501.75,6502,6501.5,6501.75
1733711400,6501.75,6501.75,6500.5,6500.75
1733711700,6500.75,6501.25,6500.25,6500.5
1733712000,6500.25,6500.75,6499.75,6500.5
1733712300,6500.75,6501.25,6500.75,6501
1733712600,6501,6501.5,6500.75,6501.25
1733712900,6501.25,6501.25,6500.75,6501
1733713200,6501.25,6501.5,6501,6501.5
1733713500,6501.25,6502,6501,6501.75
1733713800,6501.5,6501.75,6501.25,6501.5
1733714100,6501.25,6501.25,6500.75,6501
1733714400,6500.75,6501,6499.5,6499.75
1733714700,6499.5,6500.25,6499,6499.75
1733715000,6499.75,6500.75,6499.5,6500.5
1733715300,6500.25,6500.25,6499.5,6500.25
1733715600,6500.25,6501,6500.25,6500.5
1733715900,6500.5,6500.5,6500,6500.25
1733716200,6500.25,6500.25,6499.75,6500
1733716500,6500,6500,6498.75,6499
1733716800,6499,6499.25,6498.5,6498.5
1733717100,6498.5,6499.25,6498.25,6499
1733717400,6499,6499.5,6499,6499.25
1733717700,6499,6500,6499,6499.5
1733718000,6499.5,6499.75,6499,6499
1733718300,6499.25,6499.5,6499,6499
1733718600,6498.75,6498.75,6497.5,6498
1733718900,6498,6498.25,6497.5,6497.75
1733719200,6498,6498.5,6497.5,6498
1733719500,6497.75,6498.75,6497.25,6498.5
1733719800,6498.5,6499,6498.25,6498.75
