time,open,high,low,close
1769037900,7037.25,7040,7037,7039
1769038200,7039.25,7039.25,7033.5,7033.75
1769038500,7033.75,7034.25,7032,7033
1769038800,7033,7036.5,7032.5,7034.5
1769039100,7034.5,7036.5,7034,7035.25
1769039400,7035.25,7038.25,7035.25,7036.75
1769039700,7037,7037.75,7036,7037
1769040000,7037,7037.75,7034.75,7036.25
1769040300,7036.5,7039.5,7035.75,7039.25
1769040600,7039,7040.5,7038.5,7040
1769040900,7040,7042.5,7038.25,7041
1769041200,7040.75,7042,7039.25,7040.75
1769041500,7040.75,7041.5,7039.75,7039.75
1769041800,7040,7042,7039.75,7041
1769042100,7040.75,7040.75,7036,7037.25
1769042400,7037.5,7040.75,7037.25,7039.25
1769042700,7039,7040.5,7038.5,7040
1769043000,7040,7041,7039.5,7040
1769043300,7040,7040.5,7038.5,7039.75
1769043600,7039.75,7040.25,7038.25,7039.5
1769043900,7039.75,7040,7038.75,7040
1769044200,7040,7041,7038.75,7040.5
1769044500,7040.5,7042.5,7040,7041.75
1769044800,7041.75,7044,7041.5,7043.5
1769045100,7043.5,7045.5,7042.75,7045.25
1769045400,7045,7045.25,7043.75,7045.25
1769045700,7045.25,7045.5,7043.25,7044
1769046000,7044,7045.5,7043.5,7045.25
1769046300,7045.25,7046,7043.75,7046
1769046600,7046,7046.5,7045.25,7046
1769046900,7046,7047,7045.5,7046
1769047200,7045.75,7047.25,7045,7046.5
1769047500,7046.5,7047.5,7046.5,7046.5
1769047800,7046.75,7047.5,7045.75,7046
1769048100,7045.75,7046.25,7045.25,7045.5
1769048400,7045.25,7046,7044.75,7045.5
1769048700,7045.5,7045.75,7043.75,7044.5
1769049000,7044.25,7044.25,7042,7043
1769049300,7043,7043.25,7041,7042.25
1769049600,7042,7042.75,7041.25,7041.5
1769049900,7041.75,7043,7041.25,7042.5
1769050200,7042.5,7042.75,7041.75,7042
1769050500,7042,7043,7041.75,7042.25
1769050800,7042.25,7044.5,7042.25,7044.25
1769051100,7044.25,7046.5,7044.25,7046
1769051400,7046,7046.5,7044.5,7044.75
1769051700,7044.75,7045,7043.25,7045
1769052000,7045,7046.5,7045,7046.25
1769052300,7046,7046.25,7044.75,7045.25
1769052600,7045.25,7045.75,7044.25,7045.25
1769052900,7045,7045,7043.75,7044.25
1769053200,7044.25,7044.5,7043.25,7043.75
