time,open,high,low,close,Plot,Plot,ROC Line
873756000,1584.5,1592,1583.5,1584.75,NaN,NaN,NaN
873842400,1584.5,1585,1565.25,1566,NaN,NaN,NaN
873928800,1566.75,1568.25,1551.25,1559.25,NaN,NaN,-25.5
874015200,1558.75,1577,1554.75,1574.75,NaN,NaN,8.75
874274400,1574.5,1580.75,1570,1572.5,NaN,NaN,13.25
874360800,1572.25,1601,1571.25,1597,NaN,NaN,22.25
874447200,1597,1603.5,1592.5,1597,NaN,NaN,24.5
874533600,1596.75,1611.5,1595.75,1598.75,NaN,NaN,1.75
874620000,1598.75,1604.25,1594,1601.5,NaN,NaN,4.5
874879200,1601.25,1613,1601.25,1607.25,16.625,NaN,8.5
874965600,1606.25,1608.25,1597.5,1603,16.216666666666697,NaN,1.5
875052000,1602.5,1611.5,1593,1595.5,11.266666666666652,NaN,-11.75
875138400,1594.75,1598.5,1586.5,1587.5,1.8583333333333485,NaN,-15.5
875224800,1587.25,1597.5,1587.25,1594.25,-3.008333333333212,NaN,-1.25
875484000,1594.25,1605.5,1591.25,1602.75,-3.616666666666788,NaN,15.25
875570400,1602,1606.25,1593.75,1595.5,-0.7999999999999545,NaN,1.25
875656800,1596.5,1607.5,1595.5,1604.5,1.866666666666788,NaN,1.75
875743200,1604.25,1610.5,1602,1610,3.158333333333303,NaN,14.5
875829600,1610.25,1626.5,1602.75,1616.5,8.658333333333303,NaN,12
876088800,1617.75,1624.75,1617.5,1622.5,13.133333333333212,NaN,12.5
876175200,1622.5,1633.25,1618.5,1630.5,17.216666666666697,NaN,14
876261600,1630.5,1632.75,1615.75,1623.25,16.691666666666833,NaN,0.75
876348000,1623.25,1624.25,1610.25,1619,12.375,NaN,-11.5
876434400,1619.75,1622,1605,1617.75,5.775000000000091,NaN,-5.5
876693600,1617.75,1622.75,1615,1617.25,2.3250000000000455,7.4838541666666885,-1.75
876780000,1617.25,1622.5,1609.5,1618.5,-0.1416666666666515,6.435937500000023,0.75
876866400,1616.75,1617.75,1609,1614.5,-2.224999999999909,5.28333333333336,-2.75
876952800,1614.5,1622.25,1596.25,1600.75,-6.7999999999999545,4.154166666666697,-17.75
877039200,1600,1601,1576.5,1589.75,-13.708333333333258,3.181250000000034,-24.75
877298400,1604.5,1604.5,1603.25,1603.25,-15.533333333333303,2.3984375000000284,2.5
877384800,1605.25,1621.5,1605.25,1620.5,-7.9500000000000455,2.1276041666667,30.75
877471200,1620,1621.5,1611.5,1615.25,1.349999999999909,2.2619791666666913,12
877557600,1614,1615.25,1588.5,1596.5,1.349999999999909,2.2296875000000114,-24
877644000,1597,1610,1582.5,1585,-7.2083333333332575,1.5817708333333513,-30.25
877906800,1583.5,1585,1515,1515,-30.40000000000009,-0.8593749999999858,-81.5
877993200,1503,1574,1485,1565.5,-35.43333333333317,-3.8947916666666345,-19.5
878079600,1565.5,1583,1557.25,1565.5,-37.0333333333333,-7.2854166666666345,50.5
878166000,1565.5,1569.5,1543,1544,-21.691666666666833,-9.684374999999989,-21.5
878252400,1543,1567.25,1530.75,1565,-19.383333333333212,-11.669270833333314,-0.5
878511600,1564.75,1589,1562.25,1586.75,-10.650000000000091,-12.695833333333326,42.75
878598000,1587,1587.75,1577.25,1586.75,6.974999999999909,-12.405208333333334,21.75
878684400,1582.5,1597,1579.25,1588,17.366666666666788,-11.310937499999994,1.25
878770800,1587.5,1588.5,1578.25,1583.25,17.52500000000009,-10.076562499999994,-3.5
878857200,1583.25,1584,1557.5,1572.25,13.966666666666697,-8.778645833333329,-15.75
879116400,1571,1581.5,1563.75,1567.25,1.8250000000000455,-7.807812499999997,-16
879202800,1567,1570.75,1565.25,1567.5,-3.625,-7.063541666666666,-4.75
879289200,1567.5,1570.5,1546.5,1549.25,-9.666666666666742,-7.170833333333334,-18
879375600,1548,1563.5,1543.5,1560.25,-13.625,-8.106770833333329,-7.25
879462000,1561,1573.5,1561,1573.5,-12.474999999999909,-8.970833333333317,24.25
879721200,1573,1595.5,1573,1591,1.0166666666666515,-8.456770833333323,30.75
879807600,1591,1595.5,1581,1583.5,9.091666666666697,-5.988541666666649,10
879894000,1583.25,1592.5,1577.25,1588.75,14.099999999999909,-2.8927083333333314,-2.25
879980400,1589,1606.5,1588,1604,16.35833333333335,0.4442708333333343,20.5
880066800,1603.5,1612,1598.5,1610.5,21.533333333333303,3.145833333333343,21.75
880326000,1609.5,1610,1588,1590.75,19.84999999999991,5.597916666666663,-13.25
880412400,1591,1598.5,1585.75,1592.75,13.575000000000045,7.111979166666671,-17.75
880498800,1593,1600.75,1589.75,1596,4.066666666666833,6.930208333333354,5.25
880671600,1595.75,1603.25,1594.75,1596,2.241666666666788,5.984895833333354,3.25
880930800,1596.5,1620.5,1596.5,1620.5,6.7916666666667425,5.31406250000002,24.5
881017200,1621,1623,1613,1616,10.958333333333258,5.12604166666668,20
881103600,1615.75,1622.25,1610,1618.5,14.958333333333258,5.946875000000006,-2
881190000,1618.5,1626.75,1613.5,1618,11.200000000000045,6.8734375000000085,2
881276400,1617.25,1630,1604,1627.5,12.683333333333167,8.270312500000003,9
881535600,1627.5,1630.75,1621.5,1625.5,13.516666666666652,9.966666666666669,7.5
881622000,1625.75,1627.25,1615.5,1620,11.258333333333212,11.449999999999989,-7.5
881708400,1619.75,1620.75,1604.5,1611.25,3.991666666666788,11.635937499999997,-14.25
881794800,1610.75,1611.25,1592.25,1595.5,-5.9583333333332575,10.6953125,-24.5
881881200,1589.5,1606,1587.75,1596.5,-13.841666666666697,8.948958333333337,-14.75
882140400,1596.75,1608.5,1590.5,1604.25,-14.549999999999955,7.017187500000006,8.75
882226800,1603.5,1615.75,1603.25,1610.5,-9,5.108854166666674,14
882313200,1610.25,1618,1604.5,1605.5,-4.7000000000000455,3.574479166666677,1.25
882399600,1605.25,1606.5,1590.5,1595,-5.4833333333333485,2.38333333333334,-15.5
882486000,1594,1594,1587.5,1587.5,-9.150000000000091,1.5572916666666572,-18
882745200,1586.75,1592.75,1586.75,1592.75,-10.125,0.784374999999983,-2.25
882831600,1592.75,1595,1574,1575,-12.291666666666742,-0.40833333333335986,-12.5
882918000,1574.75,1583.5,1571.5,1572.25,-13.474999999999909,-1.9354166666666828,-20.5
883090800,1574,1579.5,1573,1576,-17.10833333333335,-3.9395833333333456,1
883350000,1575.5,1596.5,1571.25,1595.75,-10.116666666666788,-5.271875000000023,23.5
883436400,1596.5,1610.5,1595.5,1609.25,1.716666666666697,-5.957291666666677,33.25
883522800,1609.5,1614,1605.25,1609,12.866666666666788,-5.997916666666669,13.25
883695600,1609.25,1614.75,1602.5,1614.75,18.27500000000009,-5.559374999999989,5.5
883954800,1617,1622.75,1606.5,1617,18.658333333333303,-4.642708333333331,8
884041200,1617,1617.75,1600.5,1601,14.641666666666652,-3.355208333333337,-13.75
884127600,1600.75,1604.75,1590.5,1604,9.933333333333167,-1.8692708333333456,-13
884214000,1603.75,1607.25,1590.5,1591.25,-0.27500000000009095,-0.9770833333333542,-9.75
884300400,1592,1593,1555.5,1559.5,-12.833333333333258,-1.2166666666666828,-44.5
884559600,1559,1578.25,1544.5,1575.5,-22.283333333333303,-2.3156250000000114,-15.75
884646000,1575.5,1590,1574.5,1589.5,-22.241666666666788,-3.3630208333333513,30
884732400,1590,1596.25,1583.75,1593.25,-9.391666666666652,-3.3781250000000114,17.75
884818800,1593.5,1594,1584.75,1585,-3.8250000000000455,-2.984375000000014,-4.5
884905200,1585,1602.75,1582.5,1598.5,0.7999999999999545,-2.1661458333333456,5.25
885250800,1598.5,1616,1596.75,1615.25,8.308333333333167,-0.8046875000000284,30.25
885337200,1614.5,1615.25,1597.5,1605.5,14.691666666666833,1.182812499999983,7
885423600,1607.25,1607.5,1594.25,1596.25,14.716666666666697,2.7348958333333258,-19
885510000,1596,1602.5,1585,1594.5,7.474999999999909,3.0947916666666515,-11
885769200,1591,1599.75,1583.5,1593.5,0.07500000000004547,2.29531249999998,-2.75
885855600,1593.25,1609.75,1590.75,1603.75,-0.25,1.1374999999999744,9.25
885942000,1604,1615,1603,1612,3.3333333333332575,0.17968749999997158,18.5
886028400,1612,1629,1609.75,1617,8.791666666666742,-0.18593750000002274,13.25
886114800,1617.75,1623.5,1614,1617.75,10.183333333333167,-0.17031250000002274,5.75
886374000,1618,1639,1617.75,1634,13.966666666666697,0.7197916666666515,17
886460400,1632.75,1641.75,1631.25,1640.75,19.333333333333258,2.7302083333333087,23
886546800,1641,1644.75,1632.75,1639.75,23.241666666666788,5.575520833333314,5.75
886633200,1639.5,1649.25,1634,1639.5,20.75,8.262499999999989,-1.25
886719600,1639,1649,1638,1648.5,17.933333333333167,9.970312499999977,8.75
886978800,1649,1652,1640.25,1645,14.533333333333303,11.117708333333312,5.5
887065200,1644.75,1657.75,1642.5,1654.25,14.400000000000091,11.96770833333332,5.75
887151600,1654,1656.5,1649.5,1653.75,11.974999999999909,12.196874999999991,8.75
887238000,1653.5,1661.5,1641.25,1656.75,11.916666666666742,12.023437499999986,2.5
887324400,1656.75,1658.25,1650.75,1652.25,7.7999999999999545,11.591145833333314,-1.5
887670000,1652.5,1663.5,1647.5,1657.5,6.7000000000000455,11.542708333333323,0.75
