time,open,high,low,close
1617868800,4595.25,4597.75,4591.75,4594.25
1617872400,4594,4596,4590.5,4594.5
1617876000,4594.5,4597.5,4593.5,4593.5
1617879600,4593.5,4597.25,4593.5,4595.75
1617883200,4595.75,4597.25,4591.25,4593.25
1617886800,4593.25,4595.75,4587,4592.75
1617890400,4592.75,4595,4584.75,4591.25
1617894000,4591.5,4596.25,4590,4594.5
1617897600,4594.5,4599.25,4593.5,4595.5
1617901200,4595.75,4598.25,4594,4596.25
1617904800,4596.25,4600.5,4595.25,4600
1617908400,4600.25,4601.75,4596.5,4601
1617912000,4601,4610.25,4600,4609.75
1617919200,4609.75,4609.75,4606.5,4608.75
1617922800,4608.75,4611.5,4607.5,4611.25
1617926400,4611.25,4614.25,4610,4613.5
1617930000,4613.5,4614.25,4606.5,4606.5
1617933600,4606.5,4606.75,4603.75,4604.5
1617937200,4604.5,4607.5,4603.25,4607
1617940800,4607,4608.75,4606,4607.5
1617944400,4607.25,4608.25,4598.75,4601.5
1617948000,4601.25,4604.5,4600.25,4602.5
1617951600,4602.5,4608.25,4599.5,4607.5
1617955200,4607.25,4607.5,4601.25,4605.75
1617958800,4605.75,4606,4602.5,4605.5
1617962400,4605.5,4606,4601.5,4603.5
1617966000,4603.25,4610.25,4603,4606.75
1617969600,4606.75,4607,4595.25,4596.25
1617973200,4596,4606.75,4592.75,4606.5
1617976800,4606.5,4608.25,4599.75,4602.25
1617980400,4602,4610.75,4601.25,4609.5
1617984000,4609.75,4611.25,4607.25,4610.5
1617987600,4610.75,4615.75,4609,4614.25
1617991200,4614.25,4615.5,4612,4613.25
1617994800,4613,4633.25,4611,4631
1617998400,4630.75,4632.25,4622.25,4625.75
1618178400,4626,4629.75,4623.5,4626.5
1618182000,4626.75,4627.75,4622.25,4622.25
1618185600,4622.25,4626,4617.75,4625.25
1618189200,4625.25,4626.5,4620.75,4621.25
1618192800,4621.5,4621.75,4618,4619.5
1618196400,4619.5,4620.75,4618.25,4620
1618200000,4620.25,4621,4617.75,4618
1618203600,4618.25,4620.5,4616.25,4618.25
1618207200,4618.5,4624.5,4617.25,4623.25
1618210800,4623.5,4624.75,4619.25,4620.75
1618214400,4620.5,4623.5,4619.25,4622.5
1618218000,4622.25,4626,4622,4625.25
1618221600,4625.25,4625.5,4622,4623.25
1618225200,4623,4628,4623,4624.5
1618228800,4624.5,4627,4623,4625.75
1618232400,4626,4631,4620.25,4624.5
1618236000,4624.5,4628,4617.75,4623
1618239600,4623.25,4627.75,4621.75,4627.5
1618243200,4627.5,4634,4624,4632.75
1618246800,4632.75,4633.5,4622.25,4623.5
1618250400,4623.5,4627.25,4622.25,4624.5
1618254000,4624.25,4635.5,4621.25,4632.75
1618257600,4633,4636.25,4631.75,4634.25
1618264800,4634.5,4635,4632,4632.5
1618268400,4632.5,4635.5,4631.25,4633.25
1618272000,4633.5,4634.75,4631.5,4632.75
1618275600,4632.75,4634.75,4631,4631.75
1618279200,4631.75,4634.25,4631.75,4633.5
1618282800,4633.5,4635,4631.5,4632.25
1618286400,4632,4632,4628,4629
1618290000,4629.25,4629.25,4625.5,4628.25
1618293600,4628.5,4630.75,4626.75,4630
1618297200,4630.25,4634.25,4629.75,4634
1618300800,4634,4635.25,4632.25,4633
1618304400,4633.25,4638.5,4632.25,4638.25
1618308000,4638,4638.75,4627.25,4629
1618311600,4629,4629,4613,4620.5
1618315200,4620.5,4634.25,4618.75,4634.25
1618318800,4634.25,4635.5,4627.25,4634
1618322400,4633.75,4638.25,4633.25,4634.5
1618326000,4634.5,4638.25,4633.5,4637
1618329600,4637,4638,4632,4632.5
1618333200,4632.5,4638.75,4631.5,4637.75
1618336800,4638,4647.25,4637.5,4646.25
1618340400,4646.25,4651.5,4643.25,4644.25
1618344000,4644.25,4647,4643.75,4646
1618351200,4646.5,4646.5,4643.25,4644
1618354800,4644,4644,4642,4642.5
1618358400,4642.5,4645.5,4641.75,4642.75
1618362000,4642.5,4647,4642,4645.75
1618365600,4645.75,4646.5,4642.25,4643.25
1618369200,4643.5,4644.25,4642.25,4644
1618372800,4643.75,4648,4643.75,4647.25
1618376400,4647.25,4649.5,4646.5,4649.25
1618380000,4649.25,4649.5,4644.5,4647
1618383600,4647.25,4649.75,4645,4645.75
1618387200,4645.5,4650.75,4645,4650
1618390800,4649.75,4651,4648.75,4649
1618394400,4649,4649,4645.25,4646.25
1618398000,4646,4650.25,4645.75,4649.25
1618401600,4649.5,4650,4642.5,4643.5
1618405200,4643.5,4654.25,4641.25,4654.25
1618408800,4654,4655.75,4647.75,4650
1618412400,4650,4652,4643.25,4650
1618416000,4650.25,4651.75,4644.75,4650.5
1618419600,4650.5,4650.75,4634.25,4637.25
1618423200,4637,4642,4627.75,4629.5
1618426800,4629.5,4637.5,4624.75,4631.75
1618430400,4631.75,4636,4631.5,4635
1618437600,4635.25,4638.25,4633.75,4636.25
1618441200,4636.5,4636.75,4633,4634.75
1618444800,4635,4639.25,4634.25,4637
1618448400,4637,4638.75,4631.25,4634.25
1618452000,4634.25,4635.25,4631.75,4632.25
1618455600,4632.25,4635,4631.5,4634.25
1618459200,4634.5,4637,4634.25,4635.75
1618462800,4635.75,4639.25,4635.25,4638.25
1618466400,4638,4643.25,4637.5,4643
1618470000,4643,4649.75,4641.75,4648.25
1618473600,4648.25,4650.25,4646.5,4649
1618477200,4649,4650.5,4647.25,4648
1618480800,4648,4651.25,4646.5,4651
1618484400,4651,4653.25,4647.25,4653.25
1618488000,4653,4658,4652.25,4654
1618491600,4654,4659.75,4651,4655.5
1618495200,4655.75,4668,4653.5,4665.5
1618498800,4665.5,4671,4661.5,4664.5
1618502400,4664.5,4673.25,4663.25,4672.75
1618506000,4672.75,4673.5,4667.25,4670.5
1618509600,4670.5,4674.25,4668.25,4670
1618513200,4670,4678.25,4665.5,4675
1618516800,4675,4675.75,4672.5,4674.25
1618524000,4674.5,4675.5,4672.5,4674.5
1618527600,4674.5,4676,4674.25,4674.5
1618531200,4674.5,4674.75,4667.75,4669
1618534800,4668.75,4670,4666.75,4669
1618538400,4668.75,4669.5,4666,4667.25
1618542000,4667.5,4669.25,4666.75,4667.5
1618545600,4667.5,4670.75,4667,4670.75
1618549200,4670.5,4672,4668.25,4670.75
1618552800,4670.75,4670.75,4666.75,4667.75
1618556400,4668,4674.5,4666,4670.5
1618560000,4670.5,4672.5,4668.5,4672.25
1618563600,4672.25,4679.5,4671.25,4677.25
1618567200,4677,4678,4675.75,4676.75
1618570800,4676.5,4681.25,4676,4681
1618574400,4681,4685.25,4680.5,4684.75
1618578000,4685,4690.25,4675.25,4677.25
1618581600,4677.25,4686.25,4673.5,4682.5
1618585200,4682.25,4686.5,4678.25,4680.5
1618588800,4680.5,4685.25,4680.25,4682.5
1618592400,4682.5,4684.25,4680.75,4681.25
1618596000,4681.25,4691.25,4680.25,4690.75
1618599600,4690.5,4695.25,4686.75,4689
1618603200,4689,4689.75,4683.5,4684
1618783200,4676.75,4680.25,4674.75,4679.75
1618786800,4680,4680.5,4676,4676.25
1618790400,4676.25,4678.5,4672.5,4677.75
1618794000,4677.75,4680.25,4674.5,4679.25
1618797600,4679,4682,4678.5,4681
1618801200,4681,4683.5,4680.75,4681.75
1618804800,4681.75,4684,4681,4682.25
1618808400,4682.25,4683.75,4680,4682
1618812000,4682,4682.25,4677.75,4680
1618815600,4680,4684.5,4679.75,4683
1618819200,4683,4686.5,4683,4684
1618822800,4683.75,4684.25,4679,4681.25
1618826400,4681,4682.75,4675,4678.75
1618830000,4678.75,4680.75,4676.5,4677.25
1618833600,4677.5,4680.75,4675.75,4680.25
1618837200,4680,4683.25,4675.5,4682
1618840800,4682,4682.5,4659.5,4669.25
1618844400,4669.25,4673,4658,4664.25
1618848000,4664,4668.5,4653.5,4658
1618851600,4658,4666.75,4656.25,4662.5
1618855200,4662.5,4666.75,4659.5,4666.5
1618858800,4666.5,4670.25,4657.25,4669
1618862400,4669,4670.75,4667.25,4668.25
1618869600,4668,4671.75,4667.25,4671
1618873200,4671.25,4674.25,4668.75,4673.75
1618876800,4673.5,4675.5,4671.75,4672.5
1618880400,4672.5,4676.75,4671.75,4675.5
1618884000,4675.5,4676.5,4673.75,4675
1618887600,4675.25,4678.25,4674.75,4676
1618891200,4676,4676,4673.75,4675.5
1618894800,4675.25,4678,4675,4677.75
1618898400,4677.75,4679,4672,4672.75
1618902000,4672.5,4677.25,4672.25,4672.25
1618905600,4672.5,4673.25,4665.25,4666.75
1618909200,4666.75,4667.25,4648.25,4652
1618912800,4652,4653.5,4642.75,4651.25
1618916400,4651.5,4653.25,4647.75,4652
1618920000,4652,4653.5,4648.75,4652
1618923600,4652,4662.75,4651.75,4659.5
1618927200,4659.25,4661.75,4633.75,4639.5
1618930800,4639.25,4641.25,4622.25,4630.75
1618934400,4630.5,4640.25,4629,4636.25
1618938000,4636.25,4636.5,4628,4635.25
1618941600,4635,4637.25,4622.5,4624.5
1618945200,4624.5,4642.75,4624.5,4638.25
1618948800,4638.5,4639.75,4631.25,4632
1618956000,4633,4636.75,4632.5,4635.75
1618959600,4635.75,4636,4631.75,4634.25
1618963200,4634.25,4637,4631.25,4635
1618966800,4634.75,4635.5,4629.25,4629.5
1618970400,4629.75,4629.75,4624.75,4628.5
1618974000,4628.75,4631.5,4627,4631
1618977600,4631,4632.75,4629,4631.25
1618981200,4631.5,4632.25,4626.75,4631
1618984800,4631,4639.75,4629.75,4638.75
1618988400,4638.5,4641.75,4636.75,4641.5
1618992000,4641.25,4641.75,4636,4637.25
1618995600,4637.25,4640,4633.25,4636.5
1618999200,4636.75,4643.75,4634.25,4643.75
1619002800,4644,4644,4636,4637
1619006400,4637,4637.5,4626.5,4630.5
1619010000,4630.5,4650.25,4629,4650
1619013600,4650.25,4657,4645.75,4653.5
1619017200,4653.75,4665.25,4651.75,4664.75
1619020800,4665,4665.25,4659.5,4660.75
1619024400,4660.75,4665.25,4660.25,4665
1619028000,4665,4668.5,4663.5,4665.5
1619031600,4665.25,4679,4664,4676.5
1619035200,4676.75,4676.75,4668.25,4668.5
1619042400,4669.25,4670.5,4666.5,4667.75
1619046000,4667.5,4669.75,4666,4666.5
1619049600,4666.5,4669.25,4665.25,4667.5
1619053200,4667.25,4672,4665.75,4667.25
1619056800,4667.5,4674.25,4667,4671.75
1619060400,4671.5,4673.5,4669.75,4671
1619064000,4671,4673.5,4669.5,4673.5
1619067600,4673.5,4675.5,4671,4675.25
1619071200,4675.25,4678.75,4673.5,4673.75
1619074800,4673.75,4677,4672,4672.5
1619078400,4672.5,4676.75,4671.5,4672
1619082000,4672.25,4675.25,4671,4675
1619085600,4674.75,4675.5,4670,4671.75
1619089200,4671.5,4673.5,4670.25,4671.5
1619092800,4671.25,4677.75,4670.75,4674.25
1619096400,4674.25,4677.75,4662.75,4668.5
1619100000,4668.25,4677.5,4661,4674.25
1619103600,4674.25,4680.25,4672.75,4676.5
1619107200,4676.75,4683.25,4673.25,4683
1619110800,4683.25,4683.5,4630.5,4633.75
1619114400,4633.75,4650.25,4627,4645.75
1619118000,4645.75,4650.25,4633.25,4639
1619121600,4639,4642,4635.75,4641.75
1619128800,4640.75,4644.25,4640.25,4643.5
1619132400,4643.5,4644.25,4639.75,4641.5
1619136000,4641.75,4645.5,4639.75,4644.75
1619139600,4644.5,4648.75,4643.25,4647.25
1619143200,4647.25,4648.75,4645,4646.75
1619146800,4647,4649.5,4646.75,4647.75
1619150400,4647.75,4648.75,4645.5,4647
1619154000,4647,4648.25,4643.75,4647.25
1619157600,4647.25,4648,4639.25,4642.25
1619161200,4642.25,4653.25,4642,4652.25
1619164800,4652.5,4652.75,4647.75,4650
1619168400,4650,4650.25,4646.5,4648
1619172000,4648,4651,4647,4649.5
1619175600,4649.5,4650.75,4645.5,4646.5
1619179200,4646.5,4648.75,4641,4643
1619182800,4642.75,4657.75,4642.25,4657.5
1619186400,4657.5,4676.25,4656.5,4675.5
1619190000,4675.75,4680.75,4672,4678.5
1619193600,4678.5,4688.75,4678.25,4687
1619197200,4687,4689.75,4684.75,4686
1619200800,4686,4691.5,4683.5,4689.5
1619204400,4689.5,4698.5,4682.25,4682.5
1619208000,4682.75,4684.25,4677,4677.75
1619388000,4682.5,4684.5,4679.75,4682
1619391600,4682,4683,4677.75,4678.5
1619395200,4678.5,4683.25,4676.25,4681.75
1619398800,4681.75,4686,4679.25,4684.75
1619402400,4685,4687.5,4684.5,4686.5
1619406000,4686.5,4687.5,4685.5,4686.25
1619409600,4686,4687.75,4685.75,4687.25
1619413200,4687.25,4687.5,4683.75,4684.25
1619416800,4684.25,4685.75,4683.25,4684.75
1619420400,4684.75,4687,4682,4683
1619424000,4682.75,4684,4677,4678.5
1619427600,4678.5,4681.25,4677.75,4678.75
1619431200,4678.5,4680.25,4675.5,4677.75
1619434800,4677.75,4683,4676.5,4682.75
1619438400,4682.5,4685.75,4681.75,4683.75
1619442000,4684,4695.25,4683.75,4692.5
1619445600,4692.5,4697.25,4691.25,4693
1619449200,4693.25,4697,4691.75,4692.25
1619452800,4692.5,4693.75,4688.5,4691.5
1619456400,4691.5,4693,4688.5,4692.75
1619460000,4692.75,4696.75,4692.5,4696.25
1619463600,4696.5,4697.75,4685,4692
1619467200,4692.25,4695,4688.5,4693
1619474400,4693.25,4694.25,4691.25,4692.25
1619478000,4692.25,4696.5,4691.25,4695
1619481600,4695,4695,4690.5,4693
1619485200,4692.75,4694.5,4691.25,4694.25
1619488800,4694.25,4695,4692,4692.75
1619492400,4692.75,4695,4691.75,4693.75
1619496000,4694,4695,4693.75,4694.75
1619499600,4694.75,4704.25,4694.5,4700.5
1619503200,4700.75,4701.25,4695.75,4697.75
1619506800,4697.5,4698,4695.25,4696.75
1619510400,4696.75,4698.5,4693.75,4696.5
1619514000,4696.5,4697,4688,4690.5
1619517600,4690.25,4695.75,4689.75,4695.75
1619521200,4695.75,4696.75,4693.5,4695
1619524800,4694.75,4697.25,4693,4693.25
1619528400,4693.25,4695.5,4683,4684
1619532000,4683.75,4689,4678.5,4687
1619535600,4687.25,4692,4685,4690.75
1619539200,4691,4692.75,4685.25,4686.5
1619542800,4686.5,4691,4686,4689.75
1619546400,4689.5,4693.5,4686.25,4691.5
1619550000,4691.75,4697,4687.75,4690.75
1619553600,4690.5,4695.25,4689.75,4692
1619560800,4692,4694.25,4691.75,4693.25
1619564400,4693.25,4695.25,4691.75,4692
1619568000,4692,4693.75,4690.25,4691.75
1619571600,4691.75,4696,4690.75,4695.75
1619575200,4695.75,4696.75,4694.75,4695.25
1619578800,4695.5,4696.5,4695,4696.25
1619582400,4696.25,4696.75,4695.5,4696
1619586000,4695.75,4697,4694.25,4694.75
1619589600,4694.75,4696.75,4694,4696.25
1619593200,4696,4697.5,4688.5,4691.5
1619596800,4691.5,4694.5,4689.5,4694
1619600400,4694,4695.5,4691,4694
1619604000,4694,4696,4692.25,4694
1619607600,4694,4696.5,4687.5,4690.25
1619611200,4690.25,4692.5,4689.5,4692.5
1619614800,4692.5,4699.5,4688.5,4699.25
1619618400,4699.25,4700,4692.75,4695.75
1619622000,4696,4696.5,4687.75,4688.25
1619625600,4688.5,4694.25,4686.75,4693.5
1619629200,4693.25,4693.75,4687.75,4688.75
1619632800,4688.5,4705.5,4684.5,4698.5
1619636400,4698.75,4701,4686,4689.75
1619640000,4689.5,4699.75,4689,4696.5
1619647200,4696.5,4698.75,4695.25,4698.5
1619650800,4698.25,4701,4697.25,4700.25
1619654400,4700.25,4706.25,4699.5,4705
1619658000,4705,4715,4704,4713
1619661600,4713.25,4713.25,4711,4711.75
1619665200,4711.75,4712,4709.75,4710.5
1619668800,4710.5,4713.5,4710.25,4710.25
1619672400,4710.5,4712.5,4709.75,4711.5
1619676000,4711.5,4713,4709.75,4713
1619679600,4713,4714.5,4710.5,4713.75
1619683200,4713.75,4718.75,4713.75,4715.25
1619686800,4715.25,4716.25,4713.5,4715.25
1619690400,4715.25,4719.5,4714.75,4716.5
1619694000,4716.5,4718.75,4715,4715.5
1619697600,4715.75,4720.25,4714.75,4719.75
1619701200,4719.75,4722.75,4710.25,4711
1619704800,4711.25,4711.25,4690.75,4697.75
1619708400,4698,4704,4689.25,4690.75
1619712000,4690.75,4698,4679.75,4696.5
1619715600,4696.5,4703.75,4693.25,4701.75
