time,open,high,low,close
1734303600,6180.25,6180.5,6176.25,6177
1734303900,6177.25,6181.75,6177.25,6180.75
1734304200,6181,6181.25,6178,6178.75
1734304500,6178.75,6179,6177.75,6178.5
1734304800,6178.75,6181.5,6178.5,6181.25
1734305100,6181.5,6182.25,6181,6181.5
1734305400,6181.25,6182.5,6181.25,6182.25
1734305700,6182,6183.25,6182,6182.75
1734306000,6183,6183.25,6182.5,6182.75
1734306300,6182.75,6183.5,6182.5,6182.75
1734306600,6182.75,6183.5,6181.75,6182
1734306900,6182,6182.25,6180.75,6181.5
1734307200,6181.75,6183.25,6181.5,6182
1734307500,6182,6183.5,6181.75,6183
1734307800,6183.25,6183.5,6182.75,6182.75
1734308100,6182.75,6183.5,6182.75,6183.5
1734308400,6183.5,6185.25,6183,6185
1734308700,6185,6185,6183,6184.5
1734309000,6184.25,6184.5,6182.75,6183.25
1734309300,6183.25,6184.25,6183.25,6184
1734309600,6184,6184,6183,6183.25
1734309900,6183.25,6184.25,6183.25,6184.25
1734310200,6184.25,6185,6182.5,6184.75
1734310500,6184.75,6184.75,6183.5,6183.75
1734310800,6183.5,6185,6183.25,6185
1734311100,6184.75,6185.25,6184.25,6184.25
1734311400,6184.25,6185,6183.75,6184
1734311700,6184,6184,6182.25,6182.25
1734312000,6182.5,6183,6182.25,6183
1734312300,6183,6184.25,6183,6183.25
1734312600,6183.5,6184.5,6183.5,6184.25
1734312900,6184.25,6184.5,6182.25,6183
1734313200,6182.75,6183.75,6182.5,6183.25
1734313500,6183,6183.25,6182.5,6183.25
1734313800,6183.25,6183.75,6183,6183.75
1734314100,6183.75,6185.75,6183.75,6185.75
1734314400,6185.75,6185.75,6184.5,6185.75
1734314700,6185.75,6186,6184.75,6185.25
1734315000,6185.5,6187,6185.25,6186.75
1734315300,6186.75,6187,6185.75,6186
1734315600,6186,6187.5,6186,6187.25
1734315900,6187.25,6187.25,6186,6186.5
1734316200,6186.5,6187.25,6186.25,6187
1734316500,6187,6187,6186,6186.25
1734316800,6186.5,6187.25,6186.5,6187.25
1734317100,6187,6187.25,6186.75,6186.75
1734317400,6186.75,6187.5,6186.5,6187.25
1734317700,6187.25,6187.25,6186,6186.5
1734318000,6186.5,6186.5,6186,6186.5
1734318300,6186.5,6186.75,6186.25,6186.5
1734318600,6186.5,6186.5,6185.75,6186.25
1734318900,6186.25,6186.25,6185.75,6186
1734319200,6185.75,6186.25,6185.5,6186
1734319500,6186,6186.75,6185.5,6186.5
1734319800,6186.75,6186.75,6185.5,6186
1734320100,6186.25,6187,6186,6186.5
1734320400,6186.5,6186.5,6185,6185
1734320700,6185.25,6185.5,6184.75,6185.25
1734321000,6185,6185.25,6184,6184.25
1734321300,6184,6184.5,6183.75,6184.25
1734321600,6184.25,6185,6184.25,6185
1734321900,6185,6185.25,6184.5,6184.5
