time,open,high,low,close
1710712800,5436,5436.75,5432.75,5435
1710713100,5435,5439.5,5434.25,5438.75
1710713400,5438.5,5440.25,5438.25,5439.75
1710713700,5439.75,5440.25,5439,5439.5
1710714000,5439.25,5441.75,5439,5441.5
1710714300,5441.5,5441.5,5440.25,5441
1710714600,5441,5441.25,5439.25,5439.75
1710714900,5439.75,5440.5,5438.5,5440.25
1710715200,5440.25,5440.5,5439,5439
1710715500,5439.25,5440.25,5439.25,5439.75
1710715800,5439.75,5439.75,5437,5437.5
1710716100,5437.5,5437.5,5435.5,5435.5
1710716400,5435.75,5436.75,5434.25,5434.5
1710716700,5434.75,5436,5433.75,5434.25
1710717000,5434.5,5434.75,5433.25,5433.75
1710717300,5434,5435.75,5434,5435.5
1710717600,5435.5,5435.75,5435,5435.5
1710717900,5435.5,5436.5,5435.25,5435.5
1710718200,5435.5,5437,5435.5,5436
1710718500,5436,5437.25,5436,5436.5
1710718800,5436.25,5436.25,5435.25,5435.75
1710719100,5435.75,5436.75,5435.25,5436.75
1710719400,5436.5,5437.5,5435.75,5435.75
1710719700,5435.75,5436.25,5435.75,5436
1710720000,5436,5436.25,5434.25,5434.25
1710720300,5434.25,5434.25,5432,5432.75
1710720600,5432.75,5435.25,5432.75,5435.25
1710720900,5435.25,5435.25,5434.5,5435
1710721200,5435,5435.25,5433.5,5433.5
1710721500,5433.75,5435.5,5433.5,5434.25
1710721800,5434.5,5435,5433.5,5434.5
1710722100,5434.75,5435,5434.25,5434.5
1710722400,5434.5,5436,5434.5,5435.75
1710722700,5436,5436.5,5435,5436.25
1710723000,5436.25,5436.5,5435.75,5435.75
1710723300,5435.75,5437.25,5435.75,5436.5
1710723600,5436.5,5437.25,5436.25,5436.25
1710723900,5436.5,5438.25,5436.5,5437.5
1710724200,5437.5,5439,5437.5,5438.5
1710724500,5438.5,5438.5,5436.75,5436.75
1710724800,5436.75,5437.25,5435.75,5437
1710725100,5437.25,5437.75,5436,5436.75
1710725400,5437,5438.5,5437,5438
1710725700,5438.25,5439.5,5438,5439
1710726000,5438.75,5439.5,5438.75,5438.75
1710726300,5438.75,5439.75,5438.75,5439.75
1710726600,5439.5,5440.5,5439,5440.25
1710726900,5440.25,5441.25,5440,5440.5
1710727200,5440.5,5441.25,5440.25,5440.25
1710727500,5440.25,5440.75,5439.75,5440.5
1710727800,5440.5,5441.5,5440,5440.75
1710728100,5440.75,5441,5440,5440
1710728400,5440.25,5442,5440.25,5441.75
1710728700,5441.75,5442.25,5441.25,5442
1710729000,5441.75,5442.25,5440.75,5442
1710729300,5442,5442.75,5441.75,5442.25
1710729600,5442.25,5442.5,5442,5442.25
1710729900,5442.5,5443.25,5442.5,5442.75
1710730200,5443,5443.5,5442.25,5442.5
1710730500,5442.5,5443,5442.5,5442.5
1710730800,5442.75,5444,5442.75,5443.5
1710731100,5443.5,5444.25,5443.25,5444
1710731400,5444.25,5445,5443.75,5444.25
1710731700,5444.5,5444.5,5443.75,5443.75
1710732000,5443.75,5444.5,5443.75,5444.25
1710732300,5444,5445,5444,5444.5
1710732600,5444.25,5444.75,5443.25,5443.75
1710732900,5443.5,5444.5,5443.5,5443.5
1710733200,5443.5,5443.75,5442.25,5442.75
1710733500,5442.75,5443.75,5442.75,5443.5
1710733800,5443.5,5443.75,5443,5443.25
1710734100,5443.25,5444.25,5443,5444.25
1710734400,5444,5444.25,5443.5,5444
1710734700,5444.25,5444.75,5444,5444.75
1710735000,5444.75,5445.75,5444.5,5445.75
1710735300,5445.75,5446,5445,5445.25
1710735600,5445.25,5445.5,5444.75,5445.25
1710735900,5445.25,5445.5,5445,5445.25
1710736200,5445.25,5446.5,5445.25,5446
1710736500,5446,5446.5,5445.75,5446
1710736800,5446,5446.75,5446,5446.25
1710737100,5446.25,5446.5,5445.5,5445.5
1710737400,5445.5,5446.25,5445.5,5445.75
1710737700,5445.75,5446,5445.75,5445.75
1710738000,5446,5446.25,5445.5,5446
1710738300,5446.25,5447,5446,5446.25
1710738600,5446.5,5446.75,5446,5446.5
1710738900,5446.5,5447,5446,5446
1710739200,5446.25,5446.5,5445.5,5446.25
1710739500,5446.25,5447.25,5446,5447.25
1710739800,5447,5447.75,5447,5447.25
1710740100,5447.25,5447.5,5447,5447.5
1710740400,5447.75,5448.25,5447.25,5447.5
1710740700,5447.5,5448.25,5447.5,5448
1710741000,5448.25,5448.25,5448,5448.25
1710741300,5448.25,5448.5,5447.75,5447.75
1710741600,5448,5448.5,5447.5,5448.25
1710741900,5448.25,5449.5,5448.25,5449.25
1710742200,5449.25,5449.5,5448.75,5449.25
1710742500,5449.25,5449.5,5448.25,5448.25
1710742800,5448.5,5449.25,5448,5448
1710743100,5448.25,5448.25,5447.25,5447.5
1710743400,5447.5,5448.5,5447.5,5448.25
1710743700,5448.25,5448.5,5447.5,5447.5
1710744000,5447.5,5448,5447.25,5447.75
1710744300,5447.75,5449,5447.5,5448.75
1710744600,5448.75,5449,5447.5,5447.75
1710744900,5447.75,5448,5447.25,5447.5
1710745200,5447.5,5448.5,5447,5448.25
1710745500,5448.5,5448.5,5446.25,5446.75
1710745800,5446.75,5447.25,5446.25,5446.75
1710746100,5447,5447.5,5446,5446.25
1710746400,5446.5,5448.5,5446.25,5447.5
1710746700,5447.5,5448,5445.25,5445.25
1710747000,5445.25,5446.75,5444.75,5446.5
1710747300,5446.5,5447.5,5446.5,5447
1710747600,5447,5449,5446.75,5447.5
1710747900,5447.75,5448.75,5446.5,5446.5
1710748200,5446.5,5447.25,5445.25,5446
1710748500,5445.75,5446,5444,5444.5
1710748800,5444.5,5448.5,5444,5447.75
1710749100,5447.5,5448,5445.75,5447.25
1710749400,5447,5448.25,5447,5447.25
1710749700,5447.5,5448,5445.25,5445.5
1710750000,5445.75,5446.75,5444.25,5445.75
1710750300,5445.75,5446.5,5443.25,5443.25
1710750600,5443.25,5444.5,5442.25,5443.5
1710750900,5443.5,5444.75,5443.25,5444.25
1710751200,5444,5446.25,5444,5446.25
1710751500,5446,5448.25,5445.5,5448
1710751800,5448,5450.5,5447.5,5450.5
1710752100,5450.25,5452.5,5450,5452.25
1710752400,5452,5453.75,5451.5,5453.25
1710752700,5453,5453.5,5451.25,5451.5
1710753000,5451.75,5452,5450.25,5450.5
1710753300,5450.5,5450.5,5448.5,5448.5
1710753600,5448.5,5449.75,5447.5,5449.5
1710753900,5449.5,5450.25,5449.5,5450
1710754200,5450.25,5450.5,5449.25,5449.5
1710754500,5449.5,5450.75,5448.5,5450.25
1710754800,5450.5,5452,5450,5451.25
1710755100,5451.25,5451.5,5450.5,5450.75
1710755400,5450.75,5451.5,5449.5,5450.25
1710755700,5450,5451.5,5450,5450.25
1710756000,5450.5,5451,5450,5450.5
1710756300,5450.75,5450.75,5449.5,5449.5
1710756600,5449.75,5451.25,5448.75,5451.25
1710756900,5451,5452,5449.75,5449.75
1710757200,5449.75,5451.25,5449.75,5451.25
1710757500,5451.5,5451.5,5450.25,5451.5
