time,open,high,low,close
1735513200,6080.25,6087.75,6079,6083.5
1735513500,6083.5,6083.75,6079.75,6081
1735513800,6081.25,6081.75,6075.5,6076.5
1735514100,6076.5,6079.25,6076.25,6079.25
1735514400,6079.25,6080,6077,6077
1735514700,6076.75,6078,6074.75,6076.5
1735515000,6076.5,6076.75,6071.5,6073
1735515300,6073,6073.25,6069,6069
1735515600,6069.5,6071.5,6069.25,6071.25
1735515900,6071.25,6074.75,6071.25,6073
1735516200,6073,6075.75,6071.75,6074.5
1735516500,6074.75,6076.5,6074.25,6076.25
1735516800,6076.25,6076.5,6069.75,6072.5
1735517100,6072.25,6074.75,6071,6074
1735517400,6073.75,6074.75,6072.5,6073.75
1735517700,6073.75,6074.75,6072,6073.75
1735518000,6073.75,6076.5,6073.5,6076
1735518300,6075.75,6078,6074.75,6077.5
1735518600,6077.25,6078,6076,6076.5
1735518900,6076.5,6076.5,6074,6074.5
1735519200,6074.75,6076.75,6073,6075.75
1735519500,6076,6078.75,6076,6078.25
1735519800,6078.25,6078.5,6076.5,6077
1735520100,6077,6077,6075.5,6076
1735520400,6075.75,6076.25,6073.25,6073.25
1735520700,6073.5,6075,6072,6072.75
1735521000,6072.5,6074,6070.75,6070.75
1735521300,6070.75,6074.25,6070.75,6074.25
1735521600,6074,6074.75,6072.5,6074.5
1735521900,6074.5,6076.25,6074.25,6074.5
1735522200,6074.75,6075.75,6074.25,6074.25
1735522500,6074.25,6074.75,6073,6073.75
1735522800,6073.5,6075.5,6073.5,6075.25
1735523100,6075.25,6076,6074.75,6075.5
1735523400,6075.5,6078.25,6075.25,6077.5
1735523700,6077.25,6077.5,6076.5,6077
1735524000,6076.75,6076.75,6074,6074.25
1735524300,6074.25,6076,6074.25,6075.5
1735524600,6075.5,6076.25,6073.75,6074
1735524900,6074.25,6074.5,6072.5,6073
1735525200,6072.75,6073.5,6072.75,6073.25
1735525500,6073,6073.5,6071,6072.25
1735525800,6072,6073.5,6071.75,6072.5
1735526100,6072.5,6073.75,6072.5,6073
1735526400,6072.75,6074,6072.75,6073
1735526700,6073.25,6073.75,6071.5,6071.75
1735527000,6071.75,6072.25,6071,6071
1735527300,6071.25,6072.25,6071,6072
1735527600,6072,6072,6069.25,6069.75
1735527900,6069.5,6070.75,6069.5,6070.5
1735528200,6070.75,6070.75,6069,6069.25
1735528500,6069.25,6071,6069,6070.5
1735528800,6070.5,6071.25,6069.75,6070.5
1735529100,6070.5,6070.5,6070,6070.25
1735529400,6070.25,6071.25,6070.25,6070.75
1735529700,6071,6072,6070.75,6071
1735530000,6071,6072,6071,6071.75
1735530300,6071.75,6071.75,6070.5,6070.75
1735530600,6070.75,6071,6067.25,6068.5
1735530900,6068.5,6069,6067.25,6068.75
1735531200,6068.75,6070.25,6068.75,6070
1735531500,6070,6070.75,6069.75,6070.5
1735531800,6070.75,6070.75,6068.75,6069.25
1735532100,6069,6069.5,6066.75,6068
1735532400,6068,6069.25,6067.5,6067.5
1735532700,6067.75,6068,6067.25,6067.25
1735533000,6067.5,6069.5,6067.25,6069.5
1735533300,6069.75,6069.75,6069,6069.5
1735533600,6069.5,6070.5,6069.25,6070.25
1735533900,6070.5,6071.25,6070.5,6071
1735534200,6071,6071.25,6069,6069.75
