time,open,high,low,close
1656558000,4358.75,4359.5,4357.5,4359.25
1656558300,4359,4360.25,4357.25,4358.75
1656558600,4359,4359.5,4357.75,4358.5
1656558900,4358.25,4359.75,4357,4358.25
1656559200,4358.25,4359,4357.75,4358.75
1656559500,4359,4359,4358,4358.75
1656559800,4358.5,4358.75,4356.25,4357
1656560100,4356.75,4357.25,4355.25,4355.75
1656560400,4355.75,4356.75,4355,4355.75
1656560700,4355.5,4356,4352.25,4353.25
1656561000,4353,4354.25,4353,4353.75
1656561300,4353.75,4354.75,4353.25,4354
1656561600,4354.25,4355.25,4352.5,4353.5
1656561900,4354,4354.75,4353,4353.5
1656562200,4353.25,4355.25,4352.75,4354.5
1656562500,4354.75,4356,4354.25,4356
1656562800,4356,4356,4354,4355.25
1656563100,4355.25,4355.75,4354.5,4354.5
1656563400,4354.75,4356,4353.25,4354.25
1656563700,4354.25,4354.5,4352,4352.75
1656564000,4353.25,4354.75,4352.75,4353.75
1656564300,4354,4354.25,4353,4353.25
1656564600,4353.25,4353.75,4352.25,4352.25
1656564900,4352.75,4353.25,4351.25,4352.75
1656565200,4352.5,4354,4350.5,4352.5
1656565500,4352.75,4352.75,4350.75,4351.75
1656565800,4351.75,4352,4350.25,4351.75
1656566100,4351.75,4353.25,4350.25,4350.25
1656566400,4350,4350.5,4346.5,4346.5
1656566700,4346.5,4346.5,4335.25,4340.75
1656567000,4341,4341,4338.75,4339.5
1656567300,4339.25,4339.5,4336.25,4337.75
1656567600,4338,4338.25,4333.25,4334.5
1656567900,4334.25,4338.5,4334,4337
1656568200,4337,4338.25,4335.25,4335.5
1656568500,4335.75,4340.25,4335.5,4338.5
1656568800,4338.75,4341.25,4335,4335.25
1656569100,4335.5,4336,4330.25,4330.75
1656569400,4330.75,4334,4327.5,4333.25
1656569700,4333.25,4335,4332,4333
1656570000,4333,4333.5,4330,4331.75
1656570300,4332,4332.25,4325,4326.25
1656570600,4326,4326.75,4319,4319.75
1656570900,4319.75,4320.25,4312.75,4318.25
1656571200,4318.25,4320,4311.5,4314.5
1656571500,4314.5,4318,4313.5,4317.25
1656571800,4317.5,4320,4315.25,4317.5
1656572100,4317.5,4320.25,4316.75,4318.5
1656572400,4318.5,4321.75,4316,4316.5
1656572700,4316.5,4319.5,4313,4317.5
