time,open,high,low,close
1663538400,4414.75,4420.25,4412.5,4419.75
1663538700,4419.5,4420,4409.25,4411.75
1663539000,4412,4414.75,4411.75,4413
1663539300,4413,4415,4411.75,4414.25
1663539600,4414.25,4414.5,4412.25,4413
1663539900,4412.75,4414,4411.75,4413
1663540200,4413.25,4413.25,4411.5,4412.75
1663540500,4412.5,4413.75,4411.5,4413.5
1663540800,4413.5,4417,4413,4415
1663541100,4415.25,4420.25,4415,4420.25
1663541400,4420,4420.25,4418,4418.75
1663541700,4418.5,4419.5,4418,4419
1663542000,4418.5,4422.5,4417,4421.25
1663542300,4421.5,4421.75,4419.75,4420.25
1663542600,4420.25,4421.25,4419.75,4420.75
1663542900,4420.75,4421.25,4419.75,4419.75
1663543200,4419.75,4422,4419.5,4421.5
1663543500,4421.75,4423,4418,4419.25
1663543800,4419.25,4419.5,4416.75,4417
1663544100,4417,4419.25,4417,4417.25
1663544400,4417.5,4420.25,4417.25,4420
1663544700,4420.25,4421.5,4418.75,4419.25
1663545000,4419.25,4420,4417.75,4418.25
1663545300,4418.25,4419.5,4417.75,4418.75
1663545600,4419,4422.25,4418.5,4421.5
1663545900,4421.5,4422.75,4418.25,4419.25
1663546200,4419.25,4420.25,4418,4419.25
1663546500,4419,4421.25,4418.75,4420.75
1663546800,4420.75,4422.25,4419.5,4421
1663547100,4421,4424.25,4420.75,4422.75
1663547400,4422.75,4423.75,4421.25,4423.75
1663547700,4423.5,4424,4422.25,4422.25
1663548000,4422.25,4424.5,4421.25,4423.5
1663548300,4423.5,4424,4422.5,4422.75
1663548600,4422.5,4423.25,4420.75,4421.5
1663548900,4421.75,4422.5,4421,4421.5
1663549200,4421.25,4422.25,4420,4422.25
1663549500,4422.25,4423.75,4422,4423
1663549800,4423,4424,4422.25,4422.5
1663550100,4422.5,4423.25,4421.25,4421.5
1663550400,4421.5,4422.75,4419.25,4419.5
1663550700,4419.75,4420.75,4418.25,4420.25
1663551000,4420.5,4421,4417.75,4418
1663551300,4418.25,4418.75,4416.5,4417.5
1663551600,4417.75,4421.5,4417.75,4420.5
1663551900,4421,4422,4420.25,4422
1663552200,4421.75,4422.5,4421.25,4421.5
1663552500,4421.25,4422,4420.25,4421.75
1663552800,4421.75,4422,4420,4420.25
1663553100,4420.25,4420.25,4418.5,4418.75
1663553400,4418.75,4419.5,4414.5,4414.5
1663553700,4414.75,4415,4407.25,4408.25
1663554000,4408.5,4408.5,4406.25,4406.5
1663554300,4406.5,4407.25,4399,4403.25
1663554600,4403.25,4404,4399.75,4403.5
1663554900,4403.5,4405,4403.25,4403.75
1663555200,4404,4405.25,4403.25,4404.25
1663555500,4404.25,4406.5,4404.25,4406.5
1663555800,4406.5,4407.75,4406,4407
1663556100,4407,4407.75,4406,4407
1663556400,4407.25,4407.25,4404.75,4405.25
1663556700,4405.25,4405.75,4403.25,4404.75
1663557000,4405,4407.75,4405,4407
1663557300,4406.75,4408,4406.75,4407.75
1663557600,4408,4408,4406.75,4408
1663557900,4408,4409.5,4407.75,4408.5
1663558200,4408.5,4408.5,4405.75,4407.25
1663558500,4407.5,4408,4407,4407.5
1663558800,4407.5,4407.75,4405.75,4406
1663559100,4406.25,4407.75,4406,4407
1663559400,4407.25,4407.5,4406.25,4406.25
1663559700,4406.25,4407.5,4406,4407.25
1663560000,4407.25,4409,4407.25,4408.25
1663560300,4408.5,4408.5,4406.25,4406.25
1663560600,4406.25,4406.5,4404.25,4404.75
1663560900,4405,4407,4405,4406.75
1663561200,4406.5,4408.25,4406.5,4407.75
1663561500,4407.75,4408,4406.5,4407
1663561800,4407,4408.25,4407,4407.75
1663562100,4408,4408.75,4407.5,4407.75
1663562400,4407.75,4408,4407,4407.75
1663562700,4407.5,4408.25,4406.5,4407.5
1663563000,4407.5,4408.25,4406.75,4407.5
1663563300,4407.5,4408.5,4407.25,4408
1663563600,4408,4408,4406.25,4406.75
1663563900,4407,4408.5,4406.75,4407.75
1663564200,4407.5,4409,4406,4408.25
1663564500,4408.5,4410.25,4408,4409.5
1663564800,4409.25,4410.25,4408.5,4409.75
1663565100,4409.75,4409.75,4407.25,4407.5
1663565400,4407.5,4408.25,4406.5,4407.5
1663565700,4407.5,4407.75,4405.5,4406
1663566000,4406.25,4407.25,4404.75,4406.25
1663566300,4406.25,4407.25,4405.25,4406.25
1663566600,4406.25,4406.5,4404,4404.25
1663566900,4404.25,4405,4400.25,4400.5
1663567200,4400.5,4400.5,4396,4397.25
1663567500,4397.25,4397.75,4393.75,4395.5
1663567800,4395.5,4396,4390.5,4391.5
1663568100,4391.75,4397.5,4391.5,4397.25
1663568400,4397.25,4398.75,4396,4398.5
1663568700,4398.5,4400.5,4398.25,4398.5
1663569000,4398.5,4401,4396.75,4400.75
1663569300,4400.5,4401,4398.25,4399.25
1663569600,4399.25,4399.25,4396.25,4396.75
1663569900,4396.75,4398.25,4395.75,4398.25
1663570200,4398.25,4399.75,4397.75,4398.75
1663570500,4399,4399.75,4397.25,4399.75
1663570800,4399.5,4399.5,4391.5,4391.75
1663571100,4391.75,4392.25,4386,4389.75
1663571400,4390,4392.5,4389.75,4391
1663571700,4390.75,4394.25,4389,4393
1663572000,4393.25,4393.5,4388.75,4389.75
1663572300,4389.5,4389.5,4386.25,4388.5
1663572600,4388.75,4389.5,4386,4388
1663572900,4387.75,4390.75,4387.25,4389.75
1663573200,4390,4393,4389.5,4391
1663573500,4390.75,4393,4390.75,4391.5
1663573800,4391.75,4393.75,4388.5,4390.25
1663574100,4390.25,4390.75,4386,4386.5
1663574400,4386.75,4388.75,4383.5,4388.5
1663574700,4388.5,4392.75,4387.75,4391.25
1663575000,4391.25,4393.5,4391,4392.75
1663575300,4393,4393.75,4391.25,4391.5
1663575600,4391.25,4392,4390.5,4391.25
1663575900,4391.25,4394.75,4391.25,4392.75
1663576200,4392.75,4393.5,4391,4391.75
1663576500,4391.75,4392.25,4389.25,4389.25
1663576800,4389.25,4389.5,4388,4388.75
1663577100,4388.75,4388.75,4385.25,4387.25
1663577400,4387,4388.5,4385.5,4385.75
1663577700,4386,4386,4380.5,4381.75
1663578000,4381.75,4385,4381.5,4385
1663578300,4384.75,4386.75,4383,4385.25
1663578600,4385.25,4385.5,4383.25,4383.75
1663578900,4383.5,4384.5,4377.75,4378.75
1663579200,4378.75,4380.75,4378.25,4380.5
1663579500,4380.5,4382.25,4379.75,4380.5
1663579800,4380.5,4380.5,4376.25,4377.5
1663580100,4377.25,4379.25,4377.25,4378.75
1663580400,4379,4380.5,4375.5,4376.75
1663580700,4376.75,4378.25,4376.5,4377.25
1663581000,4377.5,4380.5,4377.5,4379
1663581300,4379.25,4381.25,4378.25,4379.5
1663581600,4379.5,4380.25,4375.75,4376
1663581900,4376,4376.5,4372,4373.75
1663582200,4373.75,4375.25,4372.75,4373
1663582500,4373,4374,4371.5,4374
1663582800,4373.75,4377.75,4373.75,4377
1663583100,4377,4378.25,4377,4377.75
1663583400,4378,4380,4376.75,4379.25
1663583700,4379.25,4380.75,4378,4378
1663584000,4378.25,4380.75,4378,4380.5
1663584300,4380.25,4382.75,4379.75,4382.75
1663584600,4382.75,4383,4380.5,4380.75
1663584900,4380.5,4383,4380.25,4382.75
1663585200,4382.75,4385.5,4382.5,4384
1663585500,4384,4388.25,4383.5,4385.5
1663585800,4385.5,4386.5,4383.75,4385.5
1663586100,4385.75,4387,4384.25,4384.5
1663586400,4384.25,4385.25,4380.25,4381.25
1663586700,4381,4382.75,4379.25,4379.5
1663587000,4379.5,4381.5,4379.5,4381.5
1663587300,4381.25,4384,4380.75,4383
1663587600,4383,4384,4380,4380.25
1663587900,4380.25,4382.25,4380,4380
1663588200,4380,4383,4379.75,4382.75
1663588500,4382.75,4382.75,4376.25,4376.75
1663588800,4377,4380.5,4376.25,4379.5
1663589100,4379.5,4384.75,4379.5,4384
1663589400,4383.75,4385.5,4381,4381.5
1663589700,4381.5,4381.75,4378,4378.75
1663590000,4379,4381,4378.25,4380.5
1663590300,4380.25,4383.75,4380.25,4382
1663590600,4382,4383.75,4380,4382
1663590900,4381.75,4387.25,4381,4387.25
1663591200,4387,4389,4385.25,4387.25
1663591500,4387.25,4390.25,4387,4390.25
1663591800,4390.25,4392.5,4388.75,4389.75
1663592100,4390,4391.25,4387.5,4388
1663592400,4388,4389.75,4386.5,4388.5
1663592700,4388.5,4390.25,4385.75,4387.25
1663593000,4387.5,4388.25,4386,4388.25
1663593300,4388,4389,4385.25,4385.25
1663593600,4385.25,4385.5,4381.5,4383
1663593900,4382.75,4383.25,4379,4379.25
1663594200,4379.25,4393.25,4378.5,4392.5
1663594500,4392.75,4393.75,4388.25,4392.25
1663594800,4392.5,4402.75,4392.25,4400.75
1663595100,4401,4405.25,4399,4402
1663595400,4402,4412,4401.25,4406.75
1663595700,4406.75,4409.5,4402.5,4405.5
1663596000,4405.75,4406,4397.25,4399
1663596300,4399,4406.75,4398.25,4402.25
1663596600,4402.25,4416.5,4401,4411.25
1663596900,4411.25,4413,4404.25,4405.25
1663597200,4405,4408.25,4401,4408.25
1663597500,4408.25,4414.75,4408,4414.5
1663597800,4414.25,4417,4409.25,4413.25
1663598100,4413.25,4422,4413.25,4421
1663598400,4421,4427.25,4420.25,4426
1663598700,4425.75,4429,4422.75,4423.25
1663599000,4423.25,4424,4417.75,4418
1663599300,4418,4421.75,4416.5,4419.25
1663599600,4419.5,4427,4417.5,4422.25
1663599900,4422.25,4425.25,4420.25,4422
1663600200,4421.75,4424.75,4417.75,4419.5
1663600500,4419.5,4428,4417.75,4421
1663600800,4420.75,4421.5,4413.25,4415.25
1663601100,4415,4416.5,4408.75,4409.25
1663601400,4409,4410,4404.25,4406.5
1663601700,4406.5,4406.5,4398.75,4401.25
1663602000,4401,4405,4399.75,4403.5
1663602300,4403.5,4408.5,4403.25,4407.5
1663602600,4407.25,4410,4404.5,4407.25
1663602900,4407.25,4408.5,4401.25,4402.25
1663603200,4402.25,4407.25,4401.75,4402
1663603500,4402,4407.25,4395.75,4405
1663603800,4405,4407.75,4404,4404.75
1663604100,4404.75,4409,4402.25,4405.5
1663604400,4405.5,4407,4402,4405
1663604700,4404.75,4406.25,4399.5,4402.5
1663605000,4402.75,4407.75,4401.75,4407.5
1663605300,4407.5,4415.5,4407.25,4413.25
1663605600,4413.5,4415,4409.5,4414.75
1663605900,4414.75,4415.25,4411.25,4412.25
1663606200,4412.5,4418.5,4412.25,4418.5
1663606500,4418.25,4420.75,4416.5,4418.5
1663606800,4418.75,4420,4415.75,4416.25
1663607100,4416.25,4418.25,4414,4416.75
1663607400,4417,4417.5,4410.5,4412
1663607700,4412,4413.25,4409,4413.25
1663608000,4413,4416.25,4410.75,4416.25
1663608300,4416,4418.25,4415,4418
1663608600,4418,4418.25,4410.25,4410.75
1663608900,4411,4412.75,4407.25,4411
1663609200,4411,4414,4410.25,4412.75
1663609500,4412.75,4417.75,4412,4414
1663609800,4414,4415.5,4410.75,4413
1663610100,4412.75,4415.25,4410,4411.75
1663610400,4411.75,4414,4408.75,4409.25
1663610700,4409,4412.5,4407,4411.75
1663611000,4411.5,4412.25,4407.25,4407.25
1663611300,4407.25,4414,4407.25,4410
1663611600,4410,4412.25,4404,4405.25
1663611900,4405,4410.5,4404.5,4409.25
1663612200,4409.25,4413,4409.25,4412.5
1663612500,4412.5,4416.75,4410,4415.5
1663612800,4415.75,4415.75,4410.5,4410.75
1663613100,4411,4411.75,4408,4409.5
1663613400,4409.25,4415.5,4408.75,4413.5
1663613700,4413.25,4416.75,4412.75,4416
1663614000,4416.25,4428,4416,4426.75
1663614300,4426.75,4428.5,4425,4427
1663614600,4427,4439.25,4425.5,4435
1663614900,4435.25,4437,4431.25,4432.5
1663615200,4432.5,4436,4430,4435.5
1663615500,4435.25,4441.25,4434.75,4437.5
1663615800,4437.5,4442.5,4437.5,4439.25
1663616100,4439,4443.25,4437.75,4440.5
1663616400,4440.5,4443.25,4439.25,4441
1663616700,4441,4443.25,4436.5,4438.5
1663617000,4438.75,4441.25,4432.5,4441
1663617300,4441,4444,4437.5,4444
1663617600,4443.75,4452.25,4442.25,4447
1663617900,4447,4448.25,4443.5,4444
1663618200,4444,4445.5,4443.25,4444.5
1663618500,4444.5,4445,4442.5,4443
1663618800,4443,4443.25,4441.75,4442.25
1663619100,4442.25,4444.75,4442,4444.75
1663619400,4444.75,4446.5,4444,4446.25
1663619700,4446.25,4448.5,4446.25,4448.5
1663620000,4448.5,4449.75,4447.75,4449.25
1663620300,4449.25,4449.25,4448.25,4449
1663620600,4448.75,4449.75,4448.75,4449.5
1663620900,4449.25,4449.75,4447.75,4448
1663624800,4448.25,4448.75,4446.75,4447.5
1663625100,4447.75,4448,4446.75,4448
