time,open,high,low,close
1617573600,15504,15515,15469.25,15487
1617577200,15486.25,15521,15480.75,15516.5
1617580800,15516.5,15517,15496.25,15507.25
1617584400,15507,15511,15502,15506.75
1617588000,15506.5,15512,15483,15485.5
1617591600,15485.5,15494.75,15485.5,15492
1617595200,15491.75,15500,15485.75,15487.25
1617598800,15487.5,15499.75,15487.5,15492
1617602400,15492.75,15497.5,15477,15491.25
1617606000,15490.25,15491.5,15476.25,15487
1617609600,15486.5,15531.25,15486.5,15525.75
1617613200,15525.75,15549.25,15516,15542.5
1617616800,15543,15550.25,15524,15527
1617620400,15527,15549.75,15526.5,15548.5
1617624000,15549,15598.25,15532.5,15588.5
1617627600,15589.25,15650.5,15574.25,15640.75
1617631200,15641,15703.25,15622,15680.5
1617634800,15680.75,15722.75,15671.75,15706
1617638400,15705.75,15745,15705.5,15734
1617642000,15735,15765,15732,15763.75
1617645600,15763.75,15780,15757.25,15762.5
1617649200,15762.5,15769.5,15729,15746.75
1617652800,15747.25,15768,15739,15765.5
1617660000,15768.75,15785.5,15759.5,15779.25
1617663600,15779.25,15787.25,15776,15781.25
1617667200,15781,15786.75,15763.25,15769
1617670800,15768.75,15775,15741.25,15745
1617674400,15744.75,15753.75,15739.5,15751.5
1617678000,15752.5,15753.75,15732,15740
1617681600,15739.75,15751.25,15736.75,15743.25
1617685200,15743.5,15751.75,15736,15749
1617688800,15748.5,15761,15725.75,15734.5
1617692400,15734.25,15735,15689.25,15704.5
1617696000,15705,15733.25,15690,15717.25
1617699600,15716,15723,15705.25,15716.25
1617703200,15716.25,15726,15700,15712
1617706800,15712.75,15742,15705.25,15740.25
1617710400,15739.5,15770.75,15737.75,15751.5
1617714000,15751.5,15762.75,15703.75,15761.75
1617717600,15761.75,15783.75,15728.75,15771.5
1617721200,15771.25,15820,15758.25,15816.25
1617724800,15816.25,15817.75,15776,15780.5
1617728400,15780.25,15783.5,15711,15758
1617732000,15758,15782,15749.5,15771
1617735600,15770.75,15777.25,15710.25,15736.5
1617739200,15737,15749.5,15735.25,15748.25
1617746400,15745.5,15761.25,15740.5,15755.25
1617750000,15755.5,15763,15755,15759.75
1617753600,15759,15762.75,15743.25,15755.75
1617757200,15755.75,15758.75,15718.75,15722.25
1617760800,15722,15737,15713.5,15717.5
1617764400,15718,15728.25,15714.75,15726.25
1617768000,15726.5,15729.75,15723.5,15725.25
1617771600,15725,15734.75,15718.5,15733.25
1617775200,15733.25,15762.75,15733,15760
1617778800,15761.25,15772.75,15748,15763.75
1617782400,15764,15764.75,15740.25,15742.25
1617786000,15742.25,15754.25,15723,15739
1617789600,15739.25,15760.75,15736,15739.75
1617793200,15739.5,15746,15725,15727.5
1617796800,15728,15736.25,15695.25,15696
1617800400,15696,15749.5,15677.5,15741
1617804000,15740.75,15785.5,15731.25,15766.5
1617807600,15766.5,15796,15728.5,15764
1617811200,15763.75,15775,15725.75,15740.25
1617814800,15740,15766.5,15729.5,15761.25
1617818400,15761.5,15806,15759,15781.75
