time,open,high,low,close
1744311600,18538.25,18657.75,18493.25,18626.25
1744311900,18624.75,18650,18456.5,18460
1744312200,18462,18512.75,18429.25,18488.5
1744312500,18486.75,18554.25,18438,18543.75
1744312800,18543.5,18605.5,18467.5,18504
1744313100,18503.25,18562.75,18382.25,18386.5
1744313400,18385.25,18509.25,18371.5,18452.5
1744313700,18454,18477.25,18370.5,18375.5
1744314000,18376.75,18403.75,18240.75,18265.25
1744314300,18264.5,18352,18241.25,18289.75
1744314600,18289.5,18530,18276,18518.25
1744314900,18516.5,18555.5,18396.75,18483
1744315200,18482.75,18573.75,18442.25,18537.75
1744315500,18536.75,18556,18502.75,18544
1744315800,18544,18569.5,18522,18556.25
1744316100,18555,18557,18497,18512.5
1744316400,18510.25,18510.25,18480,18483
1744316700,18484.25,18488.5,18468.25,18469.5
1744317000,18469,18485.75,18464.25,18476.25
1744317300,18474.75,18482.75,18437.25,18460.25
1744317600,18461.75,18464.5,18437,18443.75
1744317900,18443.5,18470.5,18439.5,18470.5
1744318200,18471.5,18499.5,18469.25,18497
1744318500,18496.5,18502.5,18483,18501.5
1744322400,18464.75,18529.25,18464.75,18523.75
1744322700,18523.75,18543.75,18520.25,18538
1744323000,18537.75,18554,18528,18534
1744323300,18536.75,18546.75,18516,18518.75
1744323600,18519.75,18526,18510.75,18520
1744323900,18519.5,18533.25,18507.75,18517
1744324200,18517.75,18562,18517.75,18546.25
1744324500,18547.25,18573.25,18537.75,18573.25
1744324800,18573.25,18585,18568.75,18580
1744325100,18579.5,18597.75,18554.5,18556.25
1744325400,18556,18556.75,18537.75,18549.25
1744325700,18548,18553,18521.75,18525
1744326000,18527.25,18527.25,18482.25,18503.5
1744326300,18507.25,18536,18504.75,18512
1744326600,18512.25,18516,18447,18452.25
1744326900,18459.25,18459.25,18438,18453.25
1744327200,18449.75,18467.75,18378.25,18385
1744327500,18385,18437,18385,18409.25
1744327800,18407.25,18433.25,18388.25,18424.75
1744328100,18423.5,18427.5,18389.75,18396.25
1744328400,18393.75,18417,18391.5,18413.25
1744328700,18415,18421,18371.25,18377.75
1744329000,18375.5,18379.75,18312.25,18331.5
1744329300,18332.25,18392.5,18322.5,18357
1744329600,18352.75,18362.75,18261.5,18290
1744329900,18288.75,18308.75,18265.25,18292
1744330200,18292.25,18335.5,18289.5,18312.75
1744330500,18307.25,18311.5,18189.5,18212.25
1744330800,18216.5,18273,18216.5,18253.25
1744331100,18251.75,18255.75,18204,18204
1744331400,18201.25,18253.75,18201.25,18249.25
1744331700,18250.75,18290,18209.25,18234
1744332000,18236,18260.75,18140.5,18154.75
1744332300,18156.5,18176.75,18067,18161.25
1744332600,18162.5,18185.5,18123.5,18174.5
1744332900,18171.25,18206,18132,18183
1744333200,18181.25,18221.5,18159.75,18206.5
1744333500,18202.75,18235.5,18175.25,18217.75
1744333800,18213,18279,18201,18277.5
1744334100,18275.75,18318.75,18254.75,18307.25
1744334400,18309.5,18311,18244.75,18284.75
1744334700,18283,18307.75,18257.75,18279.75
1744335000,18275.5,18318.5,18266.5,18270.5
1744335300,18276,18308,18253.25,18291
1744335600,18294,18315.5,18285,18305.25
1744335900,18302,18360,18289,18339.75
1744336200,18339.75,18369,18323.75,18339.25
1744336500,18340.25,18376.75,18325.25,18364.25
1744336800,18363.25,18366.75,18303.75,18303.75
1744337100,18303.25,18317.75,18278.75,18312
1744337400,18312.25,18333.75,18287.75,18303.75
1744337700,18309,18332.75,18260,18316.5
1744338000,18320,18364.75,18320,18352.75
1744338300,18350.75,18428.5,18347,18400
1744338600,18400,18449.5,18394.25,18427.5
1744338900,18430.5,18435.75,18402.5,18403.25
1744339200,18404,18406.5,18375.5,18383.5
1744339500,18380.5,18398.5,18376.5,18394.25
