time,open,high,low,close,VWAP
1677549600,4834.75,4836.25,4832,4834.5,4833.26893998139
1677553200,4834.75,4835.25,4833,4833,4833.316080296566
1677556800,4833,4833.75,4830,4830.75,4833.082573979825
1677560400,4830.75,4831,4826.5,4826.75,4832.123430945168
1677564000,4827,4830.75,4826.5,4830,4831.755073844
1677567600,4830,4830,4816.25,4816.25,4829.106879929168
1677571200,4816.5,4822,4811.5,4819.75,4825.18595944089
1677574800,4819.5,4824.25,4817,4821.75,4824.587855184217
1677578400,4822,4832,4821.75,4831.5,4825.094935976243
1677582000,4831.75,4839.25,4829.75,4836.75,4826.672859733938
1677585600,4836.5,4843,4835.5,4840.75,4828.384527709248
1677589200,4840.5,4842,4828.25,4834.5,4829.918550262605
1677592800,4834.75,4835.25,4814.25,4823,4827.200889478116
1677596400,4823,4832.75,4815.25,4823,4825.770414202156
1677600000,4822.75,4834,4821,4823.75,4825.867774805386
1677603600,4823.75,4840.25,4823.5,4838.25,4826.930909907906
1677607200,4838,4842.75,4836.25,4839.25,4828.116833159425
1677610800,4839.5,4842.25,4826.75,4828,4828.585348619138
1677614400,4828,4828.25,4811,4811.25,4825.936759139941
1677618000,4811.5,4813.25,4804.25,4808.75,4824.723881709343
1677625200,4807.75,4809.75,4801,4802.75,4804.5
1677628800,4803,4803.25,4797,4797.75,4801.566658959792
1677632400,4797.5,4809.5,4795.25,4809,4802.766812850958
1677636000,4808.75,4812.5,4807.75,4812,4804.248126370126
1677639600,4812.25,4816.25,4811,4814.25,4805.6121909313615
1677643200,4814.5,4816.75,4812.75,4816,4806.313077995923
1677646800,4816,4817.5,4814,4815.5,4806.965484616582
1677650400,4815.75,4822.5,4815.5,4819,4808.308983743297
1677654000,4819,4824,4817,4822.25,4810.334027908338
1677657600,4822,4826.5,4817,4824,4813.022464733397
1677661200,4824,4829,4820.5,4824.25,4814.479200699761
1677664800,4824.5,4828.5,4821,4828,4815.427926028132
1677668400,4828,4830.25,4825.75,4826.75,4816.460185284581
1677672000,4826.5,4826.5,4821.5,4825,4817.161404832195
1677675600,4824.75,4825.25,4802.75,4803.25,4815.5855827162695
1677679200,4803.5,4815.75,4799.25,4810.25,4812.203725051071
1677682800,4810.25,4814.5,4789.25,4807.5,4808.527278918956
1677686400,4807.5,4810,4782.25,4806,4806.20468864966
1677690000,4806.25,4813.25,4803,4804.75,4806.286813477384
1677693600,4805,4805.25,4791.5,4796.75,4805.569363486335
1677697200,4796.75,4798.25,4785,4789.25,4804.179910571014
1677700800,4789.25,4800.5,4788.25,4797,4803.151843234617
1677704400,4797,4802.25,4793.75,4800.25,4803.024626033768
1677711600,4799,4800.25,4797.25,4799.25,4798.916666666667
1677715200,4799.25,4804.75,4793.75,4794,4797.949399357452
1677718800,4794.25,4794.5,4771.25,4777.5,4786.488497771676
1677722400,4777.5,4783.75,4776.25,4783.25,4785.350012171468
1677726000,4783.5,4786,4779.5,4781.5,4784.991979044475
1677729600,4781.5,4783.5,4779.5,4781.5,4784.800942371728
1677733200,4781.75,4782.25,4774.25,4776,4784.223810771811
1677736800,4776,4779.75,4774.25,4774.75,4783.616591107697
1677740400,4774.75,4776.25,4767.25,4770,4781.932278919668
1677744000,4770,4777,4764.25,4775.25,4779.662395589739
1677747600,4775,4778.5,4771,4772.25,4779.143975027938
1677751200,4772.25,4777.25,4766.25,4776.75,4778.591682838019
1677754800,4776.5,4784.25,4776.25,4783.25,4778.815743058162
1677758400,4783.25,4787,4776.5,4779,4779.017640688172
1677762000,4779,4783.5,4769,4772,4778.308129403329
1677765600,4771.75,4783,4770.25,4779.25,4777.997698522255
1677769200,4779.25,4792,4775,4789.75,4780.612162989618
1677772800,4790,4793.75,4781.5,4786.25,4781.693430120755
1677776400,4786.25,4793,4781.5,4791.25,4782.385773779147
1677780000,4791.25,4809,4787.25,4808.25,4784.872730234753
1677783600,4808.5,4819,4807.5,4815.5,4788.791630914519
1677787200,4815.5,4834.5,4811.5,4825.5,4795.092420346755
1677790800,4825.25,4827,4821.5,4822.25,4796.119241053305
1677798000,4822.25,4822.5,4817,4818.25,4819.25
