time,open,high,low,close
1749420000,6010.0,6015.75,6009.0,6013.5
1749420060,6014.0,6015.0,6012.5,6014.25
1749420120,6013.75,6014.25,6009.5,6011.25
1749420180,6011.5,6013.5,6011.0,6012.25
1749420240,6011.75,6012.25,6011.25,6011.25
1749420300,6011.5,6014.25,6011.5,6013.25
1749420360,6013.0,6013.75,6010.75,6012.25
1749420420,6012.25,6013.25,6012.25,6012.75
1749420480,6012.5,6012.5,6011.75,6011.75
1749420540,6011.75,6011.75,6009.5,6010.25
1749420600,6010.5,6010.5,6007.75,6008.0
1749420660,6007.75,6008.25,6006.0,6007.0
1749420720,6007.0,6007.5,6004.0,6004.75
1749420780,6004.75,6005.75,6004.25,6005.5
1749420840,6005.5,6005.5,6002.25,6002.75
1749420900,6002.5,6003.5,6001.5,6002.5
1749420960,6002.25,6002.5,6000.5,6001.0
1749421020,6001.0,6001.0,5999.0,5999.5
1749421080,5999.75,6000.25,5998.25,5999.75
1749421140,5999.75,6000.0,5998.75,6000.0
1749421200,6000.25,6003.5,6000.25,6002.0
1749421260,6002.0,6002.0,6000.0,6000.0
1749421320,6000.0,6000.0,5997.25,5999.25
1749421380,5999.5,6000.0,5998.25,5999.0
1749421440,5999.0,6000.0,5999.0,5999.0
1749421500,5999.25,5999.25,5998.5,5999.25
1749421560,5999.0,5999.25,5998.75,5998.75
1749421620,5999.0,6001.5,5999.0,6001.0
1749421680,6001.25,6001.75,6000.5,6000.75
1749421740,6001.0,6001.75,6000.75,6001.0
1749421800,6001.0,6001.25,5999.75,6001.0
1749421860,6001.0,6001.5,6000.0,6000.25
1749421920,6000.0,6000.25,5999.25,5999.75
1749421980,6000.0,6000.75,5998.75,6000.0
1749422040,5999.75,6000.25,5998.0,6000.25
1749422100,6000.5,6000.5,5999.25,5999.25
1749422160,5999.5,5999.5,5998.75,5999.25
1749422220,5999.0,5999.0,5997.25,5998.0
1749422280,5997.75,5999.0,5996.75,5998.5
1749422340,5998.5,5998.5,5997.5,5997.5
1749422400,5997.75,5998.0,5996.25,5997.5
1749422460,5997.75,5998.75,5997.5,5998.25
1749422520,5998.25,5998.5,5996.0,5997.0
1749422580,5997.0,5998.75,5996.75,5998.25
1749422640,5998.25,5998.75,5997.0,5997.75
1749422700,5997.75,5998.0,5997.5,5998.0
1749422760,5997.75,5997.75,5996.25,5996.25
1749422820,5996.5,5996.5,5995.0,5996.0
1749422880,5996.25,5996.25,5995.25,5996.0
1749422940,5996.0,5996.5,5995.5,5996.0
1749423000,5995.75,5996.25,5995.25,5995.75
1749423060,5995.75,5996.25,5995.5,5996.0
1749423120,5996.25,5997.5,5996.25,5997.5
1749423180,5997.25,5997.5,5996.5,5997.5
1749423240,5997.5,5998.75,5997.0,5998.25
1749423300,5998.0,5998.75,5997.25,5998.0
1749423360,5998.25,5998.25,5997.0,5997.25
1749423420,5997.5,5997.75,5997.5,5997.5
1749423480,5997.5,5998.5,5997.5,5998.0
1749423540,5998.25,5998.25,5997.75,5997.75
1749423600,5997.75,5998.0,5996.25,5996.25
1749423660,5996.25,5997.5,5995.5,5997.5
1749423720,5997.5,5997.5,5995.75,5996.25
1749423780,5996.5,5997.0,5996.25,5997.0
1749423840,5997.25,5999.5,5997.25,5998.0
1749423900,5998.0,5998.75,5997.5,5997.5
1749423960,5997.75,5998.5,5997.25,5998.25
1749424020,5998.5,5999.75,5998.5,5999.25
1749424080,5999.5,5999.5,5997.25,5997.5
1749424140,5997.5,5997.5,5995.75,5996.25
1749424200,5996.25,5997.0,5996.0,5996.25
1749424260,5996.25,5996.5,5995.25,5996.0
1749424320,5996.0,5996.5,5995.25,5996.5
1749424380,5996.5,5998.75,5996.5,5998.5
1749424440,5998.5,5999.0,5998.0,5998.5
1749424500,5998.5,5999.75,5998.5,5999.0
1749424560,5999.0,5999.75,5999.0,5999.5
1749424620,5999.5,5999.5,5998.75,5999.25
1749424680,5999.25,6001.0,5999.25,6000.75
1749424740,6000.75,6000.75,6000.25,6000.5
1749424800,6000.25,6000.5,5999.75,6000.25
1749424860,6000.25,6000.5,5999.5,5999.75
1749424920,5999.75,5999.75,5998.25,5998.5
1749424980,5998.5,5999.25,5998.25,5999.25
1749425040,5999.25,5999.5,5999.25,5999.25
1749425100,5999.25,5999.75,5999.25,5999.5
1749425160,5999.5,5999.5,5999.0,5999.0
1749425220,5999.25,6001.0,5999.25,6000.5
1749425280,6000.75,6000.75,5999.75,5999.75
1749425340,5999.75,6000.5,5999.75,6000.5
1749425400,6000.5,6000.75,6000.0,6000.5
1749425460,6000.25,6000.5,6000.0,6000.5
1749425520,6000.5,6000.5,6000.0,6000.25
1749425580,6000.5,6000.5,6000.25,6000.5
1749425640,6000.5,6000.5,6000.0,6000.25
1749425700,6000.5,6000.5,6000.25,6000.5
1749425760,6000.5,6001.0,6000.5,6001.0
1749425820,6001.0,6002.0,6001.0,6001.5
1749425880,6001.5,6001.5,6001.0,6001.25
