time,open,high,low,close
1704150000,2048.0,2056.5,2046.2,2054.1
1704153600,2054.2,2055.0,2051.8,2052.0
1704157200,2052.2,2055.3,2051.5,2051.9
1704160800,2051.9,2053.1,2051.6,2052.6
1704164400,2052.7,2054.3,2052.6,2053.8
1704168000,2053.9,2055.3,2053.5,2054.9
1704171600,2055.1,2056.3,2054.9,2055.8
1704175200,2055.8,2056.0,2053.4,2053.6
1704178800,2053.7,2057.5,2053.7,2055.1
1704182400,2055.0,2060.8,2055.0,2060.7
1704186000,2060.6,2061.6,2055.5,2056.9
1704189600,2057.0,2059.8,2054.1,2054.7
1704193200,2054.5,2054.6,2036.5,2041.4
1704196800,2041.2,2041.6,2028.4,2030.0
1704200400,2030.0,2035.1,2027.8,2033.4
1704204000,2033.3,2050.0,2025.8,2049.6
1704207600,2049.5,2054.9,2033.4,2034.8
1704211200,2034.8,2049.6,2034.6,2049.5
1704214800,2049.5,2054.4,2044.8,2045.5
1704218400,2045.5,2045.7,2034.6,2035.0
1704222000,2035.0,2036.7,2026.7,2026.7
1704225600,2026.7,2034.5,2022.4,2034.1
1704229200,2034.2,2036.5,2032.4,2035.1
1704236400,2036.1,2037.3,2033.8,2036.1
1704240000,2036.2,2036.2,2032.4,2032.7
1704243600,2032.5,2033.5,2031.6,2032.2
1704247200,2032.3,2032.9,2030.8,2031.6
1704250800,2031.6,2032.1,2029.9,2031.3
1704254400,2031.2,2031.6,2029.0,2029.1
1704258000,2029.1,2029.3,2027.5,2028.8
1704261600,2028.7,2030.5,2028.5,2029.9
1704265200,2029.7,2031.4,2028.4,2030.6
1704268800,2030.6,2034.5,2026.3,2026.6
1704272400,2026.7,2026.8,2020.2,2020.2
1704276000,2020.2,2022.2,2019.3,2019.7
1704279600,2019.8,2020.5,2014.6,2015.3
1704283200,2015.4,2015.9,2011.6,2011.6
1704286800,2011.7,2014.8,2007.0,2007.1
1704290400,2007.1,2012.4,1998.5,1999.5
1704294000,1999.6,2014.3,1990.6,2001.1
1704297600,2001.2,2006.0,2000.0,2000.8
1704301200,2000.8,2001.5,1995.2,2000.2
1704304800,2000.2,2004.5,1997.0,1997.9
1704308400,1997.9,2005.7,1989.8,1993.1
1704312000,1993.1,1993.7,1973.9,1977.6
1704315600,1977.7,1980.7,1977.0,1980.4
1704322800,1979.8,1983.5,1979.8,1982.3
1704326400,1982.3,1984.9,1979.4,1984.6
1704330000,1984.4,1985.5,1983.0,1984.5
1704333600,1984.7,1984.9,1981.8,1983.4
1704337200,1983.2,1984.8,1982.4,1982.6
1704340800,1982.7,1983.9,1981.8,1981.8
1704344400,1981.8,1982.2,1980.4,1980.8
1704348000,1980.8,1984.9,1980.3,1984.6
1704351600,1984.6,1988.1,1984.6,1985.6
1704355200,1985.7,1989.9,1985.7,1986.2
1704358800,1986.2,1989.6,1985.0,1988.9
1704362400,1989.0,1991.0,1985.2,1988.6
1704366000,1988.7,1990.7,1981.8,1982.0
1704369600,1982.1,1989.6,1978.4,1986.5
1704373200,1986.3,1986.5,1967.8,1968.6
1704376800,1968.5,1988.4,1965.6,1978.1
1704380400,1977.9,1986.8,1976.3,1981.1
1704384000,1981.1,1989.0,1977.6,1980.6
1704387600,1980.6,1982.3,1973.5,1977.3
1704391200,1977.2,1984.0,1976.4,1981.3
1704394800,1981.4,1983.1,1974.2,1978.2
1704398400,1978.2,1982.2,1971.8,1973.7
1704402000,1973.6,1977.9,1973.4,1977.1
1704409200,1977.3,1979.5,1976.0,1976.0
1704412800,1976.2,1977.7,1975.3,1976.8
1704416400,1976.9,1978.7,1975.8,1977.4
1704420000,1977.5,1977.6,1975.9,1976.4
1704423600,1976.4,1977.0,1975.3,1975.4
1704427200,1975.5,1978.7,1975.5,1976.8
1704430800,1976.8,1977.3,1975.1,1976.1
1704434400,1976.1,1977.2,1968.5,1971.7
1704438000,1971.6,1975.0,1971.1,1971.5
1704441600,1971.7,1975.5,1968.9,1969.3
1704445200,1969.4,1970.1,1964.6,1965.4
1704448800,1965.5,1966.6,1959.9,1962.6
1704452400,1962.6,1963.7,1955.5,1959.3
1704456000,1959.3,1961.1,1956.4,1960.9
1704459600,1960.8,1966.9,1938.6,1957.8
1704463200,1958.0,1975.5,1953.1,1973.4
1704466800,1973.5,1989.1,1973.5,1983.3
1704470400,1983.4,1985.9,1973.2,1975.4
1704474000,1975.4,1976.1,1965.2,1969.7
1704477600,1969.4,1978.2,1964.8,1973.3
1704481200,1973.4,1979.2,1961.7,1963.0
1704484800,1962.9,1971.0,1961.7,1967.2
1704488400,1967.2,1970.5,1967.1,1969.0
1704668400,1969.2,1972.9,1967.7,1972.5
1704672000,1972.4,1976.0,1972.2,1975.4
1704675600,1975.3,1976.8,1970.6,1970.9
1704679200,1971.0,1971.0,1968.3,1968.9
1704682800,1968.8,1969.0,1965.1,1965.8
1704686400,1965.9,1967.7,1965.3,1967.4
1704690000,1967.3,1967.9,1964.5,1965.3
1704693600,1965.4,1967.4,1964.4,1964.9
1704697200,1964.8,1968.7,1964.0,1964.2
1704700800,1964.3,1969.6,1963.0,1964.5
1704704400,1964.6,1966.0,1954.5,1961.4
1704708000,1961.3,1962.9,1959.1,1959.3
1704711600,1959.4,1966.9,1956.4,1963.5
1704715200,1963.7,1966.5,1962.0,1965.8
1704718800,1965.7,1966.9,1961.9,1962.7
1704722400,1962.8,1972.7,1956.4,1971.7
1704726000,1971.6,1986.5,1966.7,1982.9
1704729600,1983.0,1987.8,1980.5,1987.2
1704733200,1987.2,1990.6,1981.3,1989.5
1704736800,1989.4,1996.5,1988.9,1996.2
1704740400,1996.2,2001.9,1993.7,2000.3
1704744000,2000.3,2004.6,1997.3,2004.0
1704747600,2004.1,2004.4,2001.7,2002.2
1704754800,2002.3,2002.7,1999.8,2001.1
1704758400,2001.0,2002.4,1999.8,1999.8
1704762000,1999.8,2000.8,1999.0,1999.7
1704765600,1999.9,2000.8,1999.1,1999.4
1704769200,1999.6,2000.1,1998.7,1999.2
1704772800,1999.2,1999.2,1996.8,1997.2
1704776400,1997.3,1997.7,1996.1,1996.2
1704780000,1996.3,1997.7,1995.7,1995.9
1704783600,1995.8,1996.8,1994.1,1994.9
1704787200,1995.0,1995.0,1986.4,1988.9
1704790800,1988.8,1989.5,1983.7,1986.0
1704794400,1985.8,1986.9,1982.2,1982.9
1704798000,1983.0,1983.6,1977.0,1977.7
1704801600,1977.9,1984.3,1976.7,1983.2
1704805200,1983.1,1984.2,1976.9,1978.1
1704808800,1978.1,1979.7,1966.4,1975.0
1704812400,1974.9,1981.3,1970.4,1975.9
1704816000,1975.9,1986.3,1975.5,1986.2
1704819600,1986.2,1988.0,1984.1,1988.0
1704823200,1987.9,1991.4,1978.5,1988.5
1704826800,1988.6,1989.4,1982.2,1985.9
1704830400,1986.0,1988.6,1979.7,1983.7
1704834000,1983.5,1983.8,1980.1,1981.3
1704841200,1980.9,1983.1,1980.4,1982.9
1704844800,1983.0,1984.4,1980.8,1981.7
1704848400,1981.7,1981.9,1979.1,1980.3
1704852000,1980.3,1980.7,1978.8,1980.1
1704855600,1979.9,1980.4,1977.8,1978.6
1704859200,1978.7,1980.0,1977.9,1978.5
1704862800,1978.7,1980.3,1978.0,1979.9
1704866400,1979.7,1980.7,1976.0,1976.9
1704870000,1977.1,1982.2,1976.1,1981.2
1704873600,1981.0,1983.0,1978.8,1981.7
1704877200,1981.6,1988.7,1980.7,1985.9
1704880800,1985.9,1986.1,1982.1,1983.8
1704884400,1983.8,1985.4,1979.0,1980.7
1704888000,1980.7,1985.1,1980.2,1982.8
1704891600,1982.8,1984.5,1978.0,1978.4
1704895200,1978.5,1983.6,1971.0,1972.2
1704898800,1972.1,1980.0,1963.4,1978.6
1704902400,1978.6,1980.0,1973.6,1978.9
1704906000,1979.1,1980.4,1976.2,1976.5
1704909600,1976.5,1983.6,1973.7,1982.6
1704913200,1982.5,1986.7,1981.3,1986.4
1704916800,1986.4,1987.2,1974.8,1983.7
1704920400,1983.6,1985.6,1982.8,1984.8
1704927600,1984.6,1987.7,1983.2,1986.3
1704931200,1986.3,1991.8,1986.0,1991.0
1704934800,1990.9,1993.0,1990.6,1992.6
1704938400,1992.6,1995.5,1991.7,1991.8
1704942000,1991.9,1995.7,1991.8,1995.1
1704945600,1994.9,1995.3,1992.7,1993.0
1704949200,1993.0,1993.2,1990.7,1991.3
1704952800,1991.1,1993.7,1990.4,1993.7
1704956400,1993.7,1994.9,1993.2,1993.4
1704960000,1993.2,1996.3,1990.1,1995.6
1704963600,1995.5,1995.7,1986.6,1987.2
1704967200,1987.0,1987.8,1984.2,1985.9
1704970800,1985.8,1988.7,1985.1,1987.8
1704974400,1987.9,1995.8,1986.8,1992.6
1704978000,1992.6,2003.1,1965.2,1968.8
1704981600,1969.1,1979.4,1966.3,1967.2
1704985200,1967.0,1967.1,1945.0,1952.1
1704988800,1952.0,1953.9,1944.7,1947.0
1704992400,1947.0,1958.6,1946.6,1956.4
1704996000,1956.3,1965.8,1956.0,1965.4
1704999600,1965.4,1970.6,1961.2,1970.1
1705003200,1970.2,1971.0,1962.3,1968.6
1705006800,1968.6,1969.2,1965.3,1966.6
1705014000,1966.7,1967.3,1964.4,1966.4
1705017600,1966.5,1968.6,1962.7,1963.5
1705021200,1963.6,1967.1,1962.9,1965.7
1705024800,1965.7,1969.8,1965.7,1968.5
1705028400,1968.7,1968.9,1967.3,1968.1
1705032000,1968.2,1968.2,1964.0,1965.9
1705035600,1965.9,1967.8,1965.8,1966.7
1705039200,1966.8,1969.1,1966.7,1969.0
1705042800,1969.0,1969.7,1961.5,1963.0
1705046400,1962.8,1977.1,1962.8,1976.0
1705050000,1976.1,1976.3,1969.7,1970.0
1705053600,1969.9,1973.4,1966.5,1969.1
1705057200,1969.3,1972.1,1957.3,1964.2
1705060800,1964.3,1970.6,1963.6,1967.4
1705064400,1967.3,1983.3,1965.5,1980.2
1705068000,1980.3,2003.3,1978.6,1986.1
1705071600,1986.2,1987.4,1961.8,1964.3
1705075200,1964.2,1970.2,1958.0,1960.1
