Time_PT,Open,High,Low,Close,Volume,Trades,BidVolume,AskVolume,Delta
2026-08-13 08:00:00-07:00,7822.0,7822.5,7821.75,7822.0,122,86,64,58,-6
2026-08-13 08:00:01-07:00,7822.0,7822.0,7821.75,7822.0,9,9,4,5,1
2026-08-13 08:00:02-07:00,7822.0,7822.5,7821.75,7822.25,111,78,45,66,21
2026-08-13 08:00:03-07:00,7822.25,7822.75,7822.0,7822.5,98,69,41,57,16
2026-08-13 08:00:04-07:00,7822.5,7822.5,7821.75,7822.0,67,49,41,26,-15
2026-08-13 08:00:05-07:00,7822.0,7822.75,7822.0,7822.5,69,50,32,37,5
2026-08-13 08:00:06-07:00,7822.5,7822.5,7822.0,7822.25,26,20,23,3,-20
2026-08-13 08:00:07-07:00,7822.25,7822.25,7822.0,7822.25,1,1,0,1,1
2026-08-13 08:00:08-07:00,7822.25,7822.25,7821.5,7822.0,67,52,36,31,-5
2026-08-13 08:00:09-07:00,7822.0,7822.25,7821.5,7821.75,42,32,31,11,-20
2026-08-13 08:00:10-07:00,7821.75,7822.0,7821.5,7821.5,113,77,58,55,-3
2026-08-13 08:00:11-07:00,7821.5,7821.75,7821.25,7821.5,65,44,26,39,13
2026-08-13 08:00:12-07:00,7821.5,7822.5,7821.5,7822.5,118,90,30,88,58
2026-08-13 08:00:13-07:00,7822.5,7822.5,7822.0,7822.25,13,12,8,5,-3
2026-08-13 08:00:14-07:00,7822.25,7822.5,7822.0,7822.5,20,17,0,20,20
2026-08-13 08:00:15-07:00,7822.5,7823.0,7822.5,7822.5,15,14,7,8,1
2026-08-13 08:00:16-07:00,7822.5,7822.75,7822.25,7822.5,73,56,60,13,-47
2026-08-13 08:00:17-07:00,7822.5,7822.75,7822.0,7822.5,44,34,20,24,4
2026-08-13 08:00:18-07:00,7822.5,7823.75,7821.75,7823.0,776,433,233,543,310
2026-08-13 08:00:19-07:00,7823.0,7823.5,7822.5,7823.25,144,99,80,64,-16
2026-08-13 08:00:20-07:00,7823.25,7823.75,7823.0,7823.5,85,57,50,35,-15
2026-08-13 08:00:21-07:00,7823.5,7824.0,7823.25,7823.75,68,52,29,39,10
2026-08-13 08:00:22-07:00,7823.75,7824.25,7823.5,7824.0,74,61,25,49,24
2026-08-13 08:00:23-07:00,7824.0,7824.75,7824.0,7824.5,177,93,69,108,39
2026-08-13 08:00:24-07:00,7824.5,7824.75,7824.25,7824.5,53,45,17,36,19
2026-08-13 08:00:25-07:00,7824.5,7825.0,7824.5,7825.0,103,81,35,68,33
2026-08-13 08:00:26-07:00,7825.0,7825.25,7824.75,7825.0,110,80,58,52,-6
2026-08-13 08:00:27-07:00,7825.0,7825.5,7824.75,7825.0,204,146,68,136,68
2026-08-13 08:00:28-07:00,7825.0,7825.5,7825.0,7825.25,60,43,33,27,-6
2026-08-13 08:00:29-07:00,7825.25,7825.25,7825.0,7825.25,4,4,3,1,-2
2026-08-13 08:00:30-07:00,7825.25,7825.25,7825.0,7825.25,18,17,3,15,12
2026-08-13 08:00:31-07:00,7825.25,7825.25,7824.75,7825.0,34,31,29,5,-24
2026-08-13 08:00:32-07:00,7825.0,7825.5,7824.75,7825.0,51,38,31,20,-11
2026-08-13 08:00:33-07:00,7825.0,7825.25,7824.75,7825.0,21,16,1,20,19
2026-08-13 08:00:34-07:00,7825.0,7825.25,7824.75,7825.0,13,12,12,1,-11
2026-08-13 08:00:35-07:00,7825.0,7825.25,7824.75,7825.0,42,29,25,17,-8
2026-08-13 08:00:36-07:00,7825.0,7825.0,7824.75,7825.0,8,8,0,8,8
2026-08-13 08:00:37-07:00,7825.0,7825.25,7824.75,7825.25,71,51,31,40,9
2026-08-13 08:00:38-07:00,7825.25,7825.25,7824.75,7825.0,42,37,25,17,-8
2026-08-13 08:00:39-07:00,7825.0,7825.5,7825.0,7825.25,71,35,19,52,33
2026-08-13 08:00:40-07:00,7825.25,7826.25,7825.0,7826.0,695,345,365,330,-35
2026-08-13 08:00:41-07:00,7826.0,7826.0,7825.5,7825.75,97,78,40,57,17
2026-08-13 08:00:42-07:00,7825.75,7826.0,7825.5,7825.75,46,35,11,35,24
2026-08-13 08:00:43-07:00,7825.75,7826.0,7825.5,7825.5,34,28,15,19,4
2026-08-13 08:00:44-07:00,7825.5,7825.75,7825.5,7825.5,5,5,2,3,1
2026-08-13 08:00:45-07:00,7825.5,7826.0,7825.5,7825.5,69,55,33,36,3
2026-08-13 08:00:46-07:00,7825.5,7826.25,7825.5,7826.0,129,97,54,75,21
2026-08-13 08:00:47-07:00,7826.0,7826.25,7825.75,7826.25,51,26,2,49,47
2026-08-13 08:00:48-07:00,7826.25,7826.5,7826.0,7826.25,39,33,13,26,13
2026-08-13 08:00:49-07:00,7826.25,7826.25,7826.0,7826.0,35,27,30,5,-25
2026-08-13 08:00:50-07:00,7826.0,7826.5,7825.75,7826.0,68,50,41,27,-14
2026-08-13 08:00:51-07:00,7826.0,7826.25,7826.0,7826.0,1,1,1,0,-1
2026-08-13 08:00:52-07:00,7826.0,7826.25,7826.0,7826.0,10,7,6,4,-2
2026-08-13 08:00:53-07:00,7826.0,7826.25,7825.75,7826.25,66,58,36,30,-6
2026-08-13 08:00:54-07:00,7826.25,7826.25,7825.75,7826.0,35,30,22,13,-9
2026-08-13 08:00:55-07:00,7826.0,7826.0,7825.0,7825.25,148,106,120,28,-92
2026-08-13 08:00:56-07:00,7825.25,7825.5,7825.25,7825.5,113,58,84,29,-55
2026-08-13 08:00:57-07:00,7825.5,7825.75,7825.5,7825.5,2,2,1,1,0
2026-08-13 08:00:58-07:00,7825.5,7825.75,7825.25,7825.5,28,17,19,9,-10
2026-08-13 08:00:59-07:00,7825.5,7826.0,7825.5,7825.75,138,88,23,115,92
2026-08-13 08:01:00-07:00,7825.75,7826.0,7825.5,7825.75,65,39,45,20,-25
2026-08-13 08:01:01-07:00,7825.75,7826.0,7825.5,7825.5,18,12,8,10,2
2026-08-13 08:01:02-07:00,7825.5,7826.0,7825.5,7825.75,38,29,12,26,14
2026-08-13 08:01:03-07:00,7825.75,7825.75,7825.5,7825.5,2,2,1,1,0
2026-08-13 08:01:04-07:00,7825.5,7825.75,7825.5,7825.75,4,4,2,2,0
2026-08-13 08:01:05-07:00,7825.75,7826.0,7825.5,7826.0,52,30,11,41,30
2026-08-13 08:01:06-07:00,7826.0,7826.0,7825.75,7825.75,3,2,3,0,-3
2026-08-13 08:01:07-07:00,7825.75,7826.0,7825.75,7825.75,2,2,1,1,0
2026-08-13 08:01:08-07:00,7825.75,7826.0,7825.5,7825.75,123,44,100,23,-77
2026-08-13 08:01:09-07:00,7825.75,7826.0,7825.5,7825.5,48,36,19,29,10
2026-08-13 08:01:10-07:00,7825.5,7825.5,7825.5,7825.5,0,0,0,0,0
2026-08-13 08:01:11-07:00,7825.5,7825.75,7825.5,7825.5,1,1,1,0,-1
2026-08-13 08:01:12-07:00,7825.5,7825.75,7825.25,7825.75,149,53,114,35,-79
2026-08-13 08:01:13-07:00,7825.75,7826.25,7825.5,7825.75,87,57,5,82,77
2026-08-13 08:01:14-07:00,7825.75,7826.0,7825.5,7825.75,35,24,29,6,-23
2026-08-13 08:01:15-07:00,7825.75,7826.0,7825.5,7826.0,34,27,9,25,16
2026-08-13 08:01:16-07:00,7826.0,7826.0,7825.75,7825.75,23,18,22,1,-21
2026-08-13 08:01:17-07:00,7825.75,7826.25,7825.75,7826.0,62,30,12,50,38
2026-08-13 08:01:18-07:00,7826.0,7826.25,7825.75,7826.0,99,58,37,62,25
2026-08-13 08:01:19-07:00,7826.0,7826.25,7826.0,7826.25,4,4,3,1,-2
2026-08-13 08:01:20-07:00,7826.25,7826.25,7825.75,7825.75,25,18,18,7,-11
2026-08-13 08:01:21-07:00,7825.75,7826.0,7825.5,7825.75,20,17,14,6,-8
2026-08-13 08:01:22-07:00,7825.75,7826.0,7825.75,7825.75,3,3,2,1,-1
2026-08-13 08:01:23-07:00,7825.75,7826.25,7825.75,7826.25,24,21,2,22,20
2026-08-13 08:01:24-07:00,7826.25,7826.25,7826.0,7826.25,2,2,0,2,2
2026-08-13 08:01:25-07:00,7826.25,7826.25,7826.0,7826.0,47,31,36,11,-25
2026-08-13 08:01:26-07:00,7826.0,7826.0,7825.75,7825.75,4,2,4,0,-4
2026-08-13 08:01:27-07:00,7825.75,7826.25,7825.75,7826.0,62,34,8,54,46
2026-08-13 08:01:28-07:00,7826.0,7826.25,7826.0,7826.0,12,10,11,1,-10
2026-08-13 08:01:29-07:00,7826.0,7826.0,7825.5,7825.75,90,54,46,44,-2
2026-08-13 08:01:30-07:00,7825.75,7826.25,7825.75,7826.25,28,17,0,28,28
2026-08-13 08:01:31-07:00,7826.25,7826.5,7826.0,7826.25,87,43,30,57,27
2026-08-13 08:01:32-07:00,7826.25,7826.5,7826.0,7826.25,64,56,29,35,6
2026-08-13 08:01:33-07:00,7826.25,7826.5,7826.0,7826.5,26,21,10,16,6
