time,direction,entry,stop,target,outcome,exit_price,pnl_ticks,hold_s
2026-08-13 08:02:06-07:00,LONG,7826.0,7825.5,7827.0,stop,7825.5,-2.0,6
2026-08-13 08:02:18-07:00,LONG,7824.75,7824.25,7825.75,stop,7824.25,-2.0,11
2026-08-13 08:04:04-07:00,SHORT,7819.75,7820.25,7818.75,target,7818.75,4.0,12
2026-08-13 08:05:05-07:00,SHORT,7819.0,7819.75,7817.5,stop,7819.75,-3.0,4
2026-08-13 08:07:05-07:00,LONG,7817.25,7816.75,7818.25,stop,7816.75,-2.0,4
2026-08-13 08:07:11-07:00,LONG,7816.75,7816.0,7818.25,stop,7816.0,-3.0,3
2026-08-13 08:07:15-07:00,LONG,7816.25,7815.75,7817.25,target,7817.25,4.0,12
2026-08-13 08:08:17-07:00,LONG,7814.0,7813.5,7815.0,target,7815.0,4.0,4
2026-08-13 08:08:45-07:00,LONG,7814.75,7814.25,7815.75,stop,7814.25,-2.0,2
2026-08-13 08:10:40-07:00,SHORT,7817.5,7818.0,7816.5,stop,7818.0,-2.0,1
2026-08-13 08:11:27-07:00,LONG,7816.25,7815.75,7817.25,target,7817.25,4.0,3
2026-08-13 08:13:29-07:00,LONG,7815.5,7815.0,7816.5,stop,7815.0,-2.0,1
2026-08-13 08:16:16-07:00,LONG,7814.5,7814.0,7815.5,target,7815.5,4.0,13
2026-08-13 08:17:44-07:00,LONG,7814.5,7814.0,7815.5,stop,7814.0,-2.0,1
2026-08-13 08:20:03-07:00,LONG,7815.25,7814.75,7816.25,target,7816.25,4.0,1
2026-08-13 08:21:11-07:00,LONG,7814.75,7814.0,7816.25,target,7816.25,6.0,21
2026-08-13 08:21:34-07:00,SHORT,7816.5,7817.25,7815.0,target,7815.0,6.0,31
2026-08-13 08:23:45-07:00,LONG,7812.5,7812.0,7813.5,target,7813.5,4.0,14
2026-08-13 08:25:23-07:00,LONG,7812.0,7811.5,7813.0,stop,7811.5,-2.0,2
2026-08-13 08:25:58-07:00,LONG,7810.25,7809.75,7811.25,target,7811.25,4.0,5
2026-08-13 08:26:16-07:00,LONG,7809.5,7809.0,7810.5,target,7810.5,4.0,14
2026-08-13 08:27:42-07:00,LONG,7807.0,7806.25,7808.5,target,7808.5,6.0,1
2026-08-13 08:33:12-07:00,LONG,7804.25,7803.75,7805.25,target,7805.25,4.0,5
2026-08-13 08:33:59-07:00,LONG,7804.0,7803.5,7805.0,target,7805.0,4.0,3
2026-08-13 08:34:18-07:00,LONG,7804.25,7803.5,7805.75,stop,7803.5,-3.0,2
2026-08-13 08:34:37-07:00,LONG,7803.0,7802.5,7804.0,stop,7802.5,-2.0,1
2026-08-13 08:34:53-07:00,LONG,7802.25,7801.5,7803.75,stop,7801.5,-3.0,2
2026-08-13 08:35:22-07:00,SHORT,7804.75,7805.25,7803.75,stop,7805.25,-2.0,1
2026-08-13 08:38:03-07:00,LONG,7802.0,7801.5,7803.0,stop,7801.5,-2.0,1
2026-08-13 08:38:13-07:00,LONG,7801.25,7800.5,7802.75,stop,7800.5,-3.0,3
2026-08-13 08:39:05-07:00,SHORT,7802.5,7803.0,7801.5,target,7801.5,4.0,2
2026-08-13 08:39:18-07:00,SHORT,7802.75,7803.25,7801.75,stop,7803.25,-2.0,8
2026-08-13 08:40:39-07:00,LONG,7802.5,7802.0,7803.5,stop,7802.0,-2.0,2
2026-08-13 08:41:00-07:00,SHORT,7802.25,7802.75,7801.25,stop,7802.75,-2.0,2
2026-08-13 08:41:09-07:00,SHORT,7804.0,7804.5,7803.0,stop,7804.5,-2.0,1
2026-08-13 08:42:31-07:00,LONG,7807.0,7806.5,7808.0,stop,7806.5,-2.0,1
2026-08-13 08:43:12-07:00,LONG,7806.0,7805.5,7807.0,stop,7805.5,-2.0,1
2026-08-13 08:43:19-07:00,SHORT,7806.25,7807.0,7804.75,target,7804.75,6.0,75
2026-08-13 08:45:00-07:00,LONG,7803.25,7802.75,7804.25,stop,7802.75,-2.0,2
2026-08-13 08:46:50-07:00,SHORT,7805.0,7805.5,7804.0,stop,7805.5,-2.0,10
2026-08-13 08:48:57-07:00,LONG,7802.5,7802.0,7803.5,stop,7802.0,-2.0,5
2026-08-13 08:57:30-07:00,LONG,7802.0,7801.25,7803.5,stop,7801.25,-3.0,10
2026-08-13 08:58:11-07:00,LONG,7800.0,7799.5,7801.0,stop,7799.5,-2.0,12
2026-08-13 08:58:27-07:00,LONG,7799.0,7798.5,7800.0,stop,7798.5,-2.0,16
2026-08-13 08:59:11-07:00,LONG,7798.25,7797.5,7799.75,target,7799.75,6.0,58
2026-08-13 09:01:34-07:00,SHORT,7802.0,7802.5,7801.0,stop,7802.5,-2.0,32
2026-08-13 09:02:34-07:00,SHORT,7803.75,7804.25,7802.75,stop,7804.25,-2.0,4
2026-08-13 09:04:15-07:00,LONG,7803.75,7803.25,7804.75,stop,7803.25,-2.0,6
2026-08-13 09:09:20-07:00,LONG,7803.75,7803.25,7804.75,stop,7803.25,-2.0,3
2026-08-13 09:09:24-07:00,LONG,7803.25,7802.75,7804.25,target,7804.25,4.0,16
2026-08-13 09:10:07-07:00,SHORT,7804.5,7805.0,7803.5,target,7803.5,4.0,15
2026-08-13 09:11:59-07:00,LONG,7803.5,7803.0,7804.5,target,7804.5,4.0,6
2026-08-13 09:12:40-07:00,LONG,7803.0,7802.5,7804.0,stop,7802.5,-2.0,14
2026-08-13 09:14:40-07:00,LONG,7801.0,7800.5,7802.0,target,7802.0,4.0,25
2026-08-13 09:15:35-07:00,LONG,7801.75,7801.0,7803.25,stop,7801.0,-3.0,24
2026-08-13 09:16:55-07:00,LONG,7800.5,7800.0,7801.5,stop,7800.0,-2.0,2
2026-08-13 09:17:11-07:00,LONG,7800.0,7799.5,7801.0,target,7801.0,4.0,3
2026-08-13 09:25:14-07:00,SHORT,7805.75,7806.25,7804.75,stop,7806.25,-2.0,3
2026-08-13 09:25:31-07:00,SHORT,7807.0,7807.5,7806.0,stop,7807.5,-2.0,5
2026-08-13 09:26:10-07:00,LONG,7807.0,7806.5,7808.0,target,7808.0,4.0,36
2026-08-13 09:27:35-07:00,LONG,7808.5,7808.0,7809.5,stop,7808.0,-2.0,10
