Time_PT,Open,High,Low,Close,Volume,Trades,BidVolume,AskVolume,Delta,Range,Body,CVD,Vol_Z,AbsDelta_Z,Impact_Resid_Z,Absorption,AbsorptionSide
2026-08-13 08:07:53-07:00,7817.0,7817.5,7816.75,7817.0,253,128,65,188,123,0.75,0.0,-2570,2.975018069049841,3.1324284432211535,-2.2499949134787225,True,BuyAbsorbed(Bearish)
2026-08-13 08:09:10-07:00,7815.5,7816.0,7815.0,7815.75,329,200,92,237,145,1.0,0.25,-3060,4.070079400316947,4.116244719935196,-1.9844549144819814,True,BuyAbsorbed(Bearish)
2026-08-13 08:09:18-07:00,7816.0,7816.5,7816.0,7816.25,246,82,206,40,-166,0.5,0.25,-3127,2.978056511446265,4.805635773148684,-1.5749643238884572,True,SellAbsorbed(Bullish)
2026-08-13 08:09:28-07:00,7816.0,7816.0,7815.25,7816.0,198,79,162,36,-126,0.75,0.0,-3226,2.1527201934784923,3.390747378112016,-2.475236123876024,True,SellAbsorbed(Bullish)
2026-08-13 08:13:44-07:00,7815.5,7816.25,7815.25,7815.75,363,224,88,275,187,1.0,0.25,-2924,6.639137016837877,6.970291339244344,-1.605799330280278,True,BuyAbsorbed(Bearish)
2026-08-13 08:13:45-07:00,7815.75,7816.0,7815.0,7815.25,613,114,568,45,-523,1.0,0.5,-3447,9.974131447636479,13.868621718096279,-1.0735929699763804,True,SellAbsorbed(Bullish)
2026-08-13 08:14:38-07:00,7816.0,7816.5,7816.0,7816.25,441,92,31,410,379,0.5,0.25,-2751,6.8543424514788525,8.858534972316352,-1.4153847291035242,True,BuyAbsorbed(Bearish)
2026-08-13 08:20:03-07:00,7815.5,7815.5,7815.0,7815.25,145,95,115,30,-85,0.5,0.25,-3470,2.5855139896484007,3.148104177370548,-1.0794986276004825,True,SellAbsorbed(Bullish)
2026-08-13 08:22:31-07:00,7813.5,7814.75,7813.25,7813.5,513,327,156,357,201,1.5,0.0,-3247,9.520640327429925,7.502773442281977,-4.003097985934964,True,BuyAbsorbed(Bearish)
2026-08-13 08:27:43-07:00,7807.0,7808.75,7806.75,7808.25,1261,864,480,781,301,2.0,1.25,-4224,6.634870563577845,5.267532378499715,-4.418267678976424,True,BuyAbsorbed(Bearish)
2026-08-13 08:39:18-07:00,7802.75,7803.0,7802.25,7802.75,172,138,53,119,66,0.75,0.0,-4204,2.3989925911771923,2.1634459863202506,-1.806779858492997,True,BuyAbsorbed(Bearish)
2026-08-13 08:41:21-07:00,7805.25,7805.5,7804.5,7804.75,488,238,159,329,170,1.0,0.5,-3806,9.108116957679073,6.888789218367442,-1.0711524879474628,True,BuyAbsorbed(Bearish)
2026-08-13 08:41:22-07:00,7804.75,7805.25,7804.5,7804.75,170,123,116,54,-62,0.75,0.0,-3868,2.489144991554769,2.022614863700242,-1.8047352311808145,True,SellAbsorbed(Bullish)
2026-08-13 08:46:39-07:00,7805.0,7805.5,7804.75,7805.0,116,64,27,89,62,0.75,0.0,-4264,2.2736937256301513,2.781126484827,-1.817669561572818,True,BuyAbsorbed(Bearish)
2026-08-13 08:49:13-07:00,7801.25,7801.5,7801.0,7801.25,115,100,80,35,-45,0.5,0.0,-4724,2.660639337707652,2.4071829235381528,-1.9152965432306774,True,SellAbsorbed(Bullish)
2026-08-13 08:52:41-07:00,7800.0,7800.25,7799.25,7799.75,299,209,268,31,-237,1.0,0.25,-5206,8.146661400753366,11.399816266252763,-2.4462848678310176,True,SellAbsorbed(Bullish)
2026-08-13 08:52:43-07:00,7799.75,7800.0,7799.0,7799.5,409,186,170,239,69,1.0,0.25,-5150,9.51182393573343,2.8341946582292867,-2.392722874354352,True,BuyAbsorbed(Bearish)
2026-08-13 08:54:46-07:00,7801.0,7801.25,7800.5,7801.0,132,90,117,15,-102,0.75,0.0,-4871,2.3467750818460114,3.6163033443598946,-1.7767691162861436,True,SellAbsorbed(Bullish)
2026-08-13 08:55:21-07:00,7801.5,7802.5,7801.25,7801.5,581,343,142,439,297,1.25,0.0,-4493,10.35906127752493,9.553723992515897,-3.888738367646295,True,BuyAbsorbed(Bearish)
2026-08-13 09:00:22-07:00,7799.75,7800.0,7799.5,7799.75,267,117,204,63,-141,0.5,0.0,-5670,3.774599839170758,4.071287984488823,-2.1722673607258867,True,SellAbsorbed(Bullish)
2026-08-13 09:12:18-07:00,7804.5,7804.75,7804.0,7804.5,94,75,77,17,-60,0.75,0.0,-5621,3.045563787538828,4.629375052915444,-2.2303258901781495,True,SellAbsorbed(Bullish)
2026-08-13 09:12:40-07:00,7803.25,7803.5,7802.75,7803.0,137,111,109,28,-81,0.75,0.25,-5793,4.6695412733017045,5.87697869099941,-1.4102839618990497,True,SellAbsorbed(Bullish)
2026-08-13 09:14:40-07:00,7801.25,7801.5,7800.75,7801.0,138,98,90,48,-42,0.75,0.25,-6203,4.07638827056796,2.0412370677056324,-1.096782925966545,True,SellAbsorbed(Bullish)
2026-08-13 09:25:02-07:00,7804.5,7805.0,7804.25,7804.5,113,85,76,37,-39,0.75,0.0,-6608,4.55526809577673,3.2029379941177942,-2.2500525321930414,True,SellAbsorbed(Bullish)
2026-08-13 09:25:12-07:00,7805.5,7805.75,7805.25,7805.5,92,78,32,60,28,0.5,0.0,-6529,3.427188174531393,2.0332394968182146,-1.8386491931147124,True,BuyAbsorbed(Bearish)
2026-08-13 09:25:31-07:00,7807.0,7807.25,7806.5,7807.0,100,56,13,87,74,0.75,0.0,-6281,3.4668532098919744,6.050542606691125,-1.7037073827614821,True,BuyAbsorbed(Bearish)
2026-08-13 09:25:42-07:00,7807.5,7807.75,7807.25,7807.5,83,48,15,68,53,0.5,0.0,-6204,2.6527997950379665,3.917874823727505,-1.3174963737472014,True,BuyAbsorbed(Bearish)
2026-08-13 09:27:19-07:00,7808.0,7808.5,7808.0,7808.0,123,70,36,87,51,0.5,0.0,-6115,3.961722977469182,3.063253751714685,-1.7286011749435368,True,BuyAbsorbed(Bearish)
2026-08-13 09:27:35-07:00,7808.5,7808.75,7808.25,7808.5,82,64,62,20,-42,0.5,0.0,-6159,2.344532088434137,2.3272386063950217,-1.1481569303675498,True,SellAbsorbed(Bullish)
2026-08-13 09:27:45-07:00,7808.25,7808.5,7808.0,7808.25,112,78,76,36,-40,0.5,0.0,-6200,3.434857514858474,2.164140931141595,-1.2572131049269186,True,SellAbsorbed(Bullish)
