type,price,formation_time,breakout_time,breakout_open,breakout_high,breakout_low,breakout_close,retest_time,retest_open,retest_high,retest_low,retest_close,entry_price,fta,stop_loss
LHPB,2764.75,2015-01-02 00:00:00,2015-01-02 01:00:00,2764.50,2767.25,2764.25,2766.25,2015-01-02 09:00:00,2766.00,2767.25,2764.25,2765.50,2764.75,2766.00,2764.25
LLPB,2769.00,2015-01-02 07:00:00,2015-01-02 08:00:00,2772.00,2772.75,2766.00,2766.00,2015-01-02 14:00:00,2767.25,2772.00,2765.50,2768.00,2769.00,2767.50,2772.75
LLPB,2760.50,2015-01-01 23:00:00,2015-01-02 15:00:00,2767.75,2768.50,2751.00,2755.25,2015-01-02 20:00:00,2753.25,2761.25,2748.75,2756.25,2760.50,2756.75,2768.50
LLPB,2750.75,2015-01-02 21:00:00,2015-01-04 23:00:00,2751.25,2751.75,2744.50,2746.00,2015-01-05 03:00:00,2747.75,2752.50,2747.75,2752.25,2750.75,2749.50,2751.75
LHPB,2747.00,2015-01-05 00:00:00,2015-01-05 01:00:00,2744.50,2749.50,2744.00,2749.00,2015-01-05 07:00:00,2748.75,2749.50,2746.25,2746.75,2747.00,2747.25,2744.00
LLPB,2714.50,2015-01-06 15:00:00,2015-01-06 16:00:00,2714.75,2715.00,2699.75,2701.25,2015-01-06 20:00:00,2707.50,2715.50,2699.75,2700.00,2714.50,2711.50,2715.00
LHPB,2704.25,2015-01-07 00:00:00,2015-01-07 01:00:00,2704.00,2706.50,2703.75,2706.00,2015-01-07 05:00:00,2705.75,2706.25,2703.50,2704.25,2704.25,2704.50,2703.75
LLPB,2717.00,2015-01-06 10:00:00,2015-01-06 15:00:00,2722.00,2729.00,2714.50,2714.75,2015-01-07 13:00:00,2716.50,2719.75,2714.00,2715.50,2717.00,2716.50,2729.00
LLPB,2718.75,2015-01-06 14:00:00,2015-01-06 15:00:00,2722.00,2729.00,2714.50,2714.75,2015-01-07 13:00:00,2716.50,2719.75,2714.00,2715.50,2718.75,2716.50,2729.00
LLPB,2740.25,2015-01-05 13:00:00,2015-01-05 14:00:00,2742.00,2746.00,2732.75,2733.50,2015-01-08 01:00:00,2726.75,2744.00,2726.75,2740.50,2740.25,2737.00,2746.00
LLPB,2732.75,2015-01-05 14:00:00,2015-01-05 15:00:00,2733.25,2737.00,2726.75,2729.75,2015-01-08 01:00:00,2726.75,2744.00,2726.75,2740.50,2732.75,2730.75,2737.00
LLPB,2763.00,2015-01-02 00:00:00,2015-01-02 15:00:00,2767.75,2768.50,2751.00,2755.25,2015-01-08 19:00:00,2756.75,2764.00,2755.75,2761.50,2763.00,2761.75,2768.50
LLPB,2763.25,2015-01-02 11:00:00,2015-01-02 15:00:00,2767.75,2768.50,2751.00,2755.25,2015-01-08 19:00:00,2756.75,2764.00,2755.75,2761.50,2763.25,2761.75,2768.50
LLPB,2764.00,2015-01-02 12:00:00,2015-01-02 15:00:00,2767.75,2768.50,2751.00,2755.25,2015-01-08 19:00:00,2756.75,2764.00,2755.75,2761.50,2764.00,2761.75,2768.50
LHPB,2753.75,2015-01-05 08:00:00,2015-01-08 15:00:00,2749.75,2757.00,2749.75,2756.75,2015-01-09 11:00:00,2757.75,2759.00,2752.75,2754.25,2753.75,2754.25,2749.75
LHPB,2753.50,2015-01-05 09:00:00,2015-01-08 15:00:00,2749.75,2757.00,2749.75,2756.75,2015-01-09 11:00:00,2757.75,2759.00,2752.75,2754.25,2753.50,2754.25,2749.75
LLPB,2764.25,2015-01-02 13:00:00,2015-01-02 15:00:00,2767.75,2768.50,2751.00,2755.25,2015-01-09 13:00:00,2753.25,2767.50,2751.75,2762.75,2764.25,2764.00,2768.50
LLPB,2765.50,2015-01-02 14:00:00,2015-01-02 15:00:00,2767.75,2768.50,2751.00,2755.25,2015-01-09 13:00:00,2753.25,2767.50,2751.75,2762.75,2765.50,2764.00,2768.50
LHPB,2749.50,2015-01-05 11:00:00,2015-01-08 14:00:00,2740.75,2750.00,2740.00,2749.75,2015-01-09 15:00:00,2752.25,2757.75,2741.50,2746.25,2749.50,2749.75,2740.00
LHPB,2749.25,2015-01-05 13:00:00,2015-01-08 14:00:00,2740.75,2750.00,2740.00,2749.75,2015-01-09 15:00:00,2752.25,2757.75,2741.50,2746.25,2749.25,2749.75,2740.00
LHPB,2746.50,2015-01-08 12:00:00,2015-01-08 14:00:00,2740.75,2750.00,2740.00,2749.75,2015-01-09 15:00:00,2752.25,2757.75,2741.50,2746.25,2746.50,2749.75,2740.00
LHPB,2744.00,2015-01-08 13:00:00,2015-01-08 14:00:00,2740.75,2750.00,2740.00,2749.75,2015-01-09 15:00:00,2752.25,2757.75,2741.50,2746.25,2744.00,2749.75,2740.00
LHPB,2750.00,2015-01-08 14:00:00,2015-01-08 15:00:00,2749.75,2757.00,2749.75,2756.75,2015-01-09 15:00:00,2752.25,2757.75,2741.50,2746.25,2750.00,2750.25,2749.75
LLPB,2741.00,2015-01-09 18:00:00,2015-01-09 21:00:00,2743.50,2743.50,2740.00,2740.25,2015-01-11 23:00:00,2740.00,2744.25,2738.00,2738.75,2741.00,,2743.50
LLPB,2742.75,2015-01-09 19:00:00,2015-01-09 21:00:00,2743.50,2743.50,2740.00,2740.25,2015-01-11 23:00:00,2740.00,2744.25,2738.00,2738.75,2742.75,,2743.50
LLPB,2743.25,2015-01-09 20:00:00,2015-01-09 21:00:00,2743.50,2743.50,2740.00,2740.25,2015-01-11 23:00:00,2740.00,2744.25,2738.00,2738.75,2743.25,,2743.50
LLPB,2741.00,2015-01-12 02:00:00,2015-01-12 03:00:00,2741.75,2742.00,2738.25,2739.50,2015-01-12 07:00:00,2740.00,2743.00,2739.75,2742.75,2741.00,2740.50,2742.00
LHPB,2742.00,2015-01-12 03:00:00,2015-01-12 07:00:00,2740.00,2743.00,2739.75,2742.75,2015-01-12 13:00:00,2749.00,2750.25,2742.00,2744.25,2742.00,2742.75,2739.75
LHPB,2725.25,2015-01-07 20:00:00,2015-01-07 21:00:00,2725.00,2727.00,2723.25,2726.00,2015-01-12 14:00:00,2744.50,2747.75,2722.25,2725.25,2725.25,2725.75,2723.25
LHPB,2730.75,2015-01-05 16:00:00,2015-01-08 01:00:00,2726.75,2744.00,2726.75,2740.50,2015-01-12 14:00:00,2744.50,2747.75,2722.25,2725.25,2730.75,2736.00,2726.75
LHPB,2729.75,2015-01-05 17:00:00,2015-01-08 01:00:00,2726.75,2744.00,2726.75,2740.50,2015-01-12 14:00:00,2744.50,2747.75,2722.25,2725.25,2729.75,2736.00,2726.75
LHPB,2729.25,2015-01-07 17:00:00,2015-01-08 01:00:00,2726.75,2744.00,2726.75,2740.50,2015-01-12 14:00:00,2744.50,2747.75,2722.25,2725.25,2729.25,2736.00,2726.75
LHPB,2727.75,2015-01-07 23:00:00,2015-01-08 01:00:00,2726.75,2744.00,2726.75,2740.50,2015-01-12 14:00:00,2744.50,2747.75,2722.25,2725.25,2727.75,2736.00,2726.75
