time_pt,direction,entry,stop,risk_ticks,level_type,confluence_count,R3_target,R3_outcome,R3_pnl_ticks,R3_R,R3_hold_s,PTS5_target,PTS5_outcome,PTS5_pnl_ticks,PTS5_R,PTS5_hold_s,PTS3_target,PTS3_outcome,PTS3_pnl_ticks,PTS3_R,PTS3_hold_s
2026-06-15 07:14:09-07:00,LONG,7606.5,7606.0,2.0,LHPB,2,7608.0,stop,-2.0,-1.0,3,7611.5,stop,-2.0,-1.0,3,7609.5,stop,-2.0,-1.0,3
2026-06-15 09:45:41-07:00,LONG,7639.0,7638.25,3.0,LHPB,2,7641.25,stop,-3.0,-1.0,27,7644.0,stop,-3.0,-1.0,27,7642.0,stop,-3.0,-1.0,27
2026-06-15 11:02:03-07:00,LONG,7630.0,7629.25,3.0,LHPB,2,7632.25,stop,-3.0,-1.0,2,7635.0,stop,-3.0,-1.0,2,7633.0,stop,-3.0,-1.0,2
2026-06-15 11:02:05-07:00,LONG,7629.25,7628.75,2.0,LHPB,2,7630.75,stop,-2.0,-1.0,1,7634.25,stop,-2.0,-1.0,1,7632.25,stop,-2.0,-1.0,1
2026-06-16 07:31:29-07:00,LONG,7606.25,7605.5,3.0,LHPB,2,7608.5,stop,-3.0,-1.0,17,7611.25,stop,-3.0,-1.0,17,7609.25,stop,-3.0,-1.0,17
2026-06-16 08:00:19-07:00,SHORT,7612.75,7613.25,2.0,LLPB,5,7611.25,stop,-2.0,-1.0,7,7607.75,stop,-2.0,-1.0,7,7609.75,stop,-2.0,-1.0,7
2026-06-16 08:03:42-07:00,SHORT,7614.25,7614.75,2.0,LLPB,4,7612.75,stop,-2.0,-1.0,6,7609.25,stop,-2.0,-1.0,6,7611.25,stop,-2.0,-1.0,6
2026-06-16 08:06:04-07:00,SHORT,7617.0,7617.5,2.0,LLPB,3,7615.5,stop,-2.0,-1.0,1,7612.0,stop,-2.0,-1.0,1,7614.0,stop,-2.0,-1.0,1
2026-06-16 08:10:53-07:00,SHORT,7618.25,7618.75,2.0,LLPB,2,7616.75,stop,-2.0,-1.0,2,7613.25,stop,-2.0,-1.0,2,7615.25,stop,-2.0,-1.0,2
2026-06-16 08:10:55-07:00,SHORT,7618.5,7619.0,2.0,LLPB,2,7617.0,stop,-2.0,-1.0,1,7613.5,stop,-2.0,-1.0,1,7615.5,stop,-2.0,-1.0,1
2026-06-17 07:00:23-07:00,SHORT,7582.25,7583.0,3.0,LLPB,2,7580.0,stop,-3.0,-1.0,4,7577.25,stop,-3.0,-1.0,4,7579.25,stop,-3.0,-1.0,4
2026-06-19 03:22:26-07:00,LONG,7549.75,7549.0,3.0,LHPB,2,7552.0,stop,-3.0,-1.0,22,7554.75,stop,-3.0,-1.0,22,7552.75,stop,-3.0,-1.0,22
2026-06-21 18:04:03-07:00,SHORT,7552.25,7553.75,6.0,LLPB,3,7547.75,stop,-6.0,-1.0,59,7547.25,stop,-6.0,-1.0,59,7549.25,stop,-6.0,-1.0,59
2026-06-22 07:17:33-07:00,LONG,7583.25,7582.75,2.0,LHPB,2,7584.75,stop,-2.0,-1.0,2,7588.25,stop,-2.0,-1.0,2,7586.25,stop,-2.0,-1.0,2
2026-06-22 07:31:51-07:00,LONG,7550.75,7550.25,2.0,LHPB,2,7552.25,stop,-2.0,-1.0,3,7555.75,stop,-2.0,-1.0,3,7553.75,stop,-2.0,-1.0,3
2026-06-22 08:41:06-07:00,SHORT,7552.25,7552.75,2.0,LLPB,3,7550.75,stop,-2.0,-1.0,15,7547.25,stop,-2.0,-1.0,15,7549.25,stop,-2.0,-1.0,15
2026-06-22 08:41:53-07:00,SHORT,7553.5,7554.0,2.0,LLPB,3,7552.0,stop,-2.0,-1.0,7,7548.5,stop,-2.0,-1.0,7,7550.5,stop,-2.0,-1.0,7
2026-06-23 06:53:09-07:00,SHORT,7465.25,7466.0,3.0,LLPB,2,7463.0,target,9.0,3.0,7,7460.25,target,20.0,6.667,102,7462.25,target,12.0,4.0,11
2026-06-23 06:59:21-07:00,SHORT,7465.25,7466.5,5.0,LLPB,2,7461.5,stop,-5.0,-1.0,36,7460.25,stop,-5.0,-1.0,36,7462.25,stop,-5.0,-1.0,36
2026-06-24 12:07:04-07:00,LONG,7407.5,7406.75,3.0,LHPB,3,7409.75,stop,-3.0,-1.0,1,7412.5,stop,-3.0,-1.0,1,7410.5,stop,-3.0,-1.0,1
2026-06-24 12:07:06-07:00,LONG,7406.25,7405.5,3.0,LHPB,3,7408.5,stop,-3.0,-1.0,8,7411.25,stop,-3.0,-1.0,8,7409.25,stop,-3.0,-1.0,8
2026-06-25 07:52:38-07:00,SHORT,7471.25,7472.25,4.0,LLPB,2,7468.25,stop,-4.0,-1.0,1,7466.25,stop,-4.0,-1.0,1,7468.25,stop,-4.0,-1.0,1
2026-06-25 07:52:39-07:00,SHORT,7472.25,7473.25,4.0,LLPB,2,7469.25,stop,-4.0,-1.0,2,7467.25,stop,-4.0,-1.0,2,7469.25,stop,-4.0,-1.0,2
2026-06-26 07:05:11-07:00,SHORT,7416.5,7417.25,3.0,LLPB,2,7414.25,stop,-3.0,-1.0,6,7411.5,stop,-3.0,-1.0,6,7413.5,stop,-3.0,-1.0,6
2026-06-30 10:38:21-07:00,LONG,7550.0,7549.5,2.0,LHPB,2,7551.5,stop,-2.0,-1.0,2,7555.0,stop,-2.0,-1.0,2,7553.0,stop,-2.0,-1.0,2
2026-07-01 04:41:18-07:00,LONG,7533.75,7533.0,3.0,LHPB,2,7536.0,stop,-3.0,-1.0,15,7538.75,stop,-3.0,-1.0,15,7536.75,stop,-3.0,-1.0,15
2026-07-01 10:06:08-07:00,LONG,7555.0,7554.5,2.0,LHPB,2,7556.5,target,6.0,3.0,3,7560.0,stop,-2.0,-1.0,15,7558.0,stop,-2.0,-1.0,15
2026-07-01 11:15:04-07:00,LONG,7555.25,7554.75,2.0,LHPB,2,7556.75,stop,-2.0,-1.0,2,7560.25,stop,-2.0,-1.0,2,7558.25,stop,-2.0,-1.0,2
2026-07-01 11:54:46-07:00,LONG,7549.5,7549.0,2.0,LHPB,2,7551.0,target,6.0,3.0,20,7554.5,target,20.0,10.0,321,7552.5,target,12.0,6.0,191
2026-07-02 11:04:04-07:00,SHORT,7487.5,7488.0,2.0,LLPB,4,7486.0,stop,-2.0,-1.0,1,7482.5,stop,-2.0,-1.0,1,7484.5,stop,-2.0,-1.0,1
2026-07-02 11:04:05-07:00,SHORT,7488.0,7489.0,4.0,LLPB,4,7485.0,stop,-4.0,-1.0,32,7483.0,stop,-4.0,-1.0,32,7485.0,stop,-4.0,-1.0,32
2026-07-02 11:05:09-07:00,SHORT,7490.5,7491.0,2.0,LLPB,3,7489.0,stop,-2.0,-1.0,2,7485.5,stop,-2.0,-1.0,2,7487.5,stop,-2.0,-1.0,2
2026-07-07 09:06:19-07:00,SHORT,7558.0,7558.5,2.0,LLPB,2,7556.5,target,6.0,3.0,7,7553.0,target,20.0,10.0,70,7555.0,target,12.0,6.0,37
2026-07-07 10:08:02-07:00,SHORT,7570.5,7571.25,3.0,LLPB,2,7568.25,stop,-3.0,-1.0,19,7565.5,stop,-3.0,-1.0,19,7567.5,stop,-3.0,-1.0,19
