time_pt,direction,trigger_close,tested_price,volume,delta,vol_z,run_delta_sum,reject_ticks,level_type,confluence_count,confluence_prices,nearest_level_ticks
2026-08-04 06:00:21-07:00,LONG,7650.5,7650.25,84,-60,5.36,-73.0,1.0,LHPB,3,7647.75;7648.00;7650.00,1.0
2026-08-06 10:00:02-07:00,SHORT,7740.25,7740.5,242,134,4.95,201.0,1.0,LLPB,2,7740.25;7745.25,1.0
2026-08-07 05:39:43-07:00,SHORT,7775.25,7775.75,98,44,1.82,80.0,2.0,LLPB,2,7775.75;7776.00,0.0
2026-08-07 06:01:10-07:00,LONG,7771.25,7771.0,123,-39,4.26,-117.0,1.0,LHPB,3,7768.50;7770.75;7771.50,1.0
2026-08-07 07:12:10-07:00,LONG,7744.25,7744.0,419,-129,4.0,-209.0,1.0,LHPB,2,7740.00;7743.75,1.0
2026-08-11 06:30:53-07:00,LONG,7785.25,7785.0,551,-385,1.73,-448.0,1.0,LHPB,2,7780.50;7784.50,2.0
2026-08-11 09:00:02-07:00,SHORT,7766.25,7766.5,134,58,4.58,72.0,1.0,LLPB,4,7766.50;7767.75;7770.00;7771.50,0.0
2026-08-11 09:00:04-07:00,SHORT,7766.75,7767.0,121,81,3.52,143.0,1.0,LLPB,5,7766.50;7767.75;7770.00;7771.50;7771.75,2.0
2026-08-11 09:00:14-07:00,SHORT,7767.25,7767.75,154,108,4.01,135.0,2.0,LLPB,4,7767.75;7770.00;7771.50;7771.75,0.0
2026-08-12 06:32:19-07:00,LONG,7774.75,7774.25,387,-215,2.46,-709.0,2.0,LHPB,2,7771.50;7773.75,2.0
2026-08-12 06:33:00-07:00,LONG,7772.0,7771.75,315,-203,1.96,-450.0,1.0,LHPB,2,7771.50;7773.75,1.0
2026-08-13 08:59:11-07:00,LONG,7798.25,7797.75,680,-276,5.26,-565.0,2.0,LHPB,4,7794.00;7795.25;7796.00;7798.00,1.0
