time_pt,direction,trigger_close,tested_price,volume,delta,vol_z,run_delta_sum,reject_ticks,level_type,confluence_count,confluence_prices,nearest_level_ticks
2026-06-15 07:14:09-07:00,LONG,7606.5,7606.25,287,-169,6.03,-210.0,1.0,LHPB,2,7603.00;7605.75,2.0
2026-06-15 09:45:41-07:00,LONG,7639.0,7638.5,197,-117,5.26,-146.0,2.0,LHPB,2,7636.25;7639.00,2.0
2026-06-15 11:02:03-07:00,LONG,7630.0,7629.5,143,-41,2.55,-172.0,2.0,LHPB,2,7625.75;7629.00,2.0
2026-06-15 11:02:05-07:00,LONG,7629.25,7629.0,199,-153,3.44,-195.0,1.0,LHPB,2,7625.75;7629.00,0.0
2026-06-16 07:31:29-07:00,LONG,7606.25,7605.75,157,-47,1.85,-138.0,2.0,LHPB,2,7603.00;7605.75,0.0
2026-06-16 08:00:19-07:00,SHORT,7612.75,7613.0,237,151,4.14,178.0,1.0,LLPB,5,7613.50;7613.75;7615.00;7616.00;7617.00,2.0
2026-06-16 08:03:42-07:00,SHORT,7614.25,7614.5,109,15,2.29,65.0,1.0,LLPB,4,7615.00;7616.00;7617.00;7618.75,2.0
2026-06-16 08:06:04-07:00,SHORT,7617.0,7617.25,132,52,2.37,69.0,1.0,LLPB,3,7617.00;7618.75;7620.50,1.0
2026-06-16 08:10:53-07:00,SHORT,7618.25,7618.5,100,76,2.96,95.0,1.0,LLPB,2,7618.75;7620.50,1.0
2026-06-16 08:10:55-07:00,SHORT,7618.5,7618.75,89,3,2.3,84.0,1.0,LLPB,2,7618.75;7620.50,0.0
2026-06-17 07:00:23-07:00,SHORT,7582.25,7582.75,229,91,2.64,137.0,2.0,LLPB,2,7583.00;7586.25,1.0
2026-06-19 03:22:26-07:00,LONG,7549.75,7549.25,208,-160,7.57,-161.0,2.0,LHPB,2,7548.50;7549.25,0.0
2026-06-21 18:04:03-07:00,SHORT,7552.25,7553.5,619,449,7.6,461.0,5.0,LLPB,3,7553.50;7554.00;7558.50,0.0
2026-06-22 07:17:33-07:00,LONG,7583.25,7583.0,203,-63,3.49,-134.0,1.0,LHPB,2,7580.00;7583.00,0.0
2026-06-22 07:31:51-07:00,LONG,7550.75,7550.5,292,-84,2.6,-107.0,1.0,LHPB,2,7547.50;7550.75,1.0
2026-06-22 08:41:06-07:00,SHORT,7552.25,7552.5,163,75,2.85,104.0,1.0,LLPB,3,7552.50;7554.25;7554.75,0.0
2026-06-22 08:41:53-07:00,SHORT,7553.5,7553.75,181,59,2.67,106.0,1.0,LLPB,3,7554.25;7554.75;7558.50,2.0
2026-06-23 06:53:09-07:00,SHORT,7465.25,7465.75,231,101,2.49,256.0,2.0,LLPB,2,7466.25;7467.00,2.0
2026-06-23 06:59:21-07:00,SHORT,7465.25,7466.25,390,118,5.0,206.0,4.0,LLPB,2,7466.25;7467.00,0.0
2026-06-24 12:07:04-07:00,LONG,7407.5,7407.0,144,-30,2.16,-197.0,2.0,LHPB,3,7403.75;7405.75;7406.75,1.0
2026-06-24 12:07:06-07:00,LONG,7406.25,7405.75,141,-13,1.55,-135.0,2.0,LHPB,3,7403.75;7405.75;7406.75,0.0
2026-06-25 07:52:38-07:00,SHORT,7471.25,7472.0,197,29,1.94,85.0,3.0,LLPB,2,7472.25;7472.50,1.0
2026-06-25 07:52:39-07:00,SHORT,7472.25,7473.0,405,283,4.27,338.0,3.0,LLPB,2,7472.25;7472.50,2.0
2026-06-26 07:05:11-07:00,SHORT,7416.5,7417.0,209,95,2.52,110.0,2.0,LLPB,2,7417.25;7418.75,1.0
2026-06-30 10:38:21-07:00,LONG,7550.0,7549.75,77,-67,1.73,-210.0,1.0,LHPB,2,7547.75;7549.50,1.0
2026-07-01 04:41:18-07:00,LONG,7533.75,7533.25,114,-80,6.21,-125.0,2.0,LHPB,2,7531.25;7532.75,2.0
2026-07-01 10:06:08-07:00,LONG,7555.0,7554.75,213,-93,3.41,-278.0,1.0,LHPB,2,7550.75;7554.50,1.0
2026-07-01 11:15:04-07:00,LONG,7555.25,7555.0,86,-14,2.48,-120.0,1.0,LHPB,2,7550.75;7554.50,2.0
2026-07-01 11:54:46-07:00,LONG,7549.5,7549.25,305,-145,6.42,-146.0,1.0,LHPB,2,7545.75;7549.25,0.0
2026-07-02 11:04:04-07:00,SHORT,7487.5,7487.75,96,14,2.55,106.0,1.0,LLPB,4,7488.25;7490.25;7491.50;7492.25,2.0
2026-07-02 11:04:05-07:00,SHORT,7488.0,7488.75,267,21,5.81,111.0,3.0,LLPB,4,7488.25;7490.25;7491.50;7492.25,2.0
2026-07-02 11:05:09-07:00,SHORT,7490.5,7490.75,195,51,5.31,73.0,1.0,LLPB,3,7490.25;7491.50;7492.25,2.0
2026-07-07 09:06:19-07:00,SHORT,7558.0,7558.25,161,91,2.35,172.0,1.0,LLPB,2,7558.50;7560.50,1.0
2026-07-07 10:08:02-07:00,SHORT,7570.5,7571.0,250,136,4.53,161.0,2.0,LLPB,2,7571.25;7572.00,1.0
2026-07-08 10:24:11-07:00,SHORT,7529.0,7529.5,128,38,2.68,94.0,2.0,LLPB,3,7529.50;7531.25;7532.00,0.0
