time_pt,direction,trigger_close,tested_price,volume,delta,vol_z,run_delta_sum,reject_ticks,level_type,confluence_count,confluence_prices,true_positive,hist_confluence_count,hist_confluence_prices,hist_true_positive
2026-08-13 08:02:06-07:00,LONG,7826.0,7825.75,129,-19,2.44,-63.0,1.0,LHPB,1,7821.50,False,1,7821.50,False
2026-08-13 08:02:18-07:00,LONG,7824.75,7824.5,279,-205,3.47,-432.0,1.0,LHPB,1,7821.50,False,2,7820.25;7821.50,True
2026-08-13 08:04:04-07:00,SHORT,7819.75,7820.0,219,59,1.51,92.0,1.0,LLPB,0,,False,1,7818.00,False
2026-08-13 08:04:16-07:00,LONG,7819.25,7818.75,458,-82,3.73,-240.0,2.0,LHPB,1,7821.50,False,3,7818.75;7820.25;7821.50,True
2026-08-13 08:05:05-07:00,SHORT,7819.0,7819.5,227,91,2.14,144.0,2.0,LLPB,0,,False,1,7818.00,False
2026-08-13 08:07:05-07:00,LONG,7817.25,7817.0,116,-34,1.73,-63.0,1.0,LHPB,1,7821.50,False,3,7818.75;7820.25;7821.50,True
2026-08-13 08:07:11-07:00,LONG,7816.75,7816.25,119,-31,1.66,-102.0,2.0,LHPB,0,,False,2,7818.75;7820.25,True
2026-08-13 08:07:15-07:00,LONG,7816.25,7816.0,129,-27,1.85,-66.0,1.0,LHPB,0,,False,2,7818.75;7820.25,True
2026-08-13 08:08:17-07:00,LONG,7814.0,7813.75,218,-72,1.64,-115.0,1.0,LHPB,0,,False,1,7818.75,False
2026-08-13 08:08:45-07:00,LONG,7814.75,7814.5,258,-210,1.79,-222.0,1.0,LHPB,0,,False,1,7818.75,False
2026-08-13 08:10:40-07:00,SHORT,7817.5,7817.75,110,64,1.88,83.0,1.0,LLPB,0,,False,1,7818.00,False
2026-08-13 08:11:27-07:00,LONG,7816.25,7816.0,209,-61,4.41,-80.0,1.0,LHPB,0,,False,2,7818.75;7820.25,True
