time_pt,direction,entry,level_type,confluence_count,vol_z,mfe_pts,mae_before_peak_pts,time_to_peak_s
2026-06-15 07:14:09-07:00,LONG,7606.5,LHPB,2,6.03,22.75,1.0,3385
2026-06-15 09:45:41-07:00,LONG,7639.0,LHPB,2,5.26,7.5,6.25,2550
2026-06-15 11:02:03-07:00,LONG,7630.0,LHPB,2,2.55,6.5,4.5,2597
2026-06-15 11:02:05-07:00,LONG,7629.25,LHPB,2,3.44,7.25,3.75,2595
2026-06-16 07:31:29-07:00,LONG,7606.25,LHPB,2,1.85,15.25,2.25,604
2026-06-16 08:00:19-07:00,SHORT,7612.75,LLPB,5,4.14,13.75,6.75,2819
2026-06-16 08:03:42-07:00,SHORT,7614.25,LLPB,4,2.29,15.25,5.25,2616
2026-06-16 08:06:04-07:00,SHORT,7617.0,LLPB,3,2.37,18.0,2.5,2474
2026-06-16 08:10:53-07:00,SHORT,7618.25,LLPB,2,2.96,19.25,1.25,2185
2026-06-16 08:10:55-07:00,SHORT,7618.5,LLPB,2,2.3,19.5,1.0,2183
2026-06-17 07:00:23-07:00,SHORT,7582.25,LLPB,2,2.64,22.0,22.0,2835
2026-06-19 03:22:26-07:00,LONG,7549.75,LHPB,2,7.57,0.5,0.25,1
2026-06-21 18:04:03-07:00,SHORT,7552.25,LLPB,3,7.6,5.0,5.0,3504
2026-06-22 07:17:33-07:00,LONG,7583.25,LHPB,2,3.49,2.25,4.0,99
2026-06-22 07:31:51-07:00,LONG,7550.75,LHPB,2,2.6,5.5,4.75,235
2026-06-22 08:41:06-07:00,SHORT,7552.25,LLPB,3,2.85,20.25,7.0,1391
2026-06-22 08:41:53-07:00,SHORT,7553.5,LLPB,3,2.67,21.5,5.75,1344
2026-06-23 06:53:09-07:00,SHORT,7465.25,LLPB,2,2.49,10.75,0.25,208
2026-06-23 06:59:21-07:00,SHORT,7465.25,LLPB,2,5.0,5.5,26.0,3373
2026-06-24 12:07:04-07:00,LONG,7407.5,LHPB,3,2.16,57.0,3.5,3546
2026-06-24 12:07:06-07:00,LONG,7406.25,LHPB,3,1.55,58.25,2.25,3544
2026-06-25 07:52:38-07:00,SHORT,7471.25,LLPB,2,1.94,57.0,4.5,1442
2026-06-25 07:52:39-07:00,SHORT,7472.25,LLPB,2,4.27,58.0,3.5,1441
2026-06-26 07:05:11-07:00,SHORT,7416.5,LLPB,2,2.52,7.5,19.75,2113
2026-06-30 10:38:21-07:00,LONG,7550.0,LHPB,2,1.73,8.5,1.5,2615
2026-07-01 04:41:18-07:00,LONG,7533.75,LHPB,2,6.21,5.0,6.5,3158
2026-07-01 10:06:08-07:00,LONG,7555.0,LHPB,2,3.41,13.75,0.5,1153
2026-07-01 11:15:04-07:00,LONG,7555.25,LHPB,2,2.48,6.5,6.0,3255
2026-07-01 11:54:46-07:00,LONG,7549.5,LHPB,2,6.42,12.25,0.25,873
2026-07-02 11:04:04-07:00,SHORT,7487.5,LLPB,4,2.55,1.0,1.25,12
2026-07-02 11:04:05-07:00,SHORT,7488.0,LLPB,4,5.81,1.5,0.25,11
2026-07-02 11:05:09-07:00,SHORT,7490.5,LLPB,3,5.31,0.5,0.25,1
2026-07-07 09:06:19-07:00,SHORT,7558.0,LLPB,2,2.35,8.25,0.25,128
2026-07-07 10:08:02-07:00,SHORT,7570.5,LLPB,2,4.53,8.75,0.75,537
2026-07-08 10:24:11-07:00,SHORT,7529.0,LLPB,3,2.68,14.5,7.75,1926
2026-07-08 10:25:02-07:00,SHORT,7530.75,LLPB,2,1.57,16.25,6.0,1875
2026-07-09 05:06:39-07:00,SHORT,7546.0,LLPB,2,4.21,2.5,8.5,2455
2026-07-09 07:06:44-07:00,LONG,7559.0,LHPB,2,1.59,7.25,29.5,3573
2026-07-09 07:06:46-07:00,LONG,7558.25,LHPB,2,4.26,9.0,28.75,3599
2026-07-10 07:33:00-07:00,LONG,7565.25,LHPB,2,1.71,41.75,12.75,3277
2026-07-12 22:09:03-07:00,SHORT,7580.75,LLPB,2,4.99,14.5,3.5,1291
2026-07-14 17:05:36-07:00,LONG,7598.75,LHPB,2,2.98,6.0,1.0,898
2026-07-16 12:02:30-07:00,SHORT,7574.75,LLPB,2,6.19,26.5,1.5,2819
2026-07-17 07:05:10-07:00,SHORT,7524.5,LLPB,3,2.03,18.0,14.5,3598
2026-07-20 05:02:28-07:00,LONG,7528.0,LHPB,2,2.28,4.0,7.0,1687
2026-07-22 07:19:26-07:00,LONG,7540.5,LHPB,3,5.49,12.5,12.0,3099
2026-07-22 07:27:32-07:00,LONG,7533.0,LHPB,2,2.15,26.75,4.5,3575
2026-07-23 00:11:03-07:00,LONG,7503.25,LHPB,2,4.41,10.25,5.0,918
2026-07-28 06:30:00-07:00,LONG,7448.25,LHPB,2,7.4,4.5,1.5,12
2026-07-28 06:30:01-07:00,LONG,7447.5,LHPB,2,2.8,5.25,0.25,11
2026-07-28 09:31:00-07:00,LONG,7467.5,LHPB,2,4.02,18.25,0.75,1552
2026-07-28 16:47:08-07:00,SHORT,7485.5,LLPB,2,6.05,1.5,2.75,83
2026-07-28 16:47:09-07:00,SHORT,7485.75,LLPB,2,3.93,1.75,2.5,82
2026-07-28 17:02:14-07:00,SHORT,7497.75,LLPB,2,4.68,12.5,3.25,3390
2026-07-28 18:10:30-07:00,LONG,7477.75,LHPB,2,5.87,3.5,9.0,1002
2026-07-29 07:02:48-07:00,SHORT,7436.5,LLPB,2,4.24,43.5,3.0,2491
2026-07-29 10:12:52-07:00,SHORT,7416.5,LLPB,3,5.7,8.0,12.0,1088
2026-07-29 10:13:04-07:00,SHORT,7419.25,LLPB,2,3.48,10.75,9.25,1076
2026-07-29 10:13:05-07:00,SHORT,7418.5,LLPB,2,4.13,10.0,10.0,1075
2026-07-29 11:47:44-07:00,SHORT,7476.25,LLPB,2,3.24,117.5,6.5,3600
2026-07-29 13:01:04-07:00,SHORT,7355.25,LLPB,2,1.87,31.25,0.5,1571
2026-08-04 06:00:21-07:00,LONG,7650.5,LHPB,3,5.36,36.25,1.25,3275
2026-08-06 10:00:02-07:00,SHORT,7740.25,LLPB,2,4.95,13.75,1.5,1805
2026-08-07 05:39:43-07:00,SHORT,7775.25,LLPB,2,1.82,22.0,3.75,2963
2026-08-07 06:01:10-07:00,LONG,7771.25,LHPB,3,4.26,1.0,2.25,137
2026-08-07 07:12:10-07:00,LONG,7744.25,LHPB,2,4.0,37.5,0.75,3552
2026-08-11 06:30:53-07:00,LONG,7785.25,LHPB,2,1.73,1.75,0.0,3
2026-08-11 09:00:02-07:00,SHORT,7766.25,LLPB,4,4.58,10.75,3.75,3506
2026-08-11 09:00:04-07:00,SHORT,7766.75,LLPB,5,3.52,11.25,3.25,3504
2026-08-11 09:00:14-07:00,SHORT,7767.25,LLPB,4,4.01,11.75,2.75,3494
2026-08-12 06:32:19-07:00,LONG,7774.75,LHPB,2,2.46,6.5,6.75,1053
2026-08-12 06:33:00-07:00,LONG,7772.0,LHPB,2,1.96,9.25,4.0,1012
2026-08-13 08:59:11-07:00,LONG,7798.25,LHPB,4,5.26,14.25,0.5,3121
