stop_pts,target_pts,rr,closed,wins,losses,open,win_rate,total_pts,avg_R,total_R
0.75,3.0,4.0,73,13,60,0,0.178,-6.0,-0.11,-8.0
0.75,4.0,5.33,73,12,61,0,0.164,2.25,0.041,3.0
0.75,5.0,6.67,73,12,61,0,0.164,14.25,0.26,19.0
0.75,6.0,8.0,73,11,62,0,0.151,19.5,0.356,26.0
0.75,8.0,10.67,73,8,65,0,0.11,15.25,0.279,20.33
0.75,10.0,13.33,73,6,67,0,0.082,9.75,0.178,13.0
0.75,12.0,16.0,73,4,69,0,0.055,-3.75,-0.068,-5.0
0.75,15.0,20.0,71,1,70,2,0.014,-37.5,-0.704,-50.0
1.0,3.0,3.0,73,16,57,0,0.219,-9.0,-0.123,-9.0
1.0,4.0,4.0,73,15,58,0,0.205,2.0,0.027,2.0
1.0,5.0,5.0,73,15,58,0,0.205,17.0,0.233,17.0
1.0,6.0,6.0,73,14,59,0,0.192,25.0,0.342,25.0
1.0,8.0,8.0,73,11,62,0,0.151,26.0,0.356,26.0
1.0,10.0,10.0,72,8,64,1,0.111,16.0,0.222,16.0
1.0,12.0,12.0,72,6,66,1,0.083,6.0,0.083,6.0
1.0,15.0,15.0,70,3,67,3,0.043,-22.0,-0.314,-22.0
1.5,3.0,2.0,73,24,49,0,0.329,-1.5,-0.014,-1.0
1.5,4.0,2.67,73,21,52,0,0.288,6.0,0.055,4.0
1.5,5.0,3.33,73,21,52,0,0.288,27.0,0.247,18.0
1.5,6.0,4.0,73,20,53,0,0.274,40.5,0.37,27.0
1.5,8.0,5.33,73,15,58,0,0.205,33.0,0.301,22.0
1.5,10.0,6.67,72,12,60,1,0.167,30.0,0.278,20.0
1.5,12.0,8.0,72,10,62,1,0.139,27.0,0.25,18.0
1.5,15.0,10.0,70,7,63,3,0.1,10.5,0.1,7.0
2.0,3.0,1.5,73,31,42,0,0.425,9.0,0.062,4.5
2.0,4.0,2.0,73,28,45,0,0.384,22.0,0.151,11.0
2.0,5.0,2.5,73,26,47,0,0.356,36.0,0.247,18.0
2.0,6.0,3.0,73,25,48,0,0.342,54.0,0.37,27.0
2.0,8.0,4.0,73,18,55,0,0.247,34.0,0.233,17.0
2.0,10.0,5.0,71,14,57,2,0.197,26.0,0.183,13.0
2.0,12.0,6.0,71,12,59,2,0.169,26.0,0.183,13.0
2.0,15.0,7.5,68,8,60,5,0.118,0.0,0.0,0.0
2.5,3.0,1.2,73,33,40,0,0.452,-1.0,-0.005,-0.4
2.5,4.0,1.6,73,29,44,0,0.397,6.0,0.033,2.4
2.5,5.0,2.0,73,28,45,0,0.384,27.5,0.151,11.0
2.5,6.0,2.4,73,26,47,0,0.356,38.5,0.211,15.4
2.5,8.0,3.2,73,20,53,0,0.274,27.5,0.151,11.0
2.5,10.0,4.0,71,16,55,2,0.225,22.5,0.127,9.0
2.5,12.0,4.8,71,14,57,2,0.197,25.5,0.144,10.2
2.5,15.0,6.0,68,10,58,5,0.147,5.0,0.029,2.0
3.0,3.0,1.0,73,34,39,0,0.466,-15.0,-0.068,-5.0
3.0,4.0,1.33,73,31,42,0,0.425,-2.0,-0.009,-0.67
3.0,5.0,1.67,73,30,43,0,0.411,21.0,0.096,7.0
3.0,6.0,2.0,73,28,45,0,0.384,33.0,0.151,11.0
3.0,8.0,2.67,73,22,51,0,0.301,23.0,0.105,7.67
3.0,10.0,3.33,71,18,53,2,0.254,21.0,0.099,7.0
3.0,12.0,4.0,70,15,55,3,0.214,15.0,0.071,5.0
3.0,15.0,5.0,67,11,56,6,0.164,-3.0,-0.015,-1.0
4.0,3.0,0.75,73,41,32,0,0.562,-5.0,-0.017,-1.25
4.0,4.0,1.0,73,39,34,0,0.534,20.0,0.068,5.0
4.0,5.0,1.25,73,38,35,0,0.521,50.0,0.171,12.5
4.0,6.0,1.5,73,34,39,0,0.466,48.0,0.164,12.0
4.0,8.0,2.0,72,30,42,1,0.417,72.0,0.25,18.0
4.0,10.0,2.5,70,26,44,3,0.371,84.0,0.3,21.0
4.0,12.0,3.0,67,21,46,6,0.313,68.0,0.254,17.0
4.0,15.0,3.75,62,15,47,11,0.242,37.0,0.149,9.25
5.0,3.0,0.6,73,44,29,0,0.603,-13.0,-0.036,-2.6
5.0,4.0,0.8,73,41,32,0,0.562,4.0,0.011,0.8
5.0,5.0,1.0,73,40,33,0,0.548,35.0,0.096,7.0
5.0,6.0,1.2,73,36,37,0,0.493,31.0,0.085,6.2
5.0,8.0,1.6,71,32,39,2,0.451,61.0,0.172,12.2
5.0,10.0,2.0,69,28,41,4,0.406,75.0,0.217,15.0
5.0,12.0,2.4,66,23,43,7,0.348,61.0,0.185,12.2
5.0,15.0,3.0,61,17,44,12,0.279,35.0,0.115,7.0
