time_pt,vol_z,volume,run_delta_sum,confluence_count,mfe_pts,big_win,followup_move_5s,followup_vol_5s,followup_move_10s,followup_vol_10s,followup_move_30s,followup_vol_30s
2026-06-15 07:14:09-07:00,6.03,287,210.0,2,22.75,True,0.5,395.0,-0.25,708.0,3.25,1835.0
2026-06-15 09:45:41-07:00,5.26,197,146.0,2,7.5,False,0.0,104.0,0.0,210.0,-0.5,618.0
2026-06-15 11:02:03-07:00,2.55,143,172.0,2,6.5,False,-1.5,414.0,-1.0,745.0,-1.25,1538.0
2026-06-15 11:02:05-07:00,3.44,199,195.0,2,7.25,False,-0.75,319.0,-0.75,633.0,-0.75,1361.0
2026-06-16 07:31:29-07:00,1.85,157,138.0,2,15.25,True,1.0,481.0,0.75,861.0,-0.5,2467.0
2026-06-16 08:00:19-07:00,4.14,237,178.0,5,13.75,True,0.5,192.0,-0.0,367.0,1.25,1262.0
2026-06-16 08:03:42-07:00,2.29,109,65.0,4,15.25,True,-0.0,107.0,-0.25,377.0,-0.5,1696.0
2026-06-16 08:06:04-07:00,2.37,132,69.0,3,18.0,True,-0.75,400.0,0.25,696.0,1.0,1445.0
2026-06-16 08:10:53-07:00,2.96,100,95.0,2,19.25,True,-0.75,294.0,-0.25,628.0,0.25,1217.0
2026-06-16 08:10:55-07:00,2.3,89,84.0,2,19.5,True,-0.5,284.0,0.5,603.0,0.5,1172.0
2026-06-17 07:00:23-07:00,2.64,229,137.0,2,22.0,True,-0.5,526.0,-1.75,1071.0,-1.25,2972.0
2026-06-19 03:22:26-07:00,7.57,208,161.0,2,0.5,False,0.0,43.0,0.25,50.0,-0.5,102.0
2026-06-21 18:04:03-07:00,7.6,619,461.0,3,5.0,False,-0.25,30.0,-0.75,74.0,-0.0,134.0
2026-06-22 07:17:33-07:00,3.49,203,134.0,2,2.25,False,0.0,508.0,-1.0,799.0,-2.25,2871.0
2026-06-22 07:31:51-07:00,2.6,292,107.0,2,5.5,False,-0.5,443.0,1.25,1050.0,-0.75,4366.0
2026-06-22 08:41:06-07:00,2.85,163,104.0,3,20.25,True,0.25,267.0,0.25,365.0,-0.5,1193.0
2026-06-22 08:41:53-07:00,2.67,181,106.0,3,21.5,True,-0.25,261.0,-0.5,444.0,-1.5,1284.0
2026-06-23 06:53:09-07:00,2.49,231,256.0,2,10.75,True,1.5,570.0,2.25,1123.0,0.5,2931.0
2026-06-23 06:59:21-07:00,5.0,390,206.0,2,5.5,False,1.0,322.0,2.25,688.0,1.5,1860.0
2026-06-24 12:07:04-07:00,2.16,144,197.0,3,57.0,True,-1.25,703.0,-1.75,1178.0,-1.25,2808.0
2026-06-24 12:07:06-07:00,1.55,141,135.0,3,58.25,True,0.0,457.0,-0.5,1044.0,0.25,2504.0
2026-06-25 07:52:38-07:00,1.94,197,85.0,2,57.0,True,-3.5,1107.0,-3.25,1520.0,-1.75,2565.0
2026-06-25 07:52:39-07:00,4.27,405,338.0,2,58.0,True,-2.25,761.0,-2.25,1192.0,-1.25,2185.0
2026-06-26 07:05:11-07:00,2.52,209,110.0,2,7.5,False,-0.25,480.0,-2.0,1225.0,-2.25,3256.0
2026-06-30 10:38:21-07:00,1.73,77,210.0,2,8.5,True,-0.5,232.0,-0.75,326.0,-0.25,794.0
2026-07-01 04:41:18-07:00,6.21,114,125.0,2,5.0,False,0.0,15.0,0.5,34.0,-0.75,161.0
2026-07-01 10:06:08-07:00,3.41,213,278.0,2,13.75,True,0.5,325.0,0.75,589.0,0.25,1593.0
2026-07-01 11:15:04-07:00,2.48,86,120.0,2,6.5,False,-0.5,385.0,-0.75,702.0,-2.25,1860.0
2026-07-01 11:54:46-07:00,6.42,305,146.0,2,12.25,True,0.25,332.0,0.25,425.0,1.25,1112.0
2026-07-02 11:04:04-07:00,2.55,96,106.0,4,1.0,False,0.25,387.0,0.5,529.0,-1.0,1020.0
2026-07-02 11:04:05-07:00,5.81,267,111.0,4,1.5,False,0.75,148.0,1.0,265.0,-0.75,769.0
2026-07-02 11:05:09-07:00,5.31,195,73.0,3,0.5,False,-0.75,320.0,-1.5,614.0,-3.0,1821.0
2026-07-07 09:06:19-07:00,2.35,161,172.0,2,8.25,True,0.75,256.0,1.5,471.0,1.75,1022.0
2026-07-07 10:08:02-07:00,4.53,250,161.0,2,8.75,True,0.5,148.0,0.5,251.0,-0.0,821.0
2026-07-08 10:24:11-07:00,2.68,128,94.0,3,14.5,True,0.25,270.0,0.25,411.0,-0.0,1129.0
