time,open,high,low,close
1728025200,6151,6162.5,6147.5,6160.5
1728028800,6160.5,6162.25,6154,6154.25
1728032400,6154.5,6162.5,6153.5,6161.5
1728036000,6161.75,6169.75,6161.5,6164.5
1728039600,6164.75,6172,6163.25,6169
1728043200,6169,6204.5,6166,6203.5
1728046800,6203.5,6207.25,6172.75,6175.5
1728050400,6175.5,6185.75,6153.5,6173.75
1728054000,6173.5,6181,6156,6178
1728057600,6178.25,6189.25,6167.75,6184.5
1728061200,6184.75,6190.25,6169.75,6176.25
1728064800,6176.5,6190,6171,6189.5
1728068400,6189.25,6208.75,6185.75,6203.75
1728072000,6203.75,6205,6198.5,6199.5
1728252000,6206,6212,6203.5,6208.75
1728255600,6208.75,6211.75,6205.5,6206
1728259200,6206,6207,6199.25,6201.5
1728262800,6201.5,6209.75,6199.75,6201.75
1728266400,6202,6205.5,6199.75,6200.5
1728270000,6200.5,6202.5,6197.5,6200
1728273600,6200,6203,6198.75,6199.75
1728277200,6200,6200.5,6194.25,6195.25
1728280800,6195,6198.5,6190.75,6198
1728284400,6198.25,6198.25,6180,6181.75
1728288000,6181.75,6188.5,6177.25,6177.75
1728291600,6177.75,6177.75,6166.75,6174
1728295200,6174,6177.75,6170.5,6177.5
1728298800,6177.25,6180.25,6172.75,6179.25
1728302400,6179.25,6185,6177.75,6182.25
1728306000,6182.25,6189.5,6178,6180.25
1728309600,6180,6192.75,6179.5,6186
1728313200,6186,6190.75,6179,6184.25
1728316800,6184.25,6184.75,6173.75,6179
1728320400,6179.25,6182.75,6170.75,6177
1728324000,6177,6177.25,6138.25,6140.5
1728327600,6140.5,6159.75,6139,6151
1728331200,6151,6157.5,6150.5,6154
1728338400,6156.5,6158,6129.25,6144.5
1728342000,6144.5,6153.75,6142.75,6148.25
1728345600,6148.5,6158.5,6148.5,6155.25
1728349200,6155.25,6156.25,6144.25,6149.5
1728352800,6149.25,6153.25,6143.75,6151
1728356400,6151,6153,6144.5,6147.75
1728360000,6147.75,6152.5,6147.25,6151
1728363600,6151,6152.75,6144.25,6147.5
1728367200,6147.5,6150.25,6142.5,6149
1728370800,6149.25,6157.5,6140.25,6152.25
1728374400,6152.25,6158.25,6149.5,6157
1728378000,6157,6172,6157,6168.75
1728381600,6168.75,6173,6165,6173
1728385200,6172.75,6174.75,6168,6172.5
1728388800,6172.75,6174.25,6167.75,6170
1728392400,6170.25,6182.25,6167.75,6180.5
1728396000,6180.5,6199,6177,6191.5
1728399600,6191.5,6197,6186,6196.5
1728403200,6196.25,6197,6187.5,6192.5
1728406800,6192.5,6193.25,6178.5,6190.75
1728410400,6190.75,6202.25,6190.25,6200.5
1728414000,6200.75,6210.75,6197,6204.75
1728417600,6204.75,6205.5,6200.25,6202.25
1728424800,6203.25,6203.75,6199,6202.75
1728428400,6202.75,6204.25,6199,6199.5
1728432000,6199.75,6200.25,6197.75,6199.25
1728435600,6199.5,6201.75,6197.5,6199.5
1728439200,6199.25,6199.5,6193.25,6194.5
1728442800,6194.75,6195.75,6193,6194.25
1728446400,6194.25,6195.5,6191.5,6192.75
1728450000,6193,6197.25,6191.25,6192.25
1728453600,6192,6194.25,6187.75,6190.5
1728457200,6190.5,6192,6184.75,6190.5
1728460800,6190.5,6193.25,6186,6192.25
1728464400,6192.25,6199.5,6191.75,6198
1728468000,6197.75,6205.25,6196.5,6201.75
1728471600,6201.75,6204,6199,6199.75
1728475200,6199.75,6204,6196.5,6201.5
1728478800,6201.75,6210.25,6197.75,6208.25
1728482400,6208.25,6222.75,6207,6222
1728486000,6222,6244,6222,6242.5
1728489600,6242.5,6242.75,6228.5,6232
1728493200,6232,6239.5,6222.75,6230.5
1728496800,6230.5,6238.5,6227.5,6235.5
1728500400,6235.25,6250.5,6230.25,6243.75
1728504000,6244,6244.75,6235.5,6240.5
1728511200,6240,6243,6238.25,6242
1728514800,6242,6244.5,6240.25,6242.75
1728518400,6243,6245,6240.5,6243.5
1728522000,6243.25,6246,6242.25,6243.75
1728525600,6243.5,6246.5,6241.5,6245.5
1728529200,6245.5,6246.75,6243.75,6246
1728532800,6246,6246.25,6244,6244.75
1728536400,6244.5,6246.25,6239.75,6240
1728540000,6240,6242.25,6237,6240.5
1728543600,6240.75,6242.5,6233,6234.5
1728547200,6234.25,6238,6232.25,6234.5
1728550800,6234.75,6238,6232.5,6237.75
1728554400,6237.75,6238.75,6233,6233.5
1728558000,6233.5,6238.75,6232,6238.75
1728561600,6238.5,6248,6218.75,6224.75
1728565200,6224.75,6234.5,6216.75,6225.25
1728568800,6225.25,6238,6222.5,6225.75
1728572400,6225.75,6241.25,6222.25,6241
1728576000,6241,6247.25,6229,6233.25
1728579600,6233.25,6238.25,6218.75,6233.5
1728583200,6233.5,6233.5,6215.5,6224
1728586800,6224.25,6237,6219.25,6232.75
1728590400,6232.75,6237,6230.75,6235
1728597600,6235,6236.5,6233,6234.75
1728601200,6235,6241,6235,6239.5
1728604800,6239.25,6241.75,6237,6237.5
1728608400,6237.5,6240.5,6236.75,6237.5
1728612000,6237.75,6238.5,6235.25,6236.75
1728615600,6236.75,6239.25,6235.25,6237.75
1728619200,6237.75,6238,6233.5,6234
1728622800,6234,6234.5,6230.5,6233
1728626400,6233,6233.75,6230,6230.25
1728630000,6230.5,6231.25,6221.75,6228.75
1728633600,6228.5,6229,6220,6221
1728637200,6221.25,6225.75,6220.25,6222.25
1728640800,6222.25,6230,6220.75,6230
1728644400,6229.75,6231.5,6226,6226.75
1728648000,6226.75,6241.75,6225.75,6229.75
1728651600,6230,6243.75,6226.75,6243
1728655200,6242.25,6270.25,6238.25,6259.75
1728658800,6259.75,6267,6258.75,6265.5
1728662400,6265.25,6265.25,6249,6257.5
1728666000,6257.5,6262.5,6252.5,6260
1728669600,6260,6268,6256.75,6265.75
1728673200,6266,6272.25,6263,6263.5
1728676800,6263.5,6265.25,6256.75,6257.25
1728856800,6258.5,6263,6256,6262.5
1728860400,6262.5,6264.25,6259,6259.5
1728864000,6259.5,6261.25,6257.75,6259.25
1728867600,6259,6261,6256.75,6257.75
1728871200,6257.75,6259,6254,6258.25
1728874800,6258.5,6261.25,6256.25,6259.5
1728878400,6259.5,6260.25,6258.5,6259.75
1728882000,6260,6262.5,6259.75,6261
1728885600,6261,6264,6260,6263
1728889200,6263.25,6268.75,6260,6268.5
1728892800,6268.25,6269.75,6266,6267
1728896400,6267,6272,6267,6271.25
1728900000,6271.25,6278.5,6271.25,6273.5
1728903600,6273.5,6274.5,6270.75,6272.75
1728907200,6273,6277.75,6272,6277
1728910800,6277.25,6302.75,6277,6302.5
1728914400,6302.75,6307.75,6295.75,6298.25
1728918000,6298,6304.25,6292.75,6304
1728921600,6304.25,6309.5,6303.5,6308
1728925200,6308,6311.25,6305,6305.5
1728928800,6305.5,6316.25,6302.5,6312
1728932400,6312.25,6322.5,6309.5,6313.25
1728936000,6313.25,6318.25,6310.5,6317.75
1728943200,6318.25,6318.5,6313.75,6315.5
1728946800,6315.75,6317.75,6314.75,6316.75
1728950400,6317,6317.5,6310.5,6313.5
1728954000,6313.25,6318.5,6312.75,6317.75
1728957600,6317.5,6319.5,6316.5,6316.75
1728961200,6316.75,6318.25,6315.5,6318.25
1728964800,6318.25,6318.25,6316.75,6317.5
1728968400,6317.25,6317.75,6313.25,6313.5
1728972000,6313.75,6315.25,6312.25,6312.5
1728975600,6312.5,6315.75,6311.25,6313.5
1728979200,6313.5,6313.5,6306.5,6308.75
1728982800,6308.75,6311,6306.25,6308
1728986400,6308.25,6314.5,6306.25,6312.75
1728990000,6312.75,6314.5,6310,6312.5
1728993600,6312.5,6315.25,6310,6314.25
1728997200,6314.5,6318,6310,6311.25
1729000800,6311.25,6315.5,6281.75,6288.75
1729004400,6288.75,6297.25,6281.5,6283
1729008000,6283.25,6294.75,6282.25,6287
1729011600,6287.25,6288.75,6277,6278.75
1729015200,6278.75,6283,6268.5,6270
1729018800,6270,6271,6254,6267
1729022400,6267,6268.75,6262.25,6264.75
1729029600,6265,6267.5,6257.75,6267
1729033200,6267,6269.75,6266.5,6267
1729036800,6267.25,6270.5,6265.5,6267.75
1729040400,6267.5,6271.25,6264.75,6269.5
1729044000,6269.5,6271.5,6268.5,6270.5
1729047600,6270.25,6273,6269.5,6272.25
1729051200,6272,6273,6270.75,6272
1729054800,6272,6272.25,6268.75,6271
1729058400,6271,6271,6266.25,6268.25
1729062000,6268.25,6270.25,6259.75,6269.5
1729065600,6269.75,6270.5,6263.25,6266.5
1729069200,6266.5,6270.25,6265,6269
1729072800,6269,6269.5,6266,6269.5
1729076400,6269.5,6273,6267.75,6272
1729080000,6272,6272.75,6266.25,6267.25
1729083600,6267.25,6270.75,6257.25,6259.25
1729087200,6259.25,6279.5,6258.25,6269
1729090800,6269,6277,6265.5,6270.5
1729094400,6270.25,6282.25,6270,6282
1729098000,6282.25,6285.25,6277.25,6284.5
1729101600,6284.75,6296.75,6283,6292.5
1729105200,6292.5,6294.75,6288.75,6290
1729108800,6290,6291,6286.75,6287.75
1729116000,6286.75,6288.75,6284.5,6286
1729119600,6286.25,6286.5,6282.25,6283
1729123200,6282.75,6285.25,6277,6282.75
1729126800,6282.75,6284.75,6279,6282.5
1729130400,6282.5,6283.5,6275.25,6279.75
1729134000,6279.75,6281.25,6278,6278.25
1729137600,6278.25,6278.5,6276.25,6277.75
1729141200,6277.5,6285.75,6277,6284.75
1729144800,6284.75,6299.5,6283.75,6296.75
1729148400,6297,6303.5,6295.25,6302
1729152000,6302.25,6312.5,6301.5,6312
1729155600,6312.25,6316,6309.5,6315
1729159200,6314.75,6318.25,6312.75,6317.75
1729162800,6317.5,6317.5,6313.25,6314.5
1729166400,6314.5,6323.75,6314,6322.75
1729170000,6322.75,6331.25,6299.5,6307.75
1729173600,6307.75,6311.25,6295.25,6298
1729177200,6298.25,6314.75,6290.5,6314.25
1729180800,6314.25,6317.5,6304.5,6311.25
1729184400,6311.25,6314.5,6308,6311
1729188000,6311,6311.5,6291.25,6300.5
1729191600,6300.5,6301,6288.75,6290.25
1729195200,6290.5,6296.25,6288.75,6291.5
1729202400,6292.25,6297.75,6290.25,6296
1729206000,6295.75,6296.5,6294.25,6295.75
1729209600,6295.5,6295.75,6280.25,6288.25
1729213200,6288.25,6292.25,6286.75,6291.25
1729216800,6291.25,6292.75,6288.5,6290.5
1729220400,6290.25,6291.75,6286.75,6288.25
1729224000,6288.25,6290.5,6287.5,6289.5
1729227600,6289.5,6292.75,6288.75,6292.25
1729231200,6292.5,6294.25,6291.25,6293.25
1729234800,6293.5,6301.25,6293,6301.25
1729238400,6301.25,6303.75,6299,6301.25
1729242000,6301.5,6304.5,6297.5,6298.5
1729245600,6298.25,6301.5,6296,6301.25
1729249200,6301,6305.25,6298.25,6303.25
1729252800,6303.25,6306.5,6300.5,6304.25
1729256400,6304.25,6310.5,6290.5,6297.5
1729260000,6297.5,6305,6295.25,6299.25
1729263600,6299,6309.75,6298.75,6304
1729267200,6304,6318,6301.75,6312
1729270800,6312,6316.5,6310,6311
1729274400,6311,6319.5,6303.25,6313.5
1729278000,6313.5,6313.5,6305.25,6310.25
1729281600,6310,6313.75,6308.25,6311.5
1729461600,6315.5,6318.75,6314.75,6317.75
1729465200,6317.75,6319.5,6315.75,6317.5
1729468800,6317.75,6318,6314.75,6316.75
1729472400,6316.75,6318.75,6315.75,6316
1729476000,6316,6316.5,6312.75,6313.5
1729479600,6313.5,6314.5,6311.5,6312.25
1729483200,6312,6312.5,6309.25,6309.75
1729486800,6309.75,6310,6306.25,6306.75
1729490400,6306.5,6308.25,6303,6304.5
1729494000,6304.75,6310.5,6304.25,6306.5
1729497600,6306.5,6309.5,6305.75,6308
1729501200,6308,6308.5,6296.5,6301.25
1729504800,6301.25,6302.75,6291,6291.25
1729508400,6291.25,6293.5,6287,6289.5
1729512000,6289.5,6297.75,6287.75,6296.75
1729515600,6296.75,6308.75,6296,6304.25
1729519200,6304.5,6312.5,6284,6289.25
1729522800,6289.25,6290.25,6269,6286.75
1729526400,6286.75,6292.5,6281.25,6291.75
1729530000,6292,6297.5,6289.5,6296.25
1729533600,6296.5,6296.75,6285.75,6287.5
1729537200,6287.5,6301.75,6285.25,6301
1729540800,6301,6305,6298.75,6302.75
1729548000,6304.75,6304.75,6300,6300.25
1729551600,6300,6301.5,6298.75,6299.75
1729555200,6299.75,6300,6291.5,6292
1729558800,6291.75,6293.75,6289,6291.25
1729562400,6291.25,6294.25,6288.5,6289
1729566000,6289,6292.5,6289,6289.5
1729569600,6289.75,6291,6286.25,6286.5
1729573200,6286.5,6290.75,6285.5,6287.25
1729576800,6287.25,6289,6283,6286.75
1729580400,6287,6291.75,6285,6286.5
1729584000,6286.25,6288.75,6279.5,6279.5
1729587600,6279.5,6281.25,6267.75,6269.5
1729591200,6269.75,6275.5,6268.5,6270.75
1729594800,6271,6277.5,6270.75,6273.5
1729598400,6273.5,6280.75,6265.5,6271.5
1729602000,6271.75,6277.5,6265.25,6275.5
1729605600,6275.5,6285,6272.5,6282.25
1729609200,6282.5,6288,6278,6283
1729612800,6283,6289.5,6278.5,6288.75
1729616400,6288.75,6303.25,6285.75,6303
1729620000,6303,6308.25,6291.5,6293.25
1729623600,6293.25,6305.75,6292,6296.5
1729627200,6296.5,6296.75,6290.5,6291
1729634400,6291.25,6291.25,6285,6288.25
1729638000,6288.5,6294.75,6287,6294
1729641600,6294.25,6294.75,6287.25,6288
1729645200,6288,6291.25,6286,6290
1729648800,6290,6293,6289.25,6291.75
1729652400,6292,6294,6290,6290.75
1729656000,6290.5,6292.75,6290,6292.25
1729659600,6292.25,6293.25,6290.25,6290.75
1729663200,6290.75,6291,6288,6289.5
1729666800,6289.75,6297.75,6288.75,6292.25
1729670400,6292,6294.5,6286.5,6287
1729674000,6286.75,6290,6284.75,6285.75
1729677600,6285.75,6286.25,6279.5,6282
1729681200,6281.75,6285.25,6280.25,6283
1729684800,6283,6285.5,6274.75,6276
1729688400,6276.25,6278.75,6271.25,6274.25
1729692000,6274,6278.25,6262,6266.25
1729695600,6266.5,6269,6249,6260
1729699200,6260,6260,6237.5,6242.5
1729702800,6242.75,6242.75,6219.5,6220.5
1729706400,6220.75,6233.75,6205,6233
1729710000,6233,6243.25,6228.25,6241.25
1729713600,6241.25,6251,6238.5,6246
1729720800,6248,6249.5,6244.5,6246.5
1729724400,6246.25,6247.75,6242.5,6246.75
1729728000,6246.75,6256.5,6243.5,6256.25
1729731600,6256,6256,6252.75,6254
1729735200,6253.75,6257.25,6250.25,6256
1729738800,6256,6258.5,6253.5,6253.75
1729742400,6253.5,6254.5,6251.25,6253.5
1729746000,6253.5,6254.25,6250.75,6253.5
1729749600,6253.25,6258.5,6253.25,6253.5
1729753200,6253.75,6267.25,6253,6265.75
1729756800,6265.75,6270.75,6262,6266
1729760400,6266,6268.25,6264.25,6266
1729764000,6266.25,6270.25,6264.5,6266
1729767600,6266,6272.5,6265,6271.5
1729771200,6271.75,6274,6265.25,6266.75
1729774800,6266.75,6270.75,6246.75,6255
1729778400,6254.75,6260.5,6246.25,6249
1729782000,6249,6255,6231.25,6241.25
1729785600,6241.25,6251.25,6226.5,6250
1729789200,6250,6257,6245.25,6246
1729792800,6246.25,6254.75,6241.75,6249.25
1729796400,6249,6260.25,6243.75,6253
1729800000,6253.25,6260.75,6251.75,6256.75
1729807200,6257.25,6258.5,6253,6254.5
1729810800,6254.5,6254.75,6251,6254.5
1729814400,6254.75,6258,6252,6257
1729818000,6256.75,6259.5,6255.25,6255.5
1729821600,6255.5,6258.25,6254.75,6256.25
1729825200,6256.5,6257,6250.5,6251
1729828800,6251.25,6251.5,6248.75,6250
1729832400,6250,6254.5,6248.25,6253.5
1729836000,6253.5,6257.5,6253.25,6253.5
1729839600,6253.5,6265,6252.5,6264.75
1729843200,6264.5,6265,6257,6262.25
1729846800,6262,6268.25,6262,6266.75
1729850400,6266.75,6269.25,6265,6266
1729854000,6265.75,6271.25,6262,6268.75
1729857600,6268.5,6276,6268.25,6275.25
1729861200,6275.5,6294.75,6273.5,6292.25
1729864800,6292.75,6304.75,6289.75,6294.25
1729868400,6294.25,6298.25,6276,6280.5
1729872000,6280.5,6287.25,6276.5,6279.25
1729875600,6279.25,6279.25,6243.75,6250.25
1729879200,6250.5,6263.75,6239,6260.75
1729882800,6261,6261.25,6244,6249.5
1729886400,6249.25,6251.25,6243.75,6245.5
1730066400,6261,6279,6261,6276.25
1730070000,6276.25,6278.25,6272.5,6274.5
1730073600,6274.75,6285.25,6273.75,6278.75
1730077200,6278.5,6284.5,6277.75,6279.75
1730080800,6279.5,6282,6277.5,6280.5
1730084400,6280.25,6281.75,6274,6276.5
1730088000,6276.25,6283.5,6275.75,6283
1730091600,6283.25,6283.5,6273.25,6273.5
1730095200,6273.75,6278.75,6272.5,6276
1730098800,6276,6284.25,6275.25,6279.25
1730102400,6279.25,6287.5,6274.5,6285.25
1730106000,6285.5,6286.75,6280.75,6286.75
1730109600,6286.5,6288.5,6280,6280.25
1730113200,6280.25,6281.75,6274.5,6274.5
1730116800,6274.5,6284.25,6268.25,6283.5
1730120400,6283.25,6285.75,6271.75,6273.5
1730124000,6273.5,6283.75,6270.5,6278
1730127600,6278,6279.25,6265.5,6267.5
1730131200,6267.25,6275.5,6264,6268.5
1730134800,6268.75,6276.25,6264,6275.25
1730138400,6275.5,6276.75,6266.75,6269.75
1730142000,6269.5,6275.5,6263.5,6266.75
1730145600,6266.75,6270.5,6264.75,6268.25
1730152800,6271,6271,6262.5,6264.5
1730156400,6264.75,6266.75,6263.25,6265.25
1730160000,6265.5,6267.25,6259.25,6265
1730163600,6265,6266,6260.75,6264
1730167200,6264,6265.5,6261.75,6263.25
1730170800,6263.25,6267,6254.25,6255.75
1730174400,6255.75,6261.5,6254.5,6261.25
1730178000,6261.5,6264.75,6259.25,6263.5
1730181600,6263.75,6271.25,6263.75,6270.25
1730185200,6270,6273.5,6267.75,6267.75
1730188800,6268,6273.5,6258.75,6268.25
1730192400,6268.25,6269.25,6262.75,6267
1730196000,6267,6267.5,6259.5,6263.25
1730199600,6263.25,6264.25,6257.25,6257.75
1730203200,6257.5,6259,6252,6254.25
1730206800,6254,6258.25,6241.5,6256.5
1730210400,6256.75,6276.25,6252.25,6272
1730214000,6272,6274,6263,6271.5
1730217600,6271.5,6278.75,6266,6277.75
1730221200,6277.75,6285.75,6272.75,6277.5
1730224800,6277.5,6287,6274.75,6282.5
1730228400,6282.25,6287.25,6271.5,6275.75
1730232000,6275.75,6287.75,6275,6282
1730239200,6287,6291.5,6284.25,6290.25
1730242800,6290.25,6290.75,6285.5,6288.25
1730246400,6288.5,6295.5,6287.5,6294.5
1730250000,6294.25,6297,6291.5,6295.75
1730253600,6295.75,6295.75,6288.5,6289
1730257200,6289,6289.75,6284,6285.5
1730260800,6285.25,6285.25,6281,6281.25
1730264400,6281,6283.25,6278.5,6280
1730268000,6279.75,6288.25,6279,6288
1730271600,6288,6289.25,6285,6285
