time,open,high,low,close
1781517600,7587.5,7592.75,7587,7592
1781521200,7592.25,7602.25,7591.25,7595.5
1781524800,7595.75,7599,7587.5,7594.5
1781528400,7594.75,7622.5,7592,7614.25
1781532000,7614.25,7625,7605.5,7623
1781535600,7623.25,7644.5,7623,7643.25
1781539200,7643.25,7648.75,7636.75,7640.5
1781542800,7640.25,7646.5,7632,7633.5
1781546400,7633.75,7636.25,7625.75,7631.5
1781550000,7631.75,7634.5,7616.5,7630
1781553600,7630.25,7631.75,7624,7624.25
1781560800,7626.5,7630.25,7612,7617.5
1781564400,7617.25,7622,7614.5,7620.5
1781568000,7620.25,7625,7612.75,7615.5
1781571600,7615.25,7618.75,7613.5,7616.25
1781575200,7616.25,7621,7613.75,7617.5
1781578800,7617.75,7627.5,7617,7623
1781582400,7623.25,7623.5,7615,7618.25
1781586000,7618.5,7625.25,7616,7618.25
1781589600,7618,7624,7617,7622.25
1781593200,7622.25,7627.75,7620.25,7624.5
1781596800,7624.5,7630.25,7620.75,7626.5
1781600400,7626.5,7628.75,7618.75,7620.25
1781604000,7620.5,7631,7620.5,7630.75
1781607600,7630.5,7634.5,7628.5,7631.25
1781611200,7631.25,7634.75,7622,7625.25
1781614800,7625,7636.75,7620.5,7622.75
1781618400,7622.75,7634,7604,7611
1781622000,7611,7619.25,7599,7610
1781625600,7609.75,7622.25,7606,7610.5
1781629200,7610.25,7611.5,7598.75,7605.75
1781632800,7605.5,7607.5,7600.5,7602
1781636400,7602,7603,7583,7588
1781640000,7588,7589,7578,7583
1781647200,7581.25,7597.5,7581.25,7596.5
1781650800,7596.5,7596.75,7589.25,7591.75
1781654400,7592,7600.5,7592,7597
1781658000,7597,7605.5,7595.25,7605.5
1781661600,7605.25,7605.75,7601.25,7602.5
1781665200,7602.5,7606.25,7598.75,7605.75
1781668800,7605.75,7606.5,7601,7606
1781672400,7606,7608,7603,7604
1781676000,7603.75,7609.25,7601.25,7609
1781679600,7608.75,7612.5,7603.25,7605.75
1781683200,7605.75,7608.25,7591.75,7599.75
1781686800,7600,7602.75,7590.5,7592.25
1781690400,7592.25,7598.25,7585.25,7591
1781694000,7591.25,7597.75,7583,7586.5
1781697600,7586.75,7596.5,7586.25,7595.25
1781701200,7595.25,7600.25,7581,7581
1781704800,7581.25,7604.25,7560.5,7572.5
1781708400,7572.25,7591.25,7568,7588.75
1781712000,7589,7593.25,7581.5,7582.75
1781715600,7582.5,7589.75,7568.5,7588.75
1781719200,7588.25,7590.75,7514.5,7540.75
1781722800,7540.5,7552,7472.25,7492.25
1781726400,7492.5,7515.25,7490,7511
1781733600,7512.5,7527.75,7504.25,7525.5
1781737200,7525.75,7541.25,7524.25,7541.25
1781740800,7541.5,7560.5,7539.75,7550.75
1781744400,7550.75,7561.25,7550,7553
1781748000,7553,7559.75,7552,7556.75
1781751600,7556.5,7558.75,7550.25,7555.5
1781755200,7555.5,7556.75,7539.25,7544.75
1781758800,7545,7550.5,7542.75,7546.5
1781762400,7546.25,7557.25,7541,7556.75
1781766000,7556.5,7559.5,7550.25,7559.25
1781769600,7559.5,7568.25,7547,7547.75
1781773200,7548.25,7564,7545.75,7563.25
1781776800,7563.25,7564.75,7551.5,7553.5
1781780400,7553.5,7554.75,7530.75,7543.25
1781784000,7543.25,7565,7540.75,7560.5
1781787600,7560.5,7581.5,7535.5,7544
1781791200,7544.25,7570.75,7539,7566.25
1781794800,7566.5,7568.75,7541,7560.5
1781798400,7560.25,7570.5,7555,7564
1781802000,7564,7579,7561.5,7567
1781805600,7567,7568,7559.25,7561.5
1781809200,7561.5,7580.75,7549,7564.25
1781812800,7564.5,7583,7562.25,7574.75
1781820000,7576.75,7580,7559.5,7561
1781823600,7561.25,7568.25,7560.5,7565.75
1781827200,7565.5,7565.75,7556,7558.25
1781830800,7558.25,7560.75,7547.25,7547.75
1781834400,7547.5,7549.25,7541.75,7546.25
1781838000,7546.25,7548.5,7536,7538.5
1781841600,7538.5,7539.5,7521.5,7525.25
1781845200,7525.5,7531.75,7520.5,7531.5
1781848800,7531.5,7543,7530.25,7541.25
1781852400,7541.25,7556.5,7541,7554.25
1781856000,7554.25,7560.5,7550.75,7558.75
1781859600,7559,7562.5,7553.5,7555.25
1781863200,7555.25,7555.75,7537.75,7543.75
1781866800,7543.5,7546,7537,7544.25
1781870400,7544.25,7562.25,7533.25,7558.75
1781874000,7559,7563.25,7554.5,7559.5
1781877600,7559.25,7566,7553.5,7565.25
1781881200,7565,7568.5,7558.5,7563.75
1781884800,7563.75,7567,7554,7556.25
1782079200,7543.25,7550,7526,7538.25
1782082800,7537.75,7538,7513,7516
1782086400,7515.75,7549.75,7514.5,7548.75
1782090000,7549,7557.25,7548.75,7549.5
1782093600,7549.75,7550.75,7537.25,7538.5
1782097200,7538.5,7542.25,7533.5,7534.5
1782100800,7534.75,7536.5,7528.25,7534.75
1782104400,7534.75,7547.5,7534,7546.25
1782108000,7546.5,7562.75,7546,7561.75
1782111600,7561.75,7567.25,7560.5,7562.75
1782115200,7562.75,7563.75,7552.5,7559.5
1782118800,7559.5,7564.5,7554.25,7554.75
1782122400,7554.75,7564.75,7554.75,7558.75
1782126000,7558.75,7577.75,7558.5,7563.5
1782129600,7563.75,7576.25,7563.75,7568
1782133200,7568,7596.75,7568,7596.25
1782136800,7596.25,7599.25,7527.25,7543
1782140400,7542.75,7559.25,7534.75,7542.5
1782144000,7542.5,7550.25,7532.25,7546
1782147600,7546.25,7549.5,7535.5,7542.75
1782151200,7543,7553.75,7531.5,7533
1782154800,7533,7545.75,7528,7540.25
1782158400,7540.25,7547.25,7539,7540.75
1782165600,7541.25,7549.5,7529.5,7532
1782169200,7532,7533,7526,7532
1782172800,7531.75,7545.25,7522,7540.25
1782176400,7540.25,7542.25,7512,7522.25
1782180000,7522.75,7525,7510.5,7512.75
1782183600,7512.75,7513.75,7496.5,7508.75
1782187200,7509,7512.25,7481.75,7483.25
1782190800,7483.5,7488,7467,7468.75
1782194400,7468.75,7472.5,7444.75,7447.25
1782198000,7447,7455.5,7428.25,7433.5
1782201600,7433.75,7438.5,7421.75,7430.5
1782205200,7430.75,7446.25,7429.5,7444.5
1782208800,7444.5,7449.75,7427.25,7436.75
1782212400,7436.5,7453.5,7432.5,7450.75
1782216000,7450.75,7454.5,7427.5,7432.75
1782219600,7432.5,7466.5,7415.25,7465.25
1782223200,7465.25,7491,7459.75,7464.75
1782226800,7464.75,7468.5,7435.75,7453.75
1782230400,7454,7475.25,7452.5,7469.75
1782234000,7469.75,7476.5,7452.5,7453.25
1782237600,7453.25,7461.25,7428.75,7436
1782241200,7436,7453,7433,7434.75
1782244800,7435,7446.75,7431.5,7445.5
1782252000,7449.25,7452.25,7429.25,7434.75
1782255600,7435,7450.75,7420.25,7446.75
1782259200,7446.75,7459.75,7443.5,7453.5
1782262800,7453.75,7454.75,7442.5,7451.25
1782266400,7451,7453.25,7429.75,7430.25
1782270000,7430,7451.75,7426.75,7448
1782273600,7448,7451.5,7434.75,7449.5
1782277200,7449.75,7459.25,7447.5,7450.25
