retest_time,type,price,formation_time,range_ratio,is_spike,large_wick,wick_pct,confluence_count,fast_retest,bars_to_retest,level_age_bars,approach_strength,swerve,swerve_dist,mae,mfe,pnl_hold,cluster_size,cluster_rank,is_most_recent_in_cluster,approach_bucket
2026-07-01 07:00:00,LHPB,7511.0,2026-06-30 12:00:00,2.81496062992126,False,False,1.3,0,False,17,18,0.16988869361452844,True,4.5,-31.5,82.75,25.25,1,1,True,slow/drift (below median)
2026-07-01 15:00:00,LLPB,7568.0,2026-06-22 13:00:00,4.856661045531197,False,False,0.0,0,False,162,163,1.1424862057773448,True,0.25,-34.5,88.5,28.0,1,1,True,fast/strong (above median)
2026-07-02 19:00:00,LLPB,7531.75,2026-07-02 10:00:00,2.0440881763527057,False,True,44.0,0,True,4,9,0.37649743297204785,True,2.25,-70.75,40.0,-21.0,1,1,True,slow/drift (below median)
2026-07-03 00:00:00,LLPB,7538.5,2026-07-02 11:00:00,2.0440881763527057,False,True,40.9,3,False,8,12,0.08747949699289229,False,0.75,-64.0,11.25,-19.75,2,2,False,slow/drift (below median)
2026-07-03 00:00:00,LLPB,7540.25,2026-07-02 14:00:00,2.0440881763527057,False,False,31.9,4,False,8,9,0.08747949699289229,False,2.5,-62.25,13.0,-18.0,2,1,True,slow/drift (below median)
2026-07-07 03:00:00,LHPB,7574.25,2026-07-06 00:00:00,2.0810514786418404,False,False,25.0,1,False,12,26,0.30581039755351686,True,1.0,-105.75,20.75,7.5,2,2,False,slow/drift (below median)
2026-07-07 03:00:00,LHPB,7574.0,2026-07-06 13:00:00,2.0810514786418404,False,True,44.9,1,False,12,13,0.30581039755351686,True,1.25,-105.5,21.0,7.75,2,1,True,slow/drift (below median)
2026-07-07 17:00:00,LLPB,7571.25,2026-07-07 08:00:00,2.491349480968858,False,False,8.7,3,True,4,9,0.6927232284715601,True,1.25,-56.0,102.75,9.5,1,1,True,fast/strong (above median)
2026-07-08 12:00:00,LLPB,7517.75,2026-07-02 20:00:00,4.358772619984265,True,True,55.3,0,True,4,80,0.5544194501249716,False,11.25,-111.0,48.25,-10.5,1,1,True,fast/strong (above median)
2026-07-08 13:00:00,LLPB,7523.75,2026-07-02 22:00:00,4.358772619984265,False,False,0.0,1,True,5,80,0.5402991739227506,False,4.75,-105.0,54.25,-3.0,1,1,True,slow/drift (below median)
2026-07-08 17:00:00,LLPB,7531.25,2026-07-07 15:00:00,4.358772619984265,False,True,53.8,4,False,9,25,0.3982385602144362,True,6.5,-97.5,23.25,-1.0,4,2,False,slow/drift (below median)
2026-07-08 17:00:00,LLPB,7532.0,2026-07-08 07:00:00,4.358772619984265,False,True,45.3,4,False,9,10,0.3982385602144362,True,7.25,-96.75,24.0,-0.25,4,1,True,slow/drift (below median)
2026-07-08 17:00:00,LLPB,7527.25,2026-07-03 00:00:00,4.358772619984265,False,False,19.2,5,False,9,82,0.3982385602144362,True,2.5,-101.5,19.25,-5.0,4,4,False,slow/drift (below median)
2026-07-08 17:00:00,LLPB,7529.5,2026-07-07 14:00:00,4.358772619984265,False,False,31.5,4,False,9,26,0.3982385602144362,True,4.75,-99.25,21.5,-2.75,4,3,False,slow/drift (below median)
2026-07-09 15:00:00,LLPB,7572.0,2026-07-07 11:00:00,2.491349480968858,True,True,73.3,3,False,48,50,0.6070120355834641,True,0.75,-56.75,40.5,-14.75,2,2,False,fast/strong (above median)
2026-07-09 15:00:00,LLPB,7578.0,2026-07-07 12:00:00,2.491349480968858,False,False,11.1,2,False,48,49,0.6070120355834641,True,6.75,-50.75,46.5,-8.75,2,1,True,fast/strong (above median)
2026-07-14 12:00:00,LLPB,7581.75,2026-07-13 15:00:00,2.156133828996283,False,False,7.5,3,False,19,20,0.44274809160305345,True,3.75,-50.25,108.75,-10.25,1,1,True,slow/drift (below median)
2026-07-16 08:00:00,LHPB,7598.0,2026-07-15 16:00:00,2.3748773307163886,False,False,6.7,0,False,14,15,0.16415144294413553,False,2.0,-125.0,17.5,13.25,1,1,True,slow/drift (below median)
2026-07-17 08:00:00,LHPB,7495.25,2026-07-08 15:00:00,2.033898305084746,False,False,6.8,0,False,153,154,0.21193273439299704,True,7.75,-22.25,58.75,21.0,1,1,True,slow/drift (below median)
2026-07-22 22:00:00,LHPB,7523.25,2026-07-22 12:00:00,3.4390243902439024,False,False,29.9,0,False,8,9,0.5705967976710334,True,5.5,-111.5,26.25,4.0,1,1,True,fast/strong (above median)
2026-07-24 15:00:00,LLPB,7488.75,2026-07-21 02:00:00,2.4706802189210317,False,False,32.7,1,False,26,82,0.8833333333333333,True,2.5,-36.0,117.0,-3.0,2,2,False,fast/strong (above median)
2026-07-24 15:00:00,LLPB,7490.0,2026-07-23 11:00:00,2.4706802189210317,False,False,31.5,1,False,26,27,0.8833333333333333,True,3.75,-34.75,118.25,-1.75,2,1,True,fast/strong (above median)
2026-07-26 22:00:00,LLPB,7508.5,2026-07-23 10:00:00,2.012678288431062,False,False,17.5,0,False,33,34,0.8852384211727129,True,7.0,-16.25,184.5,3.75,1,1,True,fast/strong (above median)
2026-07-28 15:00:00,LLPB,7473.75,2026-07-27 13:00:00,3.608660785886127,False,False,0.6,0,False,24,25,0.4409297867241793,True,6.75,-44.0,149.75,22.0,1,1,True,slow/drift (below median)
2026-07-28 22:00:00,LHPB,7456.0,2026-07-28 14:00:00,2.573687994248742,False,False,33.3,0,True,6,7,0.354747999134761,False,2.25,-132.0,103.0,-5.5,1,1,True,slow/drift (below median)
2026-07-28 23:00:00,LLPB,7487.0,2026-07-27 01:00:00,2.7620632279534107,False,True,44.9,2,False,32,44,0.4911381592995943,True,1.25,-72.0,163.0,29.25,1,1,True,slow/drift (below median)
2026-07-29 00:00:00,LLPB,7498.0,2026-07-27 03:00:00,2.7620632279534107,False,False,22.7,3,False,33,43,0.3549834211039594,False,2.75,-63.75,174.0,19.25,3,2,False,slow/drift (below median)
2026-07-29 00:00:00,LLPB,7498.75,2026-07-27 04:00:00,2.7620632279534107,False,False,9.1,3,False,33,42,0.3549834211039594,False,3.5,-63.0,174.75,20.0,3,1,True,slow/drift (below median)
2026-07-29 00:00:00,LLPB,7495.75,2026-07-27 02:00:00,2.7620632279534107,False,False,37.0,3,False,33,44,0.3549834211039594,False,0.5,-66.0,171.75,17.0,3,3,False,slow/drift (below median)
2026-07-29 18:00:00,LLPB,7448.5,2026-07-29 05:00:00,2.2135922330097086,False,False,15.8,1,True,5,13,1.147856517935258,True,8.75,-189.25,124.5,59.75,3,3,False,fast/strong (above median)
2026-07-29 18:00:00,LLPB,7451.25,2026-07-29 06:00:00,2.2135922330097086,False,False,21.7,2,True,5,12,1.147856517935258,True,11.5,-186.5,127.25,62.5,3,2,False,fast/strong (above median)
2026-07-29 18:00:00,LLPB,7455.5,2026-07-29 12:00:00,2.2135922330097086,False,False,30.8,1,True,5,6,1.147856517935258,False,15.75,-182.25,131.5,66.75,3,1,True,fast/strong (above median)
2026-07-30 12:00:00,LLPB,7402.75,2026-07-29 17:00:00,5.232837253960634,False,False,5.9,0,False,16,18,0.2702326229279844,False,0.75,-313.75,10.0,-58.75,1,1,True,slow/drift (below median)
2026-07-30 13:00:00,LLPB,7414.75,2026-07-29 18:00:00,5.232837253960634,False,False,7.4,0,False,17,18,0.6213481544819723,False,8.75,-326.5,17.0,-58.0,1,1,True,fast/strong (above median)
2026-07-31 01:00:00,LLPB,7504.25,2026-07-27 05:00:00,2.7620632279534107,False,False,3.9,3,False,80,88,0.21440129449838186,True,3.25,-288.25,76.75,-2.5,2,2,False,slow/drift (below median)
2026-07-31 01:00:00,LLPB,7504.5,2026-07-27 12:00:00,2.7620632279534107,True,True,67.4,2,False,80,81,0.21440129449838186,True,3.5,-288.0,77.0,-2.25,2,1,True,slow/drift (below median)
2026-08-05 15:00:00,LHPB,7755.75,2026-08-04 16:00:00,2.2583732057416266,False,False,2.2,0,False,21,22,1.0519645120405576,True,5.5,-31.5,42.25,8.5,1,1,True,fast/strong (above median)
2026-08-07 12:00:00,LLPB,7775.75,2026-08-04 23:00:00,2.8136882129277567,False,False,25.0,1,False,43,59,0.8509064002959675,True,1.25,-22.25,37.75,11.25,2,2,False,fast/strong (above median)
2026-08-07 12:00:00,LLPB,7776.0,2026-08-05 14:00:00,2.8136882129277567,False,False,24.0,1,False,43,44,0.8509064002959675,True,1.5,-22.0,38.0,11.5,2,1,True,fast/strong (above median)
2026-08-10 06:00:00,LLPB,7792.5,2026-08-05 11:00:00,3.423423423423423,True,True,69.0,1,False,61,64,0.08477141992128369,True,1.0,-5.5,54.5,18.75,1,1,True,slow/drift (below median)
2026-08-10 07:00:00,LLPB,7795.0,2026-08-05 13:00:00,3.423423423423423,False,False,17.8,1,False,62,63,0.11380652890086854,False,2.25,-3.0,57.0,14.25,1,1,True,slow/drift (below median)
2026-08-12 09:00:00,LLPB,7770.0,2026-08-11 08:00:00,2.2685788787483703,False,True,47.6,2,False,17,24,0.25089605734767023,True,0.25,-68.5,13.5,5.25,3,3,False,slow/drift (below median)
2026-08-12 09:00:00,LLPB,7771.5,2026-08-11 09:00:00,2.2685788787483703,False,False,38.9,4,False,17,23,0.25089605734767023,True,1.75,-67.0,15.0,6.75,3,2,False,slow/drift (below median)
2026-08-12 09:00:00,LLPB,7771.75,2026-08-11 13:00:00,2.2685788787483703,False,True,47.1,4,False,17,19,0.25089605734767023,True,2.0,-66.75,15.25,7.0,3,1,True,slow/drift (below median)
2026-08-12 12:00:00,LLPB,7778.0,2026-08-11 14:00:00,2.2685788787483703,False,True,44.4,2,False,20,21,0.7057701478302336,True,4.25,-60.5,21.5,3.0,1,1,True,fast/strong (above median)
2026-08-17 06:00:00,LLPB,7818.0,2026-08-13 19:00:00,3.4623217922606924,False,False,37.2,2,False,15,33,0.3126744835287548,False,0.5,-6.5,119.75,14.25,3,3,False,slow/drift (below median)
2026-08-17 06:00:00,LLPB,7818.5,2026-08-13 20:00:00,3.4623217922606924,True,True,67.9,2,False,15,32,0.3126744835287548,False,1.0,-6.0,120.25,14.75,3,2,False,slow/drift (below median)
2026-08-17 06:00:00,LLPB,7819.25,2026-08-14 13:00:00,3.4623217922606924,True,True,59.6,2,False,15,16,0.3126744835287548,False,1.75,-5.25,121.0,15.5,3,1,True,slow/drift (below median)
2026-08-17 13:00:00,LHPB,7796.0,2026-08-11 11:00:00,5.008695652173913,False,True,60.0,3,False,46,94,1.1153358681875791,True,0.5,-115.75,13.5,-27.25,3,3,False,fast/strong (above median)
2026-08-17 13:00:00,LHPB,7795.25,2026-08-11 12:00:00,5.008695652173913,True,True,60.0,4,False,46,93,1.1153358681875791,True,1.25,-115.0,14.25,-26.5,3,2,False,fast/strong (above median)
2026-08-17 13:00:00,LHPB,7794.0,2026-08-12 13:00:00,5.008695652173913,False,False,32.5,4,False,46,69,1.1153358681875791,True,2.5,-113.75,15.5,-25.25,3,1,True,fast/strong (above median)
2026-08-17 14:00:00,LHPB,7790.25,2026-08-13 12:00:00,5.008695652173913,False,False,14.3,4,False,47,48,0.9558823529411765,False,3.0,-110.0,9.75,-24.75,1,1,True,fast/strong (above median)
2026-08-18 08:00:00,LHPB,7716.5,2026-08-04 14:00:00,2.3340471092077086,False,False,3.7,0,False,223,224,0.1754385964912281,False,7.75,-58.75,48.25,2.75,1,1,True,slow/drift (below median)
2026-08-19 12:00:00,LLPB,7752.75,2026-08-12 05:00:00,2.2318840579710146,True,True,84.2,2,False,33,122,1.2388591800356508,True,3.0,-12.0,97.75,18.0,3,3,False,fast/strong (above median)
2026-08-19 12:00:00,LLPB,7754.25,2026-08-12 06:00:00,2.2318840579710146,False,True,45.5,2,False,33,121,1.2388591800356508,True,4.5,-10.5,99.25,19.5,3,2,False,fast/strong (above median)
2026-08-19 12:00:00,LLPB,7755.25,2026-08-18 01:00:00,2.2318840579710146,False,True,49.0,2,False,33,34,1.2388591800356508,False,5.5,-9.5,100.25,20.5,3,1,True,fast/strong (above median)
2026-08-20 08:00:00,LHPB,7719.25,2026-08-19 11:00:00,4.652406417112299,False,False,20.8,1,False,19,20,0.3557744937055282,True,1.5,-64.25,14.25,-9.25,1,1,True,slow/drift (below median)
2026-08-20 12:00:00,LHPB,7690.75,2026-06-02 22:00:00,3.115693012600229,False,False,6.2,7,False,274,1294,0.7045009784735812,False,7.5,-35.75,29.25,-20.25,9,6,False,fast/strong (above median)
2026-08-20 12:00:00,LHPB,7694.5,2026-06-01 17:00:00,3.115693012600229,False,False,23.9,3,False,274,1321,0.7045009784735812,True,3.75,-39.5,25.5,-24.0,9,9,False,fast/strong (above median)
2026-08-20 12:00:00,LHPB,7694.25,2026-06-02 15:00:00,3.115693012600229,False,True,65.9,4,False,274,1300,0.7045009784735812,True,4.0,-39.25,25.75,-23.75,9,8,False,fast/strong (above median)
2026-08-20 12:00:00,LHPB,7692.25,2026-06-02 20:00:00,3.115693012600229,False,False,25.9,5,False,274,1295,0.7045009784735812,True,6.0,-37.25,27.75,-21.75,9,7,False,fast/strong (above median)
2026-08-20 12:00:00,LHPB,7686.5,2026-08-04 13:00:00,3.115693012600229,False,False,2.7,4,False,274,275,0.7045009784735812,False,11.75,-31.5,33.5,-16.0,9,1,True,fast/strong (above median)
