group,feature,bucket,n,mean_quality_30m,median_quality_30m,win_rate,mean_mfe_30m,mean_mae_30m
ALL,vol_spike_z_30s,"(-1.4989999999999999, 0.655]",91,5.664835164835165,3.0,0.7582417582417582,10.035714285714286,4.3708791208791204
ALL,vol_spike_z_30s,"(0.655, 2.193]",90,8.158333333333333,4.5,0.8666666666666667,12.308333333333334,4.15
ALL,vol_spike_z_30s,"(2.193, 19.464]",91,5.615384615384615,4.25,0.7802197802197802,9.346153846153847,3.730769230769231
LHPB,vol_spike_z_30s,"(-1.4989999999999999, 0.634]",47,6.659574468085107,3.25,0.7446808510638298,11.457446808510639,4.797872340425532
LHPB,vol_spike_z_30s,"(0.634, 2.369]",45,4.844444444444444,3.75,0.8222222222222222,10.177777777777777,5.333333333333333
LHPB,vol_spike_z_30s,"(2.369, 19.464]",47,5.48404255319149,2.5,0.723404255319149,9.72872340425532,4.24468085106383
LLPB,vol_spike_z_30s,"(-0.697, 0.663]",44,4.6022727272727275,2.5,0.7727272727272727,8.517045454545455,3.914772727272727
LLPB,vol_spike_z_30s,"(0.663, 1.933]",44,10.698863636363637,5.125,0.9090909090909091,13.392045454545455,2.6931818181818183
LLPB,vol_spike_z_30s,"(1.933, 16.094]",45,6.638888888888889,5.25,0.8444444444444444,10.083333333333334,3.4444444444444446
ALL,vol_spike_z_60s,"(-2.001, 0.395]",91,6.425824175824176,3.25,0.7912087912087912,10.236263736263735,3.8104395604395602
ALL,vol_spike_z_60s,"(0.395, 2.066]",90,8.233333333333333,4.5,0.8444444444444444,12.733333333333333,4.5
ALL,vol_spike_z_60s,"(2.066, 17.611]",91,4.78021978021978,4.0,0.7692307692307693,8.725274725274724,3.9450549450549453
LHPB,vol_spike_z_60s,"(-2.001, 0.584]",46,5.586956521739131,4.125,0.782608695652174,9.36413043478261,3.777173913043478
LHPB,vol_spike_z_60s,"(0.584, 2.038]",46,7.804347826086956,3.625,0.8260869565217391,13.625,5.820652173913044
LHPB,vol_spike_z_60s,"(2.038, 17.611]",47,3.675531914893617,2.0,0.6808510638297872,8.430851063829786,4.75531914893617
LLPB,vol_spike_z_60s,"(-1.22, 0.292]",44,4.778409090909091,2.75,0.7727272727272727,8.431818181818182,3.653409090909091
LLPB,vol_spike_z_60s,"(0.292, 2.074]",44,11.386363636363637,4.875,0.9090909090909091,14.744318181818182,3.3579545454545454
LLPB,vol_spike_z_60s,"(2.074, 10.104]",45,5.794444444444444,5.0,0.8444444444444444,8.844444444444445,3.05
ALL,vol_spike_z_300s,"(-1.0319999999999998, 1.01]",91,5.862637362637362,2.75,0.7692307692307693,10.717032967032967,4.854395604395604
ALL,vol_spike_z_300s,"(1.01, 1.151]",90,7.488888888888889,4.625,0.8333333333333334,11.205555555555556,3.716666666666667
ALL,vol_spike_z_300s,"(1.151, 231.0]",91,6.079670329670329,4.0,0.8021978021978022,9.755494505494505,3.6758241758241756
LHPB,vol_spike_z_300s,"(-1.0319999999999998, 1.011]",47,4.98936170212766,2.75,0.7021276595744681,11.117021276595745,6.127659574468085
LHPB,vol_spike_z_300s,"(1.011, 1.138]",46,6.793478260869565,4.375,0.8478260869565217,10.842391304347826,4.048913043478261
LHPB,vol_spike_z_300s,"(1.138, 22.333]",46,5.255434782608695,3.875,0.7391304347826086,9.402173913043478,4.146739130434782
LLPB,vol_spike_z_300s,"(-1.029, 1.01]",45,6.722222222222222,3.25,0.8444444444444444,10.222222222222221,3.5
LLPB,vol_spike_z_300s,"(1.01, 1.18]",43,7.808139534883721,4.5,0.7906976744186046,10.936046511627907,3.127906976744186
LLPB,vol_spike_z_300s,"(1.18, 231.0]",45,7.416666666666667,4.25,0.8888888888888888,10.833333333333334,3.4166666666666665
ALL,same_side_vol_ratio_30s,"(-0.001, 0.567]",91,6.6401098901098905,4.0,0.7692307692307693,11.401098901098901,4.760989010989011
