type,price,direction,formation_time,breakout_time,retest_time,touch_time_utc,entry_price,is_spike,is_swing,hours_breakout_to_retest,level_age_hours,breakout_range_ratio,breakout_body_ratio,prior_touches_2yr,prior_touches_all,confluence_count,vol_spike_z_10s,same_side_vol_ratio_10s,momentum_pts_10s,trades_count_10s,upticks_10s,downticks_10s,cum_delta_10s,range_compression_10s,vol_spike_z_30s,same_side_vol_ratio_30s,momentum_pts_30s,trades_count_30s,upticks_30s,downticks_30s,cum_delta_30s,range_compression_30s,vol_spike_z_60s,same_side_vol_ratio_60s,momentum_pts_60s,trades_count_60s,upticks_60s,downticks_60s,cum_delta_60s,range_compression_60s,vol_spike_z_120s,same_side_vol_ratio_120s,momentum_pts_120s,trades_count_120s,upticks_120s,downticks_120s,cum_delta_120s,range_compression_120s,vol_spike_z_300s,same_side_vol_ratio_300s,momentum_pts_300s,trades_count_300s,upticks_300s,downticks_300s,cum_delta_300s,range_compression_300s,preconsolidation_secs_30s,mfe_5m,mae_before_peak_5m,time_to_peak_s_5m,mfe_15m,mae_before_peak_15m,time_to_peak_s_15m,mfe_30m,mae_before_peak_30m,time_to_peak_s_30m,mfe_60m,mae_before_peak_60m,time_to_peak_s_60m,quality_30m
LHPB,7671.25,1,2026-05-31 22:00:00,2026-05-31 23:00:00,2026-06-01 13:00:00,2026-06-01 13:09:08,7671.25,False,False,14.0,15.0,0.4816955684007707,0.6,5,5,0,1.4150298473255503,0.0,2.5,1.0,1,0,1.0,12.857142857142856,0.47380354147934284,0.0,2.5,1.0,1,0,1.0,4.285714285714286,0.06608186004550896,0.0,2.5,1.0,1,0,1.0,2.142857142857143,-0.41256849850351734,0.0,2.5,1.0,1,0,1.0,1.0714285714285714,-0.7777777777777778,0.0,2.5,1.0,1,0,1.0,0.42857142857142855,0,0.5,-0.5,1,0.5,-0.5,1,0.5,-0.5,1,0.5,-0.5,1,1.0
LHPB,7667.0,1,2026-05-29 20:00:00,2026-05-31 22:00:00,2026-06-01 13:00:00,2026-06-01 13:10:59,7667.0,False,False,15.0,65.0,1.38328530259366,0.3611111111111111,7,7,0,12.52888554393299,1.0,-5.0,8.0,0,2,-9.0,37.89473684210526,7.543422685124547,1.0,-5.0,8.0,0,2,-9.0,12.631578947368421,4.533657911008952,1.0,-5.0,8.0,0,2,-9.0,6.315789473684211,3.690886276957604,0.9,-2.5,9.0,1,2,-8.0,3.9473684210526314,2.0,0.9,-2.5,9.0,1,2,-8.0,1.5789473684210527,0,0.25,0.5,1,0.25,0.5,1,0.25,0.5,1,0.25,0.5,1,-0.25
LLPB,7681.75,-1,2026-06-01 11:00:00,2026-06-01 12:00:00,2026-06-01 17:00:00,2026-06-01 17:43:27,7681.75,True,False,5.0,6.0,0.9234507897934386,0.5789473684210527,11,11,0,9.51848384696427,0.6458333333333334,-10.25,37.0,1,0,-14.0,22.03125,5.832048573901466,0.6557377049180327,-10.5,50.0,2,4,-19.0,10.46875,5.241476803363906,0.6351351351351351,-12.75,61.0,3,4,-20.0,5.859375,4.7313088672525785,0.5853658536585366,-12.5,69.0,4,7,-14.0,3.359375,4.0,0.6446280991735537,-17.25,100.0,9,13,-35.0,1.8593749999999998,12,-0.5,10.5,9,-0.5,10.5,9,-0.5,10.5,9,-0.5,10.5,9,-11.0
LHPB,7658.75,1,2026-06-02 04:00:00,2026-06-02 05:00:00,2026-06-02 13:00:00,2026-06-02 13:00:43,7658.75,False,False,8.0,9.0,0.5994550408719347,0.4545454545454545,23,23,1,17.410448338288308,0.0,-1.5,5.0,1,0,5.0,42.857142857142854,10.168362916202607,0.0,-1.5,5.0,1,0,5.0,14.285714285714285,5.222222222222221,0.0,-1.5,5.0,1,0,5.0,7.142857142857142,3.6666666666666665,0.0,-1.5,5.0,1,0,5.0,3.571428571428571,2.3333333333333335,0.0,-1.5,5.0,1,0,5.0,1.4285714285714284,0,0.5,-0.5,1,0.5,-0.5,1,3.75,8.75,1758,8.25,8.75,3191,-5.0
LHPB,7673.25,1,2026-06-02 13:00:00,2026-06-02 14:00:00,2026-06-02 23:00:00,2026-06-02 23:18:03,7673.25,False,False,9.0,10.0,2.4162679425837323,0.8613861386138614,17,17,0,2.1980989235228967,0.0,-0.75,2.0,1,0,2.0,12.631578947368421,5.338479011055139,0.75,-1.5,8.0,1,1,-4.0,7.368421052631579,3.8040931402978018,0.75,-1.5,8.0,1,1,-4.0,3.6842105263157894,2.6057971086461373,0.8,-4.5,10.0,1,3,-6.0,3.6842105263157894,1.8,0.8,-4.5,10.0,1,3,-6.0,1.4736842105263157,0,1.75,-0.75,2,1.75,-0.75,2,11.5,9.0,1638,15.75,9.0,2667,2.5
LHPB,7673.75,1,2026-06-02 09:00:00,2026-06-02 14:00:00,2026-06-02 23:00:00,2026-06-02 23:18:03,7673.75,False,False,9.0,14.0,2.4162679425837323,0.8613861386138614,16,16,0,2.1980989235228967,0.0,-0.75,2.0,1,0,2.0,12.631578947368421,5.338479011055139,0.75,-1.5,8.0,1,1,-4.0,7.368421052631579,3.8040931402978018,0.75,-1.5,8.0,1,1,-4.0,3.6842105263157894,2.6057971086461373,0.8,-4.5,10.0,1,3,-6.0,3.6842105263157894,1.8,0.8,-4.5,10.0,1,3,-6.0,1.4736842105263157,20,1.25,-0.25,2,1.25,-0.25,2,11.0,9.5,1638,15.25,9.5,2667,1.5
LHPB,7678.5,1,2026-06-02 08:00:00,2026-06-02 14:00:00,2026-06-02 23:00:00,2026-06-02 23:04:28,7678.5,False,True,9.0,15.0,2.4162679425837323,0.8613861386138614,15,15,0,3.7754784184438916,1.0,-3.25,1.0,0,1,-1.0,30.0,2.0647416048350564,1.0,-3.25,1.0,0,1,-1.0,10.0,1.3333333333333333,1.0,-3.25,1.0,0,1,-1.0,5.0,0.7499999999999999,1.0,-3.25,1.0,0,1,-1.0,2.5,2.0,1.0,-5.5,3.0,0,3,-3.0,3.0,0,2.75,0.0,53,2.75,0.0,53,2.75,0.0,53,10.5,14.25,3482,2.75
LHPB,7680.0,1,2026-06-01 22:00:00,2026-06-02 14:00:00,2026-06-02 23:00:00,2026-06-02 23:41:06,7680.0,False,False,9.0,25.0,2.4162679425837323,0.8613861386138614,13,13,0,0.26904657400017806,1.0,1.0,1.0,0,1,-1.0,2.3076923076923075,-0.4532471038866811,1.0,1.0,1.0,0,1,-1.0,0.7692307692307693,-0.3211726365433135,1.0,1.25,3.0,0,3,-3.0,1.1538461538461537,-0.9088116232492304,1.0,2.25,4.0,0,4,-4.0,0.7692307692307693,1.125,0.5333333333333333,3.75,29.0,7,13,-2.0,1.3846153846153846,30,4.75,0.5,255,4.75,0.5,255,9.0,0.5,1284,9.0,0.5,1284,8.5
LHPB,7654.0,1,2026-06-02 01:00:00,2026-06-02 04:00:00,2026-06-03 13:00:00,2026-06-03 13:44:59,7654.0,False,False,33.0,36.0,0.689655172413793,0.8947368421052632,25,25,0,-0.5166324892680169,1.0,-1.0,1.0,0,1,-1.0,1.7543859649122808,-0.3235374868332691,1.0,-4.5,6.0,0,4,-6.0,1.7543859649122808,-0.4354121545481591,0.7692307692307693,-7.75,13.0,2,6,-7.0,1.286549707602339,-1.2750393478208024,0.6666666666666666,-10.0,22.0,5,9,-8.0,1.0233918128654973,1.0,0.5813953488372093,-12.75,83.0,15,22,-14.0,1.0526315789473684,11,2.0,0.75,7,2.0,0.75,7,4.5,17.75,1659,5.25,17.75,1872,-13.25
LHPB,7651.25,1,2026-06-02 02:00:00,2026-06-02 04:00:00,2026-06-03 13:00:00,2026-06-03 13:46:09,7651.25,False,False,33.0,35.0,0.689655172413793,0.8947368421052632,22,22,0,0.12282040666825121,0.3333333333333333,-1.75,3.0,2,1,1.0,1.2435233160621764,-0.1393466028583235,0.7142857142857143,-2.25,7.0,2,4,-3.0,1.0362694300518134,-0.8546240657520564,0.5555555555555556,-1.5,9.0,4,4,-1.0,0.7772020725388601,-0.26541625753398407,0.6071428571428571,-10.75,28.0,8,11,-6.0,1.5025906735751295,-0.9444444444444444,0.639344262295082,-15.75,59.0,13,21,-17.0,0.9533678756476683,13,1.0,0.25,6,4.25,15.0,866,7.75,15.0,1746,8.0,15.0,1802,-7.25
