type,price,formation_time,breakout_time,retest_time,is_spike,is_swing,entry_price,fta,stop_loss,breakout_open,breakout_high,breakout_low,breakout_close,retest_open,retest_high,retest_low,retest_close,is_gap_breakout,is_gap_retest,hours_breakout_to_retest,level_age_hours,breakout_range_ratio,breakout_body_ratio,prior_touches_2yr,prior_touches_all,confluence_count,direction
LHPB,7579.5,2026-05-22 18:00:00,2026-05-24 22:00:00,2026-05-28 03:00:00,False,False,7579.5,7583.0,7585.0,7587.0,7604.75,7585.0,7601.25,7602.25,7604.25,7579.5,7580.75,True,False,77.0,129.0,1.299342105263158,0.7215189873417721,9,9,1,1
LHPB,7574.75,2026-05-22 19:00:00,2026-05-24 22:00:00,2026-05-28 04:00:00,False,False,7574.75,7579.5,7585.0,7587.0,7604.75,7585.0,7601.25,7580.75,7583.0,7573.75,7578.0,True,False,78.0,129.0,1.299342105263158,0.7215189873417721,11,11,0,1
LLPB,7600.25,2026-05-27 23:00:00,2026-05-28 03:00:00,2026-05-28 07:00:00,False,True,7600.25,7599.5,7604.25,7602.25,7604.25,7579.5,7580.75,7596.25,7602.25,7593.25,7599.75,False,False,4.0,8.0,1.4943396226415093,0.8686868686868687,23,23,0,-1
LLPB,7600.5,2026-05-28 02:00:00,2026-05-28 03:00:00,2026-05-28 07:00:00,False,False,7600.5,7599.5,7604.25,7602.25,7604.25,7579.5,7580.75,7596.25,7602.25,7593.25,7599.75,False,False,4.0,5.0,1.4943396226415093,0.8686868686868687,25,25,0,-1
LHPB,7583.0,2026-05-28 04:00:00,2026-05-28 05:00:00,2026-05-28 10:00:00,False,False,7583.0,7591.75,7575.0,7578.0,7597.25,7575.0,7595.75,7600.25,7600.5,7583.0,7587.25,False,False,5.0,6.0,1.3030746705710103,0.797752808988764,12,12,0,1
LLPB,7610.75,2026-05-28 01:00:00,2026-05-28 02:00:00,2026-05-28 13:00:00,False,False,7610.75,7607.75,7618.75,7617.5,7618.75,7600.5,7602.0,7606.25,7612.0,7593.25,7603.75,False,False,11.0,12.0,1.1587301587301588,0.8493150684931506,31,31,0,-1
LLPB,7652.0,2026-05-28 23:00:00,2026-05-29 00:00:00,2026-05-29 04:00:00,False,False,7652.0,7650.75,7654.0,7653.0,7654.0,7643.75,7645.5,7648.75,7655.5,7648.75,7653.0,False,False,4.0,5.0,0.7961165048543689,0.7317073170731707,5,5,0,-1
LHPB,7675.0,2026-05-29 19:00:00,2026-06-01 00:00:00,2026-06-01 08:00:00,False,True,7675.0,7675.5,7672.5,7673.25,7682.0,7672.5,7679.75,7679.25,7682.25,7673.75,7682.0,False,False,8.0,61.0,0.7251908396946565,0.6842105263157895,3,3,1,1
LHPB,7674.5,2026-05-31 23:00:00,2026-06-01 00:00:00,2026-06-01 08:00:00,False,False,7674.5,7675.5,7672.5,7673.25,7682.0,7672.5,7679.75,7679.25,7682.25,7673.75,7682.0,False,False,8.0,9.0,0.7251908396946565,0.6842105263157895,4,4,1,1
LHPB,7671.25,2026-05-31 22:00:00,2026-05-31 23:00:00,2026-06-01 13:00:00,False,False,7671.25,7672.5,7668.25,7669.5,7674.5,7668.25,7673.25,7676.75,7678.25,7644.25,7652.75,False,False,14.0,15.0,0.4816955684007707,0.6,5,5,0,1
LHPB,7667.0,2026-05-29 20:00:00,2026-05-31 22:00:00,2026-06-01 13:00:00,False,False,7667.0,7668.25,7653.25,7663.0,7671.25,7653.25,7669.5,7676.75,7678.25,7644.25,7652.75,False,False,15.0,65.0,1.38328530259366,0.3611111111111111,7,7,0,1
LLPB,7681.75,2026-06-01 11:00:00,2026-06-01 12:00:00,2026-06-01 17:00:00,True,False,7681.75,7678.25,7683.75,7682.25,7683.75,7674.25,7676.75,7675.75,7700.25,7666.75,7692.25,False,False,5.0,6.0,0.9234507897934386,0.5789473684210527,11,11,0,-1
LLPB,7655.0,2026-06-01 16:00:00,2026-06-02 00:00:00,2026-06-02 04:00:00,False,False,7655.0,7654.0,7664.0,7663.75,7664.0,7648.25,7649.75,7649.75,7658.75,7649.25,7658.25,False,False,4.0,12.0,1.1517367458866543,0.8888888888888888,23,23,2,-1
LLPB,7659.0,2026-06-01 22:00:00,2026-06-02 00:00:00,2026-06-02 05:00:00,False,True,7659.0,7658.75,7664.0,7663.75,7664.0,7648.25,7649.75,7658.5,7664.75,7656.5,7662.25,False,False,5.0,7.0,1.1517367458866543,0.8888888888888888,21,21,0,-1
LLPB,7660.0,2026-06-01 23:00:00,2026-06-02 00:00:00,2026-06-02 05:00:00,False,False,7660.0,7658.75,7664.0,7663.75,7664.0,7648.25,7649.75,7658.5,7664.75,7656.5,7662.25,False,False,5.0,6.0,1.1517367458866543,0.8888888888888888,20,20,0,-1
LLPB,7674.5,2026-06-01 20:00:00,2026-06-01 22:00:00,2026-06-02 07:00:00,False,False,7674.5,7670.5,7680.0,7680.0,7680.0,7659.0,7663.5,7669.5,7674.5,7669.25,7674.25,False,False,9.0,11.0,1.5939278937381403,0.7857142857142857,12,12,0,-1
LHPB,7664.75,2026-06-02 05:00:00,2026-06-02 06:00:00,2026-06-02 11:00:00,False,False,7664.75,7666.5,7661.75,7662.0,7670.5,7661.75,7669.5,7667.0,7672.5,7663.5,7664.25,False,False,5.0,6.0,0.6329113924050633,0.8571428571428571,17,17,0,1
LHPB,7658.75,2026-06-02 04:00:00,2026-06-02 05:00:00,2026-06-02 13:00:00,False,False,7658.75,7661.75,7656.5,7658.5,7664.75,7656.5,7662.25,7665.0,7673.25,7655.5,7671.75,False,False,8.0,9.0,0.5994550408719347,0.45454545454545453,23,23,1,1
LLPB,7690.0,2026-06-01 18:00:00,2026-06-01 19:00:00,2026-06-02 14:00:00,False,False,7690.0,7686.0,7694.5,7692.25,7694.5,7678.5,7682.0,7671.5,7693.25,7668.0,7693.25,False,False,19.0,20.0,1.2968591691995948,0.640625,2,2,0,-1
LHPB,7673.25,2026-06-02 13:00:00,2026-06-02 14:00:00,2026-06-02 23:00:00,False,False,7673.25,7682.25,7668.0,7671.5,7693.25,7668.0,7693.25,7689.5,7693.75,7670.0,7692.5,False,False,9.0,10.0,2.4162679425837323,0.8613861386138614,17,17,0,1
LHPB,7673.75,2026-06-02 09:00:00,2026-06-02 14:00:00,2026-06-02 23:00:00,False,False,7673.75,7682.25,7668.0,7671.5,7693.25,7668.0,7693.25,7689.5,7693.75,7670.0,7692.5,False,False,9.0,14.0,2.4162679425837323,0.8613861386138614,16,16,0,1
LHPB,7678.5,2026-06-02 08:00:00,2026-06-02 14:00:00,2026-06-02 23:00:00,False,True,7678.5,7682.25,7668.0,7671.5,7693.25,7668.0,7693.25,7689.5,7693.75,7670.0,7692.5,False,False,9.0,15.0,2.4162679425837323,0.8613861386138614,15,15,0,1
LHPB,7680.0,2026-06-01 22:00:00,2026-06-02 14:00:00,2026-06-02 23:00:00,False,False,7680.0,7682.25,7668.0,7671.5,7693.25,7668.0,7693.25,7689.5,7693.75,7670.0,7692.5,False,False,9.0,25.0,2.4162679425837323,0.8613861386138614,13,13,0,1
LHPB,7654.0,2026-06-02 01:00:00,2026-06-02 04:00:00,2026-06-03 13:00:00,False,False,7654.0,7655.5,7649.25,7649.75,7658.75,7649.25,7658.25,7675.0,7682.75,7642.0,7654.25,False,False,33.0,36.0,0.689655172413793,0.8947368421052632,25,25,0,1
LHPB,7651.25,2026-06-02 02:00:00,2026-06-02 04:00:00,2026-06-03 13:00:00,False,False,7651.25,7655.5,7649.25,7649.75,7658.75,7649.25,7658.25,7675.0,7682.75,7642.0,7654.25,False,False,33.0,35.0,0.689655172413793,0.8947368421052632,22,22,0,1
LHPB,7650.75,2026-06-02 03:00:00,2026-06-02 04:00:00,2026-06-03 13:00:00,True,False,7650.75,7655.5,7649.25,7649.75,7658.75,7649.25,7658.25,7675.0,7682.75,7642.0,7654.25,False,False,33.0,34.0,0.689655172413793,0.8947368421052632,20,20,0,1
LHPB,7625.75,2026-05-27 22:00:00,2026-05-28 14:00:00,2026-06-03 20:00:00,False,True,7625.75,7629.5,7601.25,7603.75,7642.0,7601.25,7630.75,7640.5,7641.25,7609.75,7615.5,False,False,150.0,166.0,2.560879811468971,0.6625766871165644,18,18,0,1
LHPB,7619.75,2026-05-28 00:00:00,2026-05-28 14:00:00,2026-06-03 20:00:00,False,True,7619.75,7629.5,7601.25,7603.75,7642.0,7601.25,7630.75,7640.5,7641.25,7609.75,7615.5,False,False,150.0,164.0,2.560879811468971,0.6625766871165644,13,13,0,1
LHPB,7618.75,2026-05-28 02:00:00,2026-05-28 14:00:00,2026-06-03 20:00:00,False,True,7618.75,7629.5,7601.25,7603.75,7642.0,7601.25,7630.75,7640.5,7641.25,7609.75,7615.5,False,False,150.0,162.0,2.560879811468971,0.6625766871165644,14,14,0,1
