stop_ticks,target_ticks,stop_pts,target_pts,rr,closed,wins,losses,open,win_rate,total_pts,avg_R,total_R
1,4,0.25,1.0,4.0,48,17,31,0,0.3542,9.25,0.7708,37.0
1,5,0.25,1.25,5.0,48,16,32,0,0.3333,12.0,1.0,48.0
1,6,0.25,1.5,6.0,48,15,33,0,0.3125,14.25,1.1875,57.0
1,7,0.25,1.75,7.0,48,14,34,0,0.2917,16.0,1.3333,64.0
1,8,0.25,2.0,8.0,48,13,35,0,0.2708,17.25,1.4375,69.0
1,9,0.25,2.25,9.0,48,11,37,0,0.2292,15.5,1.2917,62.0
1,10,0.25,2.5,10.0,48,10,38,0,0.2083,15.5,1.2917,62.0
1,11,0.25,2.75,11.0,48,9,39,0,0.1875,15.0,1.25,60.0
1,12,0.25,3.0,12.0,48,9,39,0,0.1875,17.25,1.4375,69.0
1,13,0.25,3.25,13.0,48,9,39,0,0.1875,19.5,1.625,78.0
1,14,0.25,3.5,14.0,48,8,40,0,0.1667,18.0,1.5,72.0
1,15,0.25,3.75,15.0,48,8,40,0,0.1667,20.0,1.6667,80.0
1,16,0.25,4.0,16.0,48,7,41,0,0.1458,17.75,1.4792,71.0
1,17,0.25,4.25,17.0,48,7,41,0,0.1458,19.5,1.625,78.0
1,18,0.25,4.5,18.0,48,7,41,0,0.1458,21.25,1.7708,85.0
1,19,0.25,4.75,19.0,48,7,41,0,0.1458,23.0,1.9167,92.0
1,20,0.25,5.0,20.0,48,7,41,0,0.1458,24.75,2.0625,99.0
1,21,0.25,5.25,21.0,48,6,42,0,0.125,21.0,1.75,84.0
1,22,0.25,5.5,22.0,48,6,42,0,0.125,22.5,1.875,90.0
1,23,0.25,5.75,23.0,48,6,42,0,0.125,24.0,2.0,96.0
1,24,0.25,6.0,24.0,48,5,43,0,0.1042,19.25,1.6042,77.0
1,25,0.25,6.25,25.0,48,4,44,0,0.0833,14.0,1.1667,56.0
1,26,0.25,6.5,26.0,48,4,44,0,0.0833,15.0,1.25,60.0
1,27,0.25,6.75,27.0,48,4,44,0,0.0833,16.0,1.3333,64.0
1,28,0.25,7.0,28.0,48,4,44,0,0.0833,17.0,1.4167,68.0
1,29,0.25,7.25,29.0,48,4,44,0,0.0833,18.0,1.5,72.0
1,30,0.25,7.5,30.0,48,4,44,0,0.0833,19.0,1.5833,76.0
1,31,0.25,7.75,31.0,48,3,45,0,0.0625,12.0,1.0,48.0
